Festa do livro Virtual-2021,,,
Titulo,Autor,R$,Desconto 50%
"#VidasNegrasImportam e libertação negra",Keeanga-Yamahtta Taylor,"R$      55,00","R$         27,50"
"Anseios: raça, gênero e políticas culturas",bell hooks,"R$      59,90","R$        29,95"
Alternativas Sistemicas,Pablo Solón,"R$      39,99","R$         20,00"
"Bem viver, O",Alberto Acosta,"R$      39,90","R$        19,95"
Branco Vivo,Antonio Lino,"R$     49,99","R$         25,00"
Bolsonaro Genocida ( livro militante - venda apenas no preço cheio),Edição Tadeu Breda,"R$      19,90","R$           9,95"
"Calibã e a bruxa : mulheres, corpo e acumulação primitiva",Silvia Federici,"R$      59,90","R$         29,95"
Capitalismo em quarentena: notas sobre a crise global,"Anselm Jappe, Sandrine Aumercier,Clément Homs & Gabriel Zacarias","R$      39,90","R$         19,95"
Contra Amazon e outros ensaios sobre a humanidade dos livros,Jorge Carrión,"R$      49,90","R$        24,95"
Direitos da Natureza,Eduardo Gudynas,"R$      50,00","R$         25,00"
"Donos da terra, Os","Daniela Fernandes Alarcon &Vitor Flynn Paciornik","R$     40,00","R$         20,00"
"Donos do mercado:como os grandes supermercados exploram trabalhadores, fornecedores e a sociedade",Victor Matioli & João Peres,"R$     49,90",
Ensinando pensamento crítico: sabedoria prática,bell hooks,"R$     49,90","R$         24,95"
"Erguer a voz : pensar como feminista , pensar como negra",bell hooks,"R$     49,99","R$         25,00"
"Esquiva do xondaro, A: movimento e ação política guarani mbya",Lucas Keese dos Santos,"R$     59,90","R$        29,95"
Fronteiras do neoextrativismo na América Latina,Maristella Svampa,"R$     40,00","R$        20,00"
Gargalhando vitória: poemas da Cracolândia,Daniel Mello,"R$      29,90","R$         14,95"
História social do LSD no Brasil: os primeiros usos medicinais e o começo da repressão,Júlio Delmanto,"R$     69,90","R$         34,95"
Makunaimã : o mito através do tempo,Varios,"R$      49,90","R$         24,95"
Memória ocular,Tadeu Breda,"R$     30,00","R$        15,00"
México e os desafios do progressismo tardio,Fabio Luis Barbosa dos Santos,"R$     45,00","R$        22,50"
"Mineração, Genealogia do Desastre : o extrativismo na América como origem damodernidade",Horacio Machado Aráoz,"R$     49,90","R$         24,95"
Mulheres livres : a luta pela emancipação feminina e a guerra civil espanhola,Martha A. Ackelsberg,"R$      59,99","R$        30,00"
Nutricionismo: a ciência e a política do aconselhamento nutricional,Gyorgy Scrinis,"R$      59,90","R$        29,95"
Olhares negros: raça e representação,bell hooks,"R$     49,90","R$        24,95"
"Pandemia e agronegócio: doenças infecciosas, capitalismo e ciência",Rob Wallace,"R$      59,90","R$         29,95"
Poemas,Robert Desnos,"R$     40,00","R$         20,00"
Ponto zero da revolução,Silvia Federici,"R$      59,90","R$        29,95"
Por que você voltava todo verão?,Belén López Peiró,"R$     39,90",
Pós-extrativismo e decrescimento: saídas do labirinto capitalista,Alberto Acosta & Ulrich Brand,"R$      40,00","R$         20,00"
Qual o valor da natureza? uma introdução à ética ambiental,Daniel Braga Lourenço,"R$      59,99","R$        30,00"
Retratos da vida em quarentena,Vários,"R$     49,90","R$         24,95"
"Retorno da terra: as retomadas na aldeia tupinambá da serra do Paderio, sul da Bahia",Daniela Fernandes Alarcon,"R$     59,90","R$        29,95"
"Roucos e sufocados: a indústria do cigarro está viva, e matando",João Peres & Moriti Neto,"R$     29,90","R$         14,95"
"Sertão, sertões: repensando contradições, reconstruindo veredas","Joana Barros, GustavoPrieto e CaioMarinho","R$     59,90","R$        29,95"
"Torção dos sentidos, A: pandemia e remediação digital",João Pedro Cachopo,"R$      39,90","R$         19,95"
