TÍTULO,AUTOR PREÇO,,USP 2021
AGROECOLOGIA NA EDUCACAO BASICA,"DIONARA/ELISIANI/M CRISTINA/NIVIA ORGS 45,00",,"22,50"
ALGUMAS PLANTAS INDICADORAS,"ANA MARIA PRIMAVESI 23,00",,"11,50"
ANA M PRIMAVESI 2 EDICAO,"VIRGINIA MENDONCA KNABBEN 55,00",,"27,50"
ANTON MAKARENKO VIDA E OBRA,"CECILIA DA SILVEIRA LUEDEMAM 55,00",,"27,50"
ANTONIO CALLADO E OS LONGES DA PATRIA,"LIGIA CHIAPPINI 7,00",,"3,50"
"ARTE NO MUNDO DOS HOMENS, A","CELSO FREDERICO 27,00",,"13,50"
BELO MONTE UMA HIST.  DA GUERRA DE CANUDOS,"JOSE RIVAIR MACEDO E MARIO MAESTRI 38,00",,"19,00"
BIOCENOSE DO SOLO NA PRODUCAO VEGETAL,"ANA MARIA PRIMAVESI 60,00",,"30,00"
BRASIL FORA DO ARMARIO,"LEONARDO NOGUEIRA, MAYSA PEREIRA 25,00",,"12,50"
BRUMADINHO 25 E TODO DIA,"DOM VICENTE FERREIRA 20,00",,"10,00"
CADERNO DE LITERATURA UM PERCURSO DE FORMACAO,"DIVERSOS (ORGS) 33,00",,"16,50"
CAMINHOS PARA TRANSFORMACAO DA ESCOLA V.1.,"ROSELI SALETE CALDART (ORG.) 40,00",,"20,00"
CAPITAL ESSENCIA E APARENCIA VOL 2,"REINALDO CARCANHOLO 29,00",,"14,50"
"CAPITAL FRENTE AO SEU DECLINIO, O","ANDRE PIQUERAS /WIM DIERCKXSENS ORGS 25,00",,"12,50"
CAPITALISMO EM CRISE - EEP,"PAULO NAKATANI E ROSA MARIA MARQUES 30,00",,"15,00"
CARLOS FONSECA E A REVOLUCAO NICARAGUENSE,"MATILDE ZIMMERMANN 30,00",,"15,00"
CARRAPICHO,"CECILIA DA SILVEIRA LUEDEMAM 18,00",,"9,00"
CARTA A UM CAMARADA,"V. I. LENIN 5,00",,"2,50"
CARTAS PEDAGOGICAS,"ISABELA CAMINI 15,00",,"7,50"
CARTAS SOBRE O CAPITAL,"KARL MARX E FRIEDRICH ENGELS 55,00",,"27,50"
CARTILHA DA TERRA,"ANA MARIA PRIMAVESI 28,00",,"14,00"
CELSO FURTADO - OS COMBATES DE UM ECONOMISTA,"ADROALDO QUINTELA ET ALL 50,00",,"25,00"
CENARIOS DA LIBERTACAO: PAULO FREIRE NA PRISAO,"CLODOMIRO SANTOS DE MORAIS 45,00",,"22,50"
"CLASSE OPERARIA TEM DOIS SEXOS, A (EEP)","ELISABETH SOUZA - LOBO 45,00",,"22,50"
"COLAPSO DA DEMOCRACIA NO BRASIL, O","LUIS FELIPE MIGUEL 30,00",,"15,00"
COMBATE NAS TREVAS,"JACOB GORENDER 45,00",,"22,50"
COMUNA DE PARIS 150,"VIJAY PRASHAD 30,00",,"15,00"
COMUNICACOES EM TEMPOS DE CRISE,"HELENA MARTINS 27,00",,"13,50"
CONHECIMENTO POPULAR DE PLANTAS MEDICINAIS,"GLAUCO DE K VILLAS BOAS - COORD 45,00",,"22,50"
"CONSTRUCAO DA PEDAGOGIA SOCIALISTA, A","N. K. KRUPSKAYA 51,00",,"25,50"
CONTOS - JACK LONDON,"JACK LONDON 38,00",,"19,00"
CONTOS E POEMAS DE MARIO DE ANDRADE,"MARIO DE ANDRADE 27,00",,"13,50"
CONTRIBUICAO A CRITICA DA ECONOMIA POLITICA,"KARL MARX 45,00",,"22,50"
CONTRIBUICAO A CRITICA DA FILOS.DIREITO HEGEL-INT.,"KARL MARX (RICARDO ANTUNES ORG.) 5,00",,"2,50"
"CONVENCAO DOS VENTOS, A","ANA MARIA PRIMAVESI 33,00",,"16,50"
"CRONICA MILITANTE, A SELECAO","LIMA BARRETO 51,00",,"25,50"
CULTURA ARTE E LITERATURA: TEXTOS ESCOLHIDOS,"KARL MARX E FRIEDRICH ENGELS 50,00",,"25,00"
DE ONDE VEM A NOSSA COMIDA - LIVRO,"CRISTINA VARGAS E NIVIA REGINA DA SILVA 30,00",,"15,00"
DEMOCRACIA E REVOLUCAO,"GEORGES LABICA 20,00",,"10,00"
DESAFIO EDUCACIONAL,"FLORESTAN FERNANDES 40,00",,"20,00"
"DESAFIOS DA ESQUERDA LATINO-AMERICANA, OS","MARTA HARNECKER 23,00",,"11,50"
DIA INTERNACIONAL DAS MULHERES-  AS ORIGENS E COM,"ANA ISABEL ALVAREZ GONZALEZ 38,00",,"19,00"
DIALETICA DA AGROECOLOGIA,"LUIZ CARLOS PINHEIRO MACHADO 51,00",,"25,50"
DIALETICA DO MARXISMO CULTURAL,"INA CAMARGO COSTA 5,00",,"2,50"
"DIALETICA DO TRABALHO I , A","RICARDO ANTUNES 29,00",,"14,50"
"DIALETICA DO TRABALHO II, A","KARL MARX (RICARDO ANTUNES ORG.) 38,00",,"19,00"
DICIONARIO DA EDUCACAO DO CAMPO,"ROSELI SALETE CALDART (ET AL.) 70,00",,"35,00"
DICIONARIO DE ECONOMIA POLITICA MARXISTA,"ALFREDO SAAD FILHO E BEN FINE (ORG) 60,00",,"30,00"
"DIREITAS NAS REDES E NAS RUAS, AS","ESTHER SOLANO E CAMILA ROCHA (ORG) 45,00",,"22,50"
"DITADURA DO GRANDE CAPITAL, A","OCTAVIO IANNI 51,00",,"25,50"
DOM PAULO,"EVANIZE SIDOW / MARILDA FERRI 52,00",,"26,00"
DOSSIE ABRASCO,"FERNANDO F CARNEIRO, RAQUEL M RIGOTTO 70,00",,"35,00"
DOSSIE CONTRA O PACOTE DO VENENO,"KAREN FRIEDRICH (ORG.) 50,00",,"25,00"
ELEANOR MARX - UMA VIDA,"RACHEL HOLMES 60,00",,"30,00"
"ELEANOR MARX, FILHA DE KARL","MARIA JOSE SILVEIRA 33,00",,"16,50"
EM BUSCA DA LIBERDADE,"EMILIO GENNARI 30,00",,"15,00"
ENSAIOS DA ESCOLA DO TRABALHO NA LUTA PELA TERRA,"MARLENE SAPELLI, VALTER LEITE, C BAHNIUK 55,00",,"27,50"
ENTRE O IMPOSSIVEL E O NECESSARIO,"PAULA GODINHO, ADELAIDE GONCALVES E LOUR40,00",,"20,00"
"ESCOLA COMUNA , A MOISEY M. PISTRAK(ORG)",,"57,00","28,50"
"ESCRAVIDAO REABILITADA,A JACOB GORENDER",,"40,00","20,00"
"ESCRAVISMO COLONIAL, O (NOVO) JACOB GORENDER",,"63,00","31,50"
