Lista de Livros - Fósforo Editora - Festa do Livro da USP 2021 (Virtual),,,,,
Título,Autor,ISBN,Preço de capa,50%,Preço com Desconto
A Culinária caipira da Paulistânia,Carlos Alberto Dória; Marcelo Cor,ê9a7 8B6a5s8to9s733300,"R$ 84,90",50%,"R$ 42,45"
A Formação da culinária brasileira,Carlos Alberto Dória,9786589733324,"R$ 69,90",50%,"R$ 34,95"
Brimos: Imigração sírio-libanesa no Brasil e seu c,Dmioinghoo  Baetérc ait opolítica,9786589733102,"R$ 74,90",50%,"R$ 37,45"
Ciropédia,Xenofonte,9786589733249,"R$ 94,90",50%,"R$ 47,45"
Dez dias num hospício,Nellie Bly,9786589733126,"R$ 49,90",50%,"R$ 24,95"
Erva Brava,Paulliny Tort,9786589733386,"R$ 54,90",50%,"R$ 27,45"
"Hello, Brasil! e outros ensaios: Psicanálise da estr",Cnohnat acridvioli zCaaçlãliog abrrisasileira,9786589733225,"R$ 69,90",50%,"R$ 34,95"
Kentukis,Samanta Schweblin,9786589733089,"R$ 64,90",50%,"R$ 32,45"
Lições de Literatura,Vladimir Nabokov,9786589733188,"R$ 99,00",50%,"R$ 49,50"
Lições de Literatura Russa,Vladimir Nabokov,9786589733164,"R$ 89,00",50%,"R$ 44,50"
Mundo real,Brandon Taylor,9786589733201,"R$ 74,90",50%,"R$ 37,45"
O Cometa: + O fim da supremacia branca,W. E. B Du Bois; Saidiya Hartman,9786589733065,"R$ 39,90",50%,"R$ 19,95"
O Livro do xadrez,"Zweig, Stefan",9786589733348,"R$ 49,90",50%,"R$ 24,95"
O Lugar,Annie Ernaux,9786589733027,"R$ 49,90",50%,"R$ 24,95"
O Treze de maio,Astolfo Marques,9786589733041,"R$ 54,90",50%,"R$ 27,45"
O Vento mudou de direção: O Onze de Setembro,qSuime on me uDnudaor tneão viu,9786589733287,"R$ 69,90",50%,"R$ 34,95"
Os Anos,Annie Ernaux,9786589733140,"R$ 64,90",50%,"R$ 32,45"
Psiconautas,Marcelo Leite,9786589733003,"R$ 69,90",50%,"R$ 34,95"
