Numeranimais,Nina Anderson,"39,00","R$  19,00"
Sex shop,Ivan Angelo,"59,90","R$  29,90"
Alfredo não tem medo!,Suppa,"56,00","R$  28,00"
O nariz de Anaiz,Suppa,"52,00","R$  26,00"
Onde você está?,Raquel Badue,"39,00","R$  19,00"
A procissão do circo,J.P. Penteado (tradução),"39,00","R$  19,00"
Estevão,André Caramuru Aubert,"58,00","R$  29,00"
Fractal,Carlos Quiroga,"47,00","R$  23,00"
Madrid com D,"Widman, Simon","49,90","R$  24,90"
Notas sobre a impermanência,Paula Gicovate,"49,90","R$  24,90"
Primeiro campo da guerra,Patricia Pedrosa,"59,00","R$  29,00"
Quando eu nasci,Isabel Minhós Martins,"42,00","R$  20,00"
Não é nada difícil,Madalena Matoso,"49,00","R$  24,00"
Tudo tão grande,Isabel Minhós Martins,"47,00","R$  23,00"
"Tão perto, tão longe",Tainan Rocha,"42,00","R$  21,00"
A Imbecilíada,Alexander Pope,"76,00","R$  38,00"
Eterno efêmero,Silvio Ferreira Leite,"46,00","R$  23,00"
De quem é esta coroa?,Tino Freitas,"33,00","R$  16,50"
Capitão,Yann Karlen e Stefano Boroni,"69,00","R$  34,00"
Manhãs de sabre,Luiz Ruffato,"47,00","R$  23,00"
Fronteira,Cornélio Penna,"49,90","R$  24,00"
Dois romances de Nico Horta,Cornélio Penna,"58,00","R$  29,00"
O pequeno príncipe,Antoine Saint-Exupéry,"75,00","R$  37,00"
50 contos,Luiz Vilela,"86,00","R$  43,00"
Poesia reunida,Eduardo Alves da Costa,"89,00","R$  44,00"
Satíricon,Petrônio,"49,90","R$  24,50"
Os crocodilos,Thomas Mathieu,"78,00","R$  39,00"
Hanami!,Laura Lawson Forbes,"49,90","R$  24,50"
Tratado sobre o canhamo,,"49,90","R$  24,00"
Naturezas mortas,Zidrou; Oriol,"69,00","R$  34,50"
O Riso,Olavo Bilac,"27,00","R$  13,00"
A defesa dos dois cavalos,"Ganan, Alexandre","49,90","R$  24,00"
Repouso,Cornélio Penna,"69,00","R$  34,50"
Sahumerio,Luis Fernando Vidal,"49,90","R$  24,00"
Divino mundanismo,Tainan Rocha e Ronaldo Barata,"32,00","R$  16,00"
Mapas para desaparecer,Nara Vidal,"48,00","R$  24,00"
Hipnotismo,Medeiros e Albuquerque,"92,00","R$  45,00"
Alguém vai ter que pagar por isso,Luis Pimentel,"48,00","R$  24,00"
Breu,Mário Araújo,"69,00","R$  34,00"
Jogo do bixo,Tainan Rocha,"54,00","R$  26,00"
Espíritos de carros quebrados,Cadão Volpato,"49,00","R$  24,00"
A menina morta,Cornélio Penna,"89,00","R$  44,00"
Blueberry,"Blain, Christophe; Sfar, Joann","89,00","R$  44,00"
A noite do Corvo,Marco Galli,"98,00","R$  49,00"
"O grande, gostoso, quente e úmido livro do sexo",Coletivo Quanta Estudio,"123,00","R$  61,00"
O caminho da porta,Machado de Assis,"32,00","R$  16,00"
Ontologias mínimas,Evandro Affonso Ferreira,"39,00","R$  19,00"
Utensílios-para-a-dor,João Anzanello Carrascoza,"52,00","R$  26,00"
Esta indescritível liberdade,"Mendes, Igor","49,00","R$  24,00"
Caderno de pinturas e desenhos,Cornélio Penna,"73,00","R$  36,00"
Da loucura dos Homens,"Penteado, J.R.; Marden, Sanzio","52,00","R$  25,00"
Além do roteiro,Jocy de Oliveira,"119,90","R$  59,00"
Alma Branca e Outros Escritos,Cornélio Penna,"59,00","R$  28,00"
Há uma gota de sangue em cada poema,Mario de Andrade,"27,00","R$  13,00"
A casa azul,Eloar Guazzelli,"76,00","R$  37,00"
Porto Alegre,Eloar Guazzelli,"75,00","R$  36,00"
Como e porque sou romancista,José de Alencar,"27,00","R$  13,00"
Mundos de uma noite só,Renata Belmonte,"56,00","R$  28,00"
A Mundana,Zidrou e Lefevre,"130,00","R$  65,00"
O armazem do sol,João Anzanello Carrascoza,"57,00","R$  27,00"
