"","FGV EditoraLISTA DELIVROSFesta Virtualdo Livroda USP 2021",,
"","Preço comTítuloAutorPreço de capadesconto",,
1968 em movimento,Angélica Muller,49,"24,5"
1968: a paixão de uma utopia,"Daniel Aarao Reis, Pedro De Mello Moraes",73,"36,5"
50 anos da Reforma Tributária Nacional: origens e lições,"Fernando Rezende, José Roberto Afonso",39,"19,5"
A agenda de competitividade do Brasil,Regis Bonelli,87,"26,1"
A banalização da injustiça social,"Christophe Dejours, EDITIONS DU SEUIL",43,"21,5"
A Bolsa no bolso: fundamentos para investimentos em ações,"Ilda Maria De Paiva Almeida Spritzer, Moises Spritzer",24,12
A conquista do petróleo: uma saga no mar,Alexandre Luis Moreli Rocha,52,26
A constituição norte-americana é democrática?,Robert A. Dahl,34,17
A construção da Nação Canarinho: Uma história institucional da seleção brasileira de futeb,"Cl, a1r9lo1s4 -E1d9u7a0rdo Barbosa Sarmento",24,12
"A dama e o cavalheiro: um estudo antropológico sobre envelhecimento, gênero e sociabilid",Adnedréa Moraes Alves,37,"18,5"
A democracia impedida: o Brasil no século XXI,Wanderley Guilherme Dos Santos,35,"17,5"
A democratização no Brasil: atores e contextos,"CPDOC, Alzira Alves De Abreu",30,15
A Dialética da pós-modernidade: a sociedade em transformação,"Marcelo Milano Falcão Vieira, Euripedes Falcão Vieira",34,17
"A ditadura em tempos de milagre: comemorações, orgulho e consentimento",Janaina Martins Cordeiro,49,"24,5"
"A Época Pombalina"" no mundo luso-brasileiro""","Francisco Jose Calazans Falcon, Claudia Rodrigues",51,"25,5"
"A era das conquistas: América espanhola, séculos XVI e XVII",Ronald Raminelli,24,12
A família militar no Brasil: transformações e permanências,Celso Castro,42,21
A História como ofício: a constituição de um campo disciplinar,Marieta De Moraes Ferreira,60,30
A história da China Popular no século XX,Shu Sheng,24,12
A história na América Latina: ensaio de crítica historiográfica,Jurandir Malerba,24,12
A Índia na ordem global,Oliver Stuenkel,24,12
A informação na internet: arquivos públicos brasileiros,Anna Carla Almeida Mariz,43,"21,5"
A internet das coisas,Eduardo Magrani,40,20
"A Invasão do direito: expansão jurídica sobre o estado, o mercado e a moral",Júlio Aurélio Vianna Lopes,33,"16,5"
A invenção da favela: do mito de origem a favela.com,Licia Do Prado Valladares,30,15
A invenção do trabalhismo,Angela Maria De Castro Gomes,37,"18,5"
A Judicialização da política no Brasil e o TCU,Eduardo Monteiro Lopes Junior,27,"13,5"
A lógica das eleições municipais,"Antonio Lavareda, Helcimara Telles",63,"31,5"
A mundialização,"Jean-pierre Paulet, ÉDITIONS DUNOD",24,12
"A museologia: história, evolução, questões atuais","André Gob, Noémie Drouguet",63,"31,5"
A nova esquerda americana: de Port Huron aos Weathermen (1960-1969),Rodrigo Farias De Sousa,46,23
A onda corporativa: corporativismo e ditaduras na Europa e na América Latina,"Antônio Costa Pinto, Francisco Palomanes Martinho",55,"27,5"
