Título,Autor(es),Preço,Preço
"",,capa,Feira
10 MOTIVOS PARA VOCÊ VIR LOGO,Pablo Lugones e Alexandre Rampazo,"R$ 48,00","R$ 24,00"
AQUI EM CASA,,,
A FADA SONHADORA,Nana Toledo e Sole Otero,"R$ 39,90","R$ 19,95"
ANTES DE IR PARA A HISTÓRIA,Tino Freitas e José Carlos Lollo,"R$ 49,90","R$ 24,95"
CASA DOS SENTIMENTOS,Nana Toledo e Boris,"R$ 42,00","R$ 21,00"
CÉREBRO DE MONSTRO,Fabián Sevilla e Juan Chavetta,"R$ 44,00","R$ 22,00"
CONCERTO DE PISCINA,Renato Moriconi,"R$ 48,00","R$ 24,00"
EU NÃO SOU NÃO,Fábio Monteiro e Ionit Zilberman,"R$ 48,00","R$ 24,00"
HOJE É O MEU ANIVERSÁRIO?,Julie Fogliano e Christian Robinson,"R$ 52,90","R$ 26,45"
MOUSTACHE,Gracia Iglesias e Guridi,"R$ 44,00","R$ 22,00"
O ABRAÇO DO GIGANTE,Nana Toledo e Anelise Zimmermann,"R$ 44,00","R$ 22,00"
O PASSEIO,Pablo Lugones e Alexandre Rampazo,"R$ 48,00","R$ 24,00"
PARECE GENTE,Nana Toledo e Cecilia Varela,"R$ 44,00","R$ 22,00"
RUÍDO,Pablo Albo e Guridi,"R$ 39,90","R$ 19,95"
UM MAR DE LÁGRIMAS,Alejo Valdearena e Adriana Keselman,"R$ 39,90","R$ 19,95"
UNIFORME,Tino Freitas e Renato Moriconi,"R$ 48,00","R$ 24,00"
UMA ÁRVORE,Rodrigo Mattioli,"R$ 48,00","R$ 24,00"
