...E A LUA SUMIU,Milton Célio de Oliveira Filho,Maté,"R$ 47,90","R$ 23,95"
"1, 2, 3 QUEM ESTA NA FAZENDA?",Cocoretto,Cocoretto,"R$ 34,90","R$ 17,45"
A ARVORE  OS TRES CAMINHOS,Janaína Tokitaka,Janaína Tokitaka,"R$ 44,90","R$ 22,45"
A ARVORE DE BEBES,Sophie Blackall,Sophie Blackall,"R$ 44,90","R$ 22,45"
A ARVORE MAGNIFICA,Nick Bland,Stephen Michael King,"R$ 44,90","R$ 22,45"
A CARTA DO GILDO,Silvana Rando,Silvana Rando,"R$ 49,90","R$ 24,95"
A FABULOSA MÁQUINA DE AMIGOS,Nick Bland,Nick Bland,"R$ 44,90","R$ 22,45"
A GALINHA XADREZ,Rogério Trezza,Rogério Trezza,"R$ 44,90","R$ 22,45"
A GARRAFA,Patricia Auerbach,Patricia Auerbach,"R$ 44,90","R$ 22,45"
A HORA DA HISTORIA COM TEO,Sophy Henn,Sophy Henn,"R$ 34,90","R$ 17,45"
A ILHA DO MISTERIO,Paul Adshead,Paul Adshead,"R$ 44,90","R$ 22,45"
"A INACREDITAVEL, POREM VERDADEIRA, HISTORIA DOS DINOSSAUROS",Guido van Genechten,Guido van Genechten,"R$ 44,90","R$ 22,45"
A IRMÃ DO GILDO,Silvana Rando,Silvana Rando,"R$ 44,90","R$ 22,45"
A MACAQUINHA,Marta Altés,Marta Altés,"R$ 44,90","R$ 22,45"
A PEQUENA LANA,Silvana Rando,Silvana Rando,"R$ 44,90","R$ 22,45"
A POESIA PEDE A PALAVRA,Lalau,Laurabeatriz,"R$ 44,90","R$ 22,45"
A PONTE,Heinz Janisch,Helga Bansch,"R$ 39,90","R$ 19,95"
A PRINCESA E AS ERVILHAS,Caryl Hart,Sarah Warburton,"R$ 44,90","R$ 22,45"
A PRINCESA E O GIGANTE,Caryl Hart,Sarah Warburton,"R$ 44,90","R$ 22,45"
A PRINCESA QUE TUDO SABIA... MENOS UMA COISA,Rosane Pamplona,Dino Bernardi Junior,"R$ 49,90","R$ 24,95"
A QUEDA DOS MOAIS,Blandina Franco e Patricia Auerbach,José Carlos Lollo,"R$ 44,90","R$ 22,45"
A SUPERPREGUIÇA!,Robert Starling,Robert Starling,"R$ 49,90","R$ 24,95"
A TOALHA VERMELHA,Fernando Vilela,Fernando Vilela,"R$ 42,90","R$ 21,45"
A ULTIMA HISTORIA ANTES DE DORMIR,Nicola O'Byrne,Nicola O'Byrne,"R$ 44,90","R$ 22,45"
A VELHINHA QUE DAVA NOME AS COISAS,Cynthia Rylant,Kathryn Brown,"R$ 49,90","R$ 24,95"
