Autor,Título,Data de lançamento,Preço R$,Desconto,Preço com desconto,Site
"Moraes, Miriam",10 coisas que descobri sobre corrupção e política quando fui candidata,20/04/2018,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Tzu, Sun",A arte da guerra,30/10/2017,"R$ 39,90",50%,"R$ 19,95",www.troiaeditora.com.br
"Tzu, Sun",A arte da guerra ‐ Edição de luxo,17/04/2008,"R$ 29,90",50%,"R$ 14,95",www.troiaeditora.com.br
"Tzu, Sun",A arte da guerra ‐ Pocket,17/04/2008,"R$ 39,90",50%,"R$ 19,95",www.troiaeditora.com.br
"Polansky, Daniel",A Cilada,24/06/2014,"R$ 38,00",50%,"R$ 19,00",www.troiaeditora.com.br
"Pellegrini, Domingos",A conversa das letras,30/10/2012,"R$ 44,00",50%,"R$ 22,00",www.troiaeditora.com.br
"Alcott, Kate",A costureira,01/03/2013,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Lima, Conceição",A dolorosa raiz do Micondó,09/04/2012,"R$ 22,00",50%,"R$ 11,00",www.troiaeditora.com.br
"Judge, Chris",A fera solitária,18/09/2013,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Spok; Spencer, Nathan",A fúria dos mobs,24/08/2016,"R$ 69,90",50%,"R$ 34,95",www.troiaeditora.com.br
"Spok; Spencer, Nathan",A fúria dos mobs 2,20/03/2018,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Emediato, Luiz Fernando",A Grande Ilusão,06/08/2021,"R$ 49,90",50%,"R$ 24,95",www.troiaeditora.com.br
"Welzer, Harald",A guerra da água,10/07/2016,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Casey, Elle",A Guerra dos Fae,18/01/2016,"R$ 48,00",50%,"R$ 24,00",www.troiaeditora.com.br
"Casey, Elle",A Guerra dos Fae,31/10/2014,"R$ 29,90",50%,"R$ 14,95",www.troiaeditora.com.br
"Casey, Elle",A Guerra dos Fae,29/04/2014,"R$ 58,00",50%,"R$ 29,00",www.troiaeditora.com.br
"Rodrigues, Marlene",A hidra,10/11/2016,"R$ 24,00",50%,"R$ 12,00",www.troiaeditora.com.br
"Pellegrini, Domingos",A história da gota d'água,15/10/2012,"R$ 52,00",50%,"R$ 26,00",www.troiaeditora.com.br
"Pemper, Mietek",A lista de Schindler,01/04/2019,"R$ 52,00",50%,"R$ 26,00",www.troiaeditora.com.br
"Hofmann, Corinne",A Massai Branca,02/09/2011,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Emediato, Fernanda",A menina sem cor,08/10/2020,"R$ 32,00",50%,"R$ 16,00",www.troiaeditora.com.br
"Emediato, Fernanda",A menina sem cor edição especial,08/10/2020,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Nery, Sebastião",A Nuvem,03/12/2009,"R$ 38,00",50%,"R$ 19,00",www.troiaeditora.com.br
"Leite, Paulo Moreira",A outra história da Lava‐jato,19/09/2016,"R$ 48,00",50%,"R$ 24,00",www.troiaeditora.com.br
"Moreira Leite, Paulo",A outra história do mensalão,15/03/2013,"R$ 64,00",50%,"R$ 32,00",www.troiaeditora.com.br
"Gilmour, David",A Perfeita Ordem das Coisas,20/05/2014,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
