TABELA DE PREÇO GIRASSOL,,,
ISBN,DESCRIÇÃO,PREÇO,Desc 50%
9788539420469,4 EM LINHA -  ANIMAIS,"R$ 69,90","R$ 34,95"
9788539420452,4 EM LINHA - FADAS,"R$ 69,90","R$ 34,95"
9788539422715,50 BRINCADEIRAS AZUL,"R$ 39,90","R$ 19,95"
9788539422708,50 BRINCADEIRAS VERMELHA,"R$ 39,90","R$ 19,95"
9788539421145,500 PERGUNTAS E RESPOSTAS SOBRE OS DINOSSAUROS,"R$ 94,90","R$ 47,45"
9788539424252,501 ATIVIDADES PARA CRIANÇAS - CAPA NOVA,"R$ 109,90","R$ 54,95"
9788539419333,7 CONTOS 7 NOITES - PARA DORMIR E SONHAR,"R$ 64,90","R$ 32,45"
9788539419340,7 CONTOS 7 NOITES - SONHOS MAGICOS DOCES CONTOS,"R$ 64,90","R$ 32,45"
9788539419364,7 CONTOS 7 NOITES - UM CONTO PARA CADA NOITE,"R$ 64,90","R$ 32,45"
9788539419371,7 CONTOS 7 NOITES - UM CONTO UM SONHO,"R$ 64,90","R$ 32,45"
9788539422531,ADESIVOS ESPACIAIS - ASTRONAUTA E A EXPLORACAO ESP,"R$ 42,90","R$ 21,45"
9788539422548,ADESIVOS ESPACIAIS - DESCUBRA O UNIVERSO,"R$ 42,90","R$ 21,45"
9788539423101,AMIGUINHOS - AS AVENTURAS DE LUIZINHO,"R$ 34,90","R$ 17,45"
9788539423095,AMIGUINHOS - AS CORRIDAS DE TONI,"R$ 34,90","R$ 17,45"
9788539423125,AMIGUINHOS - AS FERIAS DE MARQUINHOS,"R$ 34,90","R$ 17,45"
9788539423118,AMIGUINHOS - O DIA DA JOSI,"R$ 34,90","R$ 17,45"
9788539401512,"ANGELINO O ANJINHO DISTRAIDO, CAMINHO DA ESCOLA,","R$ 19,90","R$ 9,95"
9788539401505,"ANGELINO O ANJINHO DISTRAIDO, PRIMEIROS PASSOS, O","R$ 19,90","R$ 9,95"
9788539419777,AVENTURAS NO FOLCLORE BRASILEIRO,"R$ 89,90","R$ 44,95"
9788539423187,BANHO - BEBE HIPOPOTAMO,"R$ 29,90","R$ 14,95"
9788539423156,BANHO - BEBE JACARE,"R$ 29,90","R$ 14,95"
9788539423163,BANHO - BEBE PATO,"R$ 29,90","R$ 14,95"
9788539423170,BANHO - BEBE SAPO,"R$ 29,90","R$ 14,95"
9788539419531,BANHO BOM  - COELHINHO,"R$ 39,90","R$ 19,95"
9788539419548,BANHO BOM  - TIGRINHO,"R$ 39,90","R$ 19,95"
9788539419555,BANHO BOM - CACHORRINHO,"R$ 39,90","R$ 19,95"
