isbn,TÍTULO Autora,SELO,CAPA,PROMO,,%
9788576846697,100 FILMES - DA MITTERAND,BEST,"129,9",,"64,95","-50,00%"
9788501108197,"15 CONTOS ESCOLHIDOS MANSFIELD,",RECORD,"59,9",,"29,95","-50,00%"
9788546501182,"15:17 - TREM PARA STONE,",BEST,"39,9",,"19,95","-50,00%"
9788577534067,"1789 - O SURGIMENTO LEFEBVRE,G",PAZ E,"49,9",,"24,95","-50,00%"
9788520012383,"1964: O GOLPE QUE GOMES,",CIVILIZACA,"79,9",,"39,95","-50,00%"
9788501109118,"1988: SEGREDOS DA MAKLOUF,",RECORD,"89,9",,"44,95","-50,00%"
9788576861072,"3096 DIAS KAMPUSCH,",VERUS,"59,9",,"29,95","-50,00%"
9788577993376,"40 CONTOS ESCOLHIDOS -2A7S3SIS, MACHABDEOST D",E,"34,9",,"17,45","-50,00%"
9788574320717,"50 PENSADORES DYSON, R W",BERTRAND,"59,9",,"29,95","-50,00%"
9788520010372,"A acumulação do Capital LUXEMBURGOC,I VRIOLISZA CAO BR7A9S,9ILEIRA",,,,"39,95","-50,00%"
9788546500109,"A BIOGRAFIA HUMANA GUTMAN,",BEST,"54,9",,"27,45","-50,00%"
9788577532599,"A Crise E Seus Efeitos CASTELLS, MAPNAUZE EL TERRA",,"59,9",,"29,95","-50,00%"
9788546501298,"A MONJA E O ROSHI,",BEST,"39,9",,"19,95","-50,00%"
9788588763104,"A mulher perdida WINTON, TIMPAZ E TERRA",,"49,9",,"24,95","-50,00%"
9788503010962,"A Paixão De Artemisia VREELAND, SUJOSASEN OLYMPIO44,9",,,,"22,45","-50,00%"
9788501098504,"A Queda MAINARDI, DIROEGCORD",,"34,9",,"17,45","-50,00%"
9788577992003,"ABADIA DE NORTHANGER,A AU -S2T2E3N, JANEEDICOES BESTB3O4L,9SO",,,,"17,45","-50,00%"
9788503011334,"ABC DE JOSE LINS DO HOLLANDA,",JOSE,"54,9",,"27,45","-50,00%"
9788577992584,"ABOLICIONISMO, O -174 NABUCO, JOAEQDUICIMOES BESTB2O9L,9SO",,,,"14,95","-50,00%"
9788501065209,"ABUSADO BARCELLOS,",RECORD,"99,9",,"49,95","-50,00%"
9788577992867,"ADVOGADO DO DIABO -29N4EIDERMAN, EADNIDCOREWS BESTB3O9L,9SO",,,,"19,95","-50,00%"
9788546501151,"AGATHA CHRISTIE - UMA MORGAN,",BEST,"74,9",,"37,45","-50,00%"
9788577992454,"AGORA E SEMPRE -313 MCNAUGHT, JEUDDICITOHES BESTB3O9L,9SO",,,,"19,95","-50,00%"
9788577991686,"ALCORAO, O -144 PROFETA MAOEDMICEOES BESTB4O9L,9SO",,,,"24,95","-50,00%"
9788501118233,"Alexandre de Gusmão (169S5A-M17P5A3I)O GOERSE CFOILRHDO, SYNE5SI9O,9",,,,"29,95","-50,00%"
9788568905418,"ALIBABA, A GIGANTE DO CLARK,",BEST,"49,9",,"24,95","-50,00%"
9788501109026,"ALMA DO MUNDO, A SCRUTON,",RECORD,"54,9",,"27,45","-50,00%"
9788520009642,"Amantes EDUARDO, LECIGIVHILIZACAO BR7A9S,9ILEIRA",,,,"39,95","-50,00%"
9788501103161,"AMAZONIA INDIGENA SOUZA,",RECORD,"99,9",,"49,95","-50,00%"
9788577992546,"AMOR E HONRA (SAGA BOARROLDEIN,  1L)E S-3L0IE7EDICOES BESTB3O9L,9SO",,,,"19,95","-50,00%"
9788528606546,"AMOR POESIA MORIN,",BERTRAND,"49,9",,"24,95","-50,00%"
9788501400321,"Amy, Minha Filha WINEHOUSE, RMEICCOHRTD",,"59,9",,"29,95","-50,00%"
9788577991839,"ANNA DE ASSIS: HISTORIA ADSES UISM, J UTRDAITGHIEC RDOIIB CAEOMIREOS R BD E-E1S3TB93O4L,9SO",,,,"17,45","-50,00%"
9788520011096,"ANO VERMELHO, O - MONIZ",CIVILIZACA,"99,9",,"49,95","-50,00%"
9788574321240,"ANTICONFORMISTA, O - UMFEAR RBYIO, LGURCAFIAD IIFNETLELECTUAL74,9",,,,"37,45","-50,00%"
9788577992188,"ANTOLOGIA DE CONTOS EXPTOREA, OEDRDGIANRA ARBLIEOLSASTN  -153",,"44,9",,"22,45","-50,00%"
9788577991594,"ARDIL-22 -170 HELLER, JOSEPEHDICOES BESTB5O4L,9SO",,,,"27,45","-50,00%"
9788520007372,"ARQUIVOS DO MAL- BIRMAN,",CIVILIZACA,"84,9",,"42,45","-50,00%"
9788576844594,"ARTE DA GUERRA, A ROMAN,",BEST,"79,9",,"39,95","-50,00%"
9788577990962,"ARTE DA GUERRA, A SUN TZU",EDICOES,"24,9",,"12,45","-50,00%"
