"",,,,,$ C/ 50%
TÍTULO,,AUTOR,SELO,$ CAPA,
"",,,,,DESCONTO
10 PASSOS PARA VOCÊ SE TORNAR SEU MESTRE,"TELLES, IZABEL",,ÁGORA,"38,60","19,30"
100 JOGOS PARA GRUPOS,"YOZO, RONALDO YUDI K.",,ÁGORA,"65,70","32,85"
4 PRINCIPAIS LIDERANÇAS DA SOCIEDADE E SUAS COMPET,"RESENDE, ENIO J.",,SUMMUS,"38,60","19,30"
A LOVE STORY... WITH A HAPPY ENDING,"GIKOVATE, FLÁVIO",,MG EDITORES,"55,60","27,80"
ABDIAS NASCIMENTO - RETRATOS DO BRASIL NEGRO,"ALMADA, SANDRA DE SOUZA",,SELO NEGRO,"31,90","15,95"
ABORDAGEM À FAMÍLIA NO CONTEXTO DO CONSELHO TUTELAR,"FORTUNATO, L.; PENSO, M. ; GANDOLFO, M.",,ÁGORA,"62,80","31,40"
ABORDAGENS GRUPAIS EM FONOAUDIOLOGIA,"BERBERIAN,SANTANA,MASSI,GUARIN",,PLEXUS,"71,60","35,80"
AÇÕES AFIRMATIVAS EM EDUCAÇÃO,"SILVA, M.APAREC.CIDINHA (ORG)",,SELO NEGRO,"87,80","43,90"
AÇÕES EDUCATIVAS,PUTTINI//LIMA (ORGS),,ÁGORA,"59,70","29,85"
ACUPUNTURA E MEDICINA INTEGRATIVA,"VIEIRA, MÁRIO SÉRGIO ROSSI",,MG EDITORES,"62,80","31,40"
"ADEUS, MARIDOS","ABBOT, DEBORAH/FARMER, ELLEN",,EDIÇÕES GLS,"81,80","40,90"
"ADIANTADO DA HORA, O","LINS DA SILVA, CARLOS EDUARDO",,SUMMUS,"57,10","28,55"
ADOLESCÊNCIA E TRABALHO,"FONSECA, JOÃO CÉSAR DE FREITAS",,SUMMUS,"48,20","24,10"
"AFETIVIDADE DO EDUCADOR, A","MARCHAND, MAX",,SUMMUS,"42,80","21,40"
AFETIVIDADE NA ESCOLA,"ARANTES, VALÉRIA AMORIM (ORG)",,SUMMUS,"78,90","39,45"
"ÁFRICA NA SALA DE AULA, A - ED. REVISTA","HERNANDEZ, LEILA LEITE",,SELO NEGRO,"134,30","67,15"
AFROCENTRICIDADE - SANKOFA 4,"NASCIMENTO, ELISA LARKIN",,SELO NEGRO,"108,80","54,40"
AFROCIDADANIZAÇÃO,"GUIMARÃES, REINALDO DA SILVA",,SELO NEGRO,"62,50","31,25"
AGÊNCIA DE PROPAGANDA E AS ENGRENAGENS DA HISTÓRIA,"MENNA BARRETO, ROBERTO",,SUMMUS,"39,80","19,90"
"AGENTE SOCIAL QUE TRANSFORMA, O","MARRA, MARLENE MAGNABOSCO",,ÁGORA,"64,20","32,10"
AINDA E SEMPRE PSICODRAMA - EDIÇÃO REVISTA,"PERAZZO, SÉRGIO",,ÁGORA,"53,10","26,55"
AJUDA-ME A CRESCER,"CASALE, FRANCO DEL",SUMMUS,"71,60","35,80"
ALEGRIA,"LOWEN, ALEXANDER",SUMMUS,"74,40","37,20"
ALÉM DA LÓGICA,"O'CONNOR, J./MCDERMONT, IAN",SUMMUS,"90,60","45,30"
ALÉM DO HEROI,"CHINEN, ALLAN B.",SUMMUS,"94,50","47,25"
ALFABETIZAÇÃO E LETRAMENTO,"ARANTES, VALÉRIA AMORIN (ORG.)",SUMMUS,"76,00","38,00"
ALFABETIZAÇÃO EM VALORES HUMANOS,"SIMON, DÂMARIS; MARTURANO, EDNA",SUMMUS,"68,80","34,40"
ALIMENTAÇÃO SAUDÁVEL NA INFÂNCIA,"LOBO, CLÁUDIA",MG EDITORES,"48,20","24,10"
ALONGAMENTO E POSTURA,"COSTA, CHRISTINA; LIGGIERI, VICTOR C",SUMMUS,"89,80","44,90"
ALONGUE-SE - EDIÇÃO COMEMORATIVA,"ANDERSON, BOB",SUMMUS,"109,80","54,90"
ALONGUE-SE NO TRABALHO,"ANDERSON, BOB",SUMMUS,"66,40","33,20"
AMAR UM ADOLESCENTE,"FORD, JUDY",ÁGORA,"57,10","28,55"
AMAR UMA CRIANCA,"FORD, JUDY",ÁGORA,"53,10","26,55"
AMOR CONJUGAL E TERAPIA DE CASAL,"DI YORIO, VANDA",SUMMUS,"48,20","24,10"
AMOR E ÉTICA,"BARROS, PAULO",SUMMUS,"100,90","50,45"
AMOR E ORGASMO,"LOWEN, ALEXANDER",SUMMUS,"99,30","49,65"
AMOR E PERDA,"PARKES, COLIN MURRAY",SUMMUS,"108,10","54,05"
AMOR E VINCULOS,"KELEMAN, STANLEY",SUMMUS,"62,80","31,40"
"AMOR NA RELACAO TERAPEUTICA, O","CARDELLA, BEATRIZ H PARANHOS",SUMMUS,"42,80","21,40"
"AMOR, CASAMENTO, FAMÍLIA, DIVÓRCIO E DEPOIS","SOUZA, ROSANE M./RAMIRES, VERA",SUMMUS,"78,90","39,45"
"AMOR, SEXO E SEU CORACAO","LOWEN, ALEXANDER",SUMMUS,"61,70","30,85"
AMORES PERFEITOS - EDIÇÃO REVISTA,"GAIARSA, JOSÉ ANGELO",ÁGORA,"71,60","35,80"
ANÁLISE PSICODRAMÁTICA,"DIAS, VICTOR ROBERTO C SILVA",ÁGORA,"62,80","31,40"
ANATOMIA DA NOITE,"EL-JAICK, MÁRCIO",EDIÇÕES GLS,"51,00","25,50"
ANATOMIA EMOCIONAL,"KELEMAN, STANLEY",SUMMUS,"131,70","65,85"
ANGEL VIANNA: A PEDAGOGA DO CORPO,"BENTO, MARIA ENAMAR R. NEHERER",SUMMUS,"57,10","28,55"
ANGÚSTIAS CONTEMPORÂNEAS E GESTALT-TERAPIA,"MARRAS, MARGARET (ORG.)",SUMMUS,"76,00","38,00"
"ANIMAIS E A PSIQUE, OS - VOL. 1",DIVERSOS AUTORES,SUMMUS,"94,50","47,25"
"ANIMAIS E A PSIQUE, OS - VOL. 2",DIVERSOS AUTORES,SUMMUS,"97,50","48,75"
APARTAMENTO 41,"CARVALHO, NELSON LUIZ DE",EDIÇÕES GLS,"53,10","26,55"
"APRENDER A ESCRITA, APRENDER COM A ESCRITA","GOULART, CECÍLIA; WILSON, VICTORIA",SUMMUS,"84,60","42,30"
APRENDER: VERBO TRANSITIVO,"LOMONACO, BEATRIZ PENTEADO",SUMMUS,"59,70","29,85"
APRENDIZAGEM BASEADA EM PROBLEMAS,"ARAÚJO,ULISSES;SASTRE,GENOVEVA",SUMMUS,"78,90","39,45"
APRENDIZAGEM DINAMICA VOL I,"DILTS,ROBERT/ EPSTEIN,TODD",SUMMUS,"67,90","33,95"
APRENDIZAGEM DINAMICA VOL II,"DILTS,ROBERT/ EPSTEIN TODD",SUMMUS,"84,60","42,30"
APRIMORANDO A SAUDE SEXUAL,INST. PAULISTA DE SEXUALIDADE,SUMMUS,"108,80","54,40"
APROXIMAÇÕES ENTRE JUNG E MORENO,"RAMALHO, CYBELE M. R.",ÁGORA,"59,70","29,85"
"ARTE DA PEREGRINAÇÃO, A","COUSINEAU, PHIL",ÁGORA,"87,80","43,90"
"ARTE DE RESTAURAR HISTÓRIAS, A","JULIANO, JEAN CLARK",SUMMUS,"57,10","28,55"
"ARTE DE TECER O PRESENTE, A","MEDINA, CREMILDA",SUMMUS,"57,10","28,55"
ARTE E GESTALT,"RHYNE, JANIE",SUMMUS,"94,50","47,25"
"ARTE, CLÍNICA E LOUCURA","LIMA, ELIZABETH ARAÚJO",SUMMUS,"81,80","40,90"
ARTES DO CORPO,"SILVA, VAGNER GONÇALVES DA(ORG",SELO NEGRO,"84,60","42,30"
ARTETERAPIA PARA FAMILIAS,"RILEY, SHIRLEY",SUMMUS,"92,10","46,05"
ASPECTOS BIOMECÂNICOS,"CAMPIGNION, PHILIPPE",SUMMUS,"106,40","53,20"
ASSESSORIA DE IMPRENSA - COMO FAZER,"CHINEM, RIVALDO",SUMMUS,"65,70","32,85"
ASSESSORIA DE IMPRENSA: TEORIA E PRÁTICA,"FERRARETTO, ELISA E LUIZ ARTUR",SUMMUS,"57,10","28,55"
ASSUSTANDO OS UNICORNIOS,"SCHIMEL, LAWRENCE",EDIÇÕES GLS,"51,00","25,50"
ASTROLOGIA PARA ASTRÓLOGOS E AMANTES DA ASTROLOGIA,ASSURAMAYA,ÁGORA,"94,50","47,25"
ASTROLOGIA PARA GAYS E LESBICAS,"LOBO, ESTELA ROTTA",EDIÇÕES GLS,"65,70","32,85"
ATIVIDADE VERBAL,"MACKAY,ANA PAULA M. G.",PLEXUS,"59,70","29,85"
"ATLETA DOS ATLETAS, O","LEONARD, GEORGE",SUMMUS,"81,80","40,90"
ATOS RETÓRICOS,"HALLIDAY, TEREZA LUCIA (ORG.)",SUMMUS,"51,00","25,50"
ATRÁS DAS CÂMERAS,"LEAL FILHO, LAURINDO LALO",SUMMUS,"42,80","21,40"
ATRAVESSAGEM,"MEDINA, CREMILDA",SUMMUS,"76,70","38,35"
ATRAVESSANDO,BANDLER/GRINDER,SUMMUS,"96,50","48,25"
AUTOCONHECIMENTO NA FORMAÇÃO DO EDUCADOR,"ESPÍRITO SANTO, RUY CÉZAR DO",ÁGORA,"42,80","21,40"
AUTO-ESTIMA PARA HOMOSSEXUAIS,"HARDIN, KIMERON N.",EDIÇÕES GLS,"81,80","40,90"
AUTOGESTÃO NA SALA DE AULA,"ARAÚJO, ULISSES FERREIRA",SUMMUS,"42,80","21,40"
AUTOPOSTURAS DA RPG,"SOUCHARD, PHILIPPE",SUMMUS,"50,70","25,35"
AUTORIDADE E AUTONOMIA NA ESCOLA,"AQUINO, JULIO GROPPA",SUMMUS,"76,00","38,00"
"AVENTURA DA AUTODESCOBERTA, A","GROF, STANISLAV",SUMMUS,"94,50","47,25"
"AVENTURAS DE UM GAROTO DE PROGRAMA, AS","ANDROS, PHIL",EDIÇÕES GLS,"62,80","31,40"
AVÓS E SOGRAS,"MONTEIRO, ELIZABETH",SUMMUS,"47,10","23,55"
BABÁ / MÃE - MANUAL DE INSTRUÇÕES,"PALERMO, ROBERTA",MESCLA,"57,10","28,55"
BALADA PARA AS MENINAS PERDIDAS,"LEONEL, VANGE",EDIÇÕES GLS,"59,70","29,85"
"BASES DA FISIOLOGIA DA TERAPIA MANUAL, AS","BIENFAIT, MARCEL",SUMMUS,"106,40","53,20"
BASES ELEMENTARES - TÉCNICAS DE TERAPIA MANUAL E OSTEOPATIA,"BIENFAIT, MARCEL",SUMMUS,"93,10","46,55"
"BEBE E A COORDENACAO MOTORA, O","BEZIERS, MARIE-MADEL/HUNSINGER",SUMMUS,"63,80","31,90"
"BELEZA IMPOSSÍVEL, A","MORENO, RACHEL",ÁGORA,"42,80","21,40"
BIOENERGÉTICA - EDIÇÃO REVISTA,"LOWEN, ALEXANDER",SUMMUS,"84,60","42,30"
"BIOMECÂNICA DA COORDENAÇÃO MOTORA, A","SANTOS, ANGELA",SUMMUS,"98,30","49,15"
"BIOPODER, TOTALITARISMO Y LA CLÍNICA DEL SUFRIMIENTO","GRANZOTTO, MARCOS; GRANZOTTO, ROSANE L.",SUMMUS,"65,70","32,85"
"BOLA E O VERBO, A","VIANA, RODRIGO SILVA",SUMMUS,"42,80","21,40"
"BOLA NO AR, A","SOARES, EDILEUSA",SUMMUS,"48,20","24,10"
"BRASIL PODE SER UM PAÍS DE LEITORES?, O","LINDOSO, FELIPE",SUMMUS,"48,30","24,15"
BRIGANDO PELA VIDA,"LESHAN, LAWRENCE",SUMMUS,"51,00","25,50"
BRUXAS E HEROIS,"YOUNG-EISENDRATH, POLLY",SUMMUS,"64,20","32,10"
"BRUXAS QUE VIVEM DENTRO DE NOS, AS","GARROUX, BABY",ÁGORA,"71,60","35,80"
"BUSCA DA ELEGÂNCIA EM PSICOTERAPIA, A","ZINKER, JOSEPH",SUMMUS,"102,40","51,20"
CADÊ O PAI DESSA CRIANÇA?,"MONTEIRO, ELIZABETH",SUMMUS,"51,00","25,50"
CADEIAS ÂNTERO-LATERAIS,"CAMPIGNION, PHILIPPE",SUMMUS,"117,00","58,50"
CADEIAS ANTEROMEDIANAS,"CAMPIGNION, PHILIPPE",SUMMUS,"129,00","64,50"
CADEIAS MUSCULARES E ARTICULARES,"DENYS-STRUYF, GODELIEVE",SUMMUS,"79,80","39,90"
CADEIAS POSTEROANTERIORES E ANTEROPOSTERIORES,"CAMPIGNION, PHILIPPE",SUMMUS,"153,20","76,60"
CADEIAS POSTEROLATERAIS,"CAMPIGNION, PHILIPPE",SUMMUS,"106,40","53,20"
CADEIAS POSTEROMEDIANAS,"CAMPIGNION, PHILIPPE",SUMMUS,"129,00","64,50"
CALL CENTER,"MANCINI, LUCAS",SUMMUS,"60,40","30,20"
CAMINHANDO SOBRE FRONTEIRAS,"FROCHTENGARTEN, FERNANDO",SUMMUS,"59,70","29,85"
CAMINHO ANCESTRAL,"PANOZZO, GIOIA",ÁGORA,"48,20","24,10"
"CAMINHO DA CABALA, O","HALEVI, Z'EV BEN SHIMON",ÁGORA,"94,50","47,25"
"CAMINHO DA REALIZAÇÃO COM A AGRICULTURA CELESTE, O","BERNIS, MAURÍCIO",ÁGORA,"48,20","24,10"
"CAMINHO DAS PEDRAS, O","INOUE, RYOKI",SUMMUS,"48,20","24,10"
"CAMINHO QUÁDRUPLO, O","ARRIEN, ANGELES",ÁGORA,"79,80","39,90"
CAMINHOS DA ALMA,"SILVA, VAGNER GONÇALVES",SELO NEGRO,"90,60","45,30"
CAMINHOS DA MUSICOTERAPIA,"RUUD, EVEN",SUMMUS,"42,80","21,40"
CAMINHOS PARA A SAÚDE AUDITIVA,"MORATA,THAIS C./ZUCKI,FERNANDA",PLEXUS,"74,50","37,25"
"CAMPEÃO DE AUDIÊNCIA, O","PRIOLLI, GABRIEL; CLARK, WALTER",SUMMUS,"60,40","30,20"
"CANCER COMO PONTO DE MUTAÇÃO, O","LESHAN, LAWRENCE",SUMMUS,"67,90","33,95"
CÂNCER E PREVENÇÃO,"MALZYNER, ARTUR; CAPONERO, RICARDO",MG EDITORES,"48,20","24,10"
CANDOMBLÉ E UMBANDA,"SILVA, VAGNER GONÇALVES DA",SELO NEGRO,"46,40","23,20"
CAPITAL SOCIAL E COMUNICAÇÃO,"MATOS, HELOIZA",SUMMUS,"92,10","46,05"
CAPOEIRA,"VIDOR, ELISABETH; REIS, LETÍCIA V. S.",SELO NEGRO,"42,80","21,40"
CARACTEROLOGIA PÓS-REICHIANA,"NAVARRO, FEDERICO",SUMMUS,"42,80","21,40"
"CARMA DO AGORA, O","SCHULMAN, MARTIN",ÁGORA,"42,80","21,40"
CARNE DE SOJA,"OLKOVSKI, IRENE",MG EDITORES,"42,80","21,40"
CARTAS DE UM SOBREVIVENTE,"SIMONTON, O CARL/HENSON,M REID",SUMMUS,"67,90","33,95"
"CARTILHA DA NOVA MÃE, A","GAIARSA, JOSÉ ANGELO",ÁGORA,"42,80","21,40"
"CASAL EM CRISE, O",ANDOLFI/ANGELO/SACCU,SUMMUS,"71,60","35,80"
CATÁLOGOS,DIVERSOS,ÁGORA,"0,00","0,00"
CENAS FAMILIARES,"REIS, JOSÉ ROBERTO TOZONI",ÁGORA,"51,00","25,50"
