"Preço dePreço comTítuloAutorcapadesconto",,,
1964: do golpe à democracia,"Alonso, Angela; Dolhnikoff, Miriam (org.)","R$ 119,00","R$ 59,50"
A arte da guerra,"Maquiavel, Nicolau","R$ 79,00","R$ 39,50"
A Arte de olhar diferente,"Tavares, Braulio","R$ 59,00","R$ 29,50"
A Árvore dos cantos,Pajés Parahiteri,"R$ 46,00","R$ 23,00"
A Autobiografia do poeta-escravo,"Manzano, Juan Francisco","R$ 69,00","R$ 34,50"
A carteira de meu tio,"Macedo, Joaquim Manuel de","R$ 59,00","R$ 29,50"
A cidade e as serras,"Queiroz, Eça de","R$ 94,00","R$ 47,00"
A Cidade mágica,"Nesbitt, Edith","R$ 66,00","R$ 33,00"
A conjuração de Catilina,Salústio,"R$ 49,00","R$ 24,50"
A constituição traída: da abertura democrática ao golpe e à prisão de Lula,"Cruz, Cleonildo; Cirne, Liana (org.)","R$ 129,00","R$ 64,50"
A Cruzada das crianças / Vidas imaginárias,"Schwob, Marcel","R$ 49,00","R$ 24,50"
A Decadência do analfabetismo / A arte de birlibirloque,"Bergamín, José","R$ 38,00","R$ 19,00"
A Demanda do Santo Graal,Anônimo,"R$ 119,00","R$ 59,50"
A escrava: antologia de prosa e versos,"dos Reis, Maria Firmina","R$ 56,00","R$ 28,00"
A Fábrica de robôs,"Tchápek, Karel","R$ 49,00","R$ 24,50"
A Fábrica de robôs [Bolso],"Tchápek, Karel","R$ 49,00","R$ 24,50"
A Farsa de Inês Pereira,"Vicente, Gil","R$ 39,00","R$ 19,50"
A Filosofia na era trágica dos gregos,"Nietzsche, Friedrich","R$ 47,00","R$ 23,50"
A História do planeta azul,"Magnason, Andri Snaer","R$ 59,00","R$ 29,50"
A linguagem fascista,"Piovezani, Carlos; Gentile, Emilio","R$ 69,00","R$ 34,50"
A metamorfose (Bilíngue),"Kafka, Franz","R$ 49,90","R$ 24,95"
A Monadologia e outros textos,"Leibniz, Gottfried","R$ 45,00","R$ 22,50"
A Mulher que virou Tatu,"Camargo, Eliane (org.)","R$ 48,00","R$ 24,00"
A Nostálgica e outros contos,"Papadiamántis, Aléxandros","R$ 65,00","R$ 32,50"
A pele do lobo e outras peças,"Azevedo, Artur","R$ 59,00","R$ 29,50"
A Raposa sombria,Sjón,"R$ 44,00","R$ 22,00"
A Semente e a torre,"da Vinci, Leonardo","R$ 49,00","R$ 24,50"
A sociedade de controle: manipulação e modulação nas redes digitais,"Souza, Joyce; Avelino, Rodolfo; Amadeu da Silveira, Sérgio (org.)","R$ 59,00","R$ 29,50"
A terra uma só,"Popyguá, Timóteo da Silva Verá Tupã","R$ 44,00","R$ 22,00"
A Última folha e outros contos,"Henry, O.","R$ 49,00","R$ 24,50"
A Velha Izerguil e outros contos,"Górki, Maksim","R$ 49,00","R$ 24,50"
A Vênus das peles,"Sacher-Masoch, Leopold Von","R$ 59,00","R$ 29,50"
A Vênus das peles [Bolso],"Sacher-Masoch, Leopold Von","R$ 49,00","R$ 24,50"
A Vênus de quinze anos (Flossie),"Swinburne, Charles","R$ 42,00","R$ 21,00"
A Vida de H.P. Lovecraft,"Joshi, S.T.","R$ 109,00","R$ 54,50"
A Vida de Mat,"Carta, Mino","R$ 46,40","R$ 23,20"
A Vida é sonho,"Barca, Calderón de La","R$ 39,00","R$ 19,50"
A Volta do parafuso,"James, Henry","R$ 59,00","R$ 29,50"
A Voz dos botequins e outros poemas,"Verlaine, Paul","R$ 39,00","R$ 19,50"
Ação e percepção nos processos educacionais do corpo em formação,"Saito, Cecília Noriko Ito","R$ 59,00","R$ 29,50"
Acontecimentos na irrealidade imediata,"Blecher, Max","R$ 50,00","R$ 25,00"
Adeus ponta do meu nariz,"Lear, Edward","R$ 43,00","R$ 21,50"
Americanismo e fordismo,"Gramsci, Antonio","R$ 39,00","R$ 19,50"
Amores e outras imagens,Filóstrato,"R$ 34,00","R$ 17,00"
Anarquia pela educação,"Reclus, Élisée","R$ 39,00","R$ 19,50"
Anarquismo: crítica e autocrítica,"Bookchin, Murray","R$ 52,00","R$ 26,00"
Anjos do universo,"Gudmundsson, Einar Már","R$ 54,00","R$ 27,00"
Antifa: modo de usar,"Augusto, Acácio (org.)","R$ 59,00","R$ 29,50"
Aqui tem coisa,"Assaré, Patativa do","R$ 69,00","R$ 34,50"
As Bacantes,Eurípides,"R$ 49,00","R$ 24,50"
Ativismo digital hoje: política e cultura na era das redes,"Segurado, Rosemary; Penteado, Claudio; Amadeu da Silveira, Sérgio (org.)","R$ 74,00","R$ 37,00"
Auto da barca do Inferno,"Vicente, Gil","R$ 39,00","R$ 19,50"
Autobiografia de uma pulga,"Rhodes, Stanislas de","R$ 69,00","R$ 34,50"
Baleiazzzul,"Zlotnic, Sergio","R$ 49,00","R$ 24,50"
Bola de sebo e outros contos,"Maupassant, Guy de","R$ 55,00","R$ 27,50"
Bom crioulo,"Caminha, Adolfo","R$ 54,00","R$ 27,00"
Cabalat shabat: poemas rituais,"Grinberg, Fabiana Gampel (org.)","R$ 32,00","R$ 16,00"
Cabeças e outros poemas,"Armas, Pedro Luis Marques de","R$ 36,00","R$ 18,00"
Cadeira de balanço,"Rocha, Vanessa Campos; Castellan, Flávio","R$ 49,00","R$ 24,50"
