"",,"Preço comdesconto",
[Des]aprendizagens: textos sobre atuação,9786586039955,"43,00","21,50"
2016: Golpe e Democracia no Brasil,9786586039566,"68,00","34,00"
A Ampliação do Processo de Privatização da Saúde Pública no Brasil,9788584041688,"53,00","26,50"
A Antártida no sistema internacional,9788527106214,"46,00","23,00"
A arte romanesca do ator: Constantin Stanislavski na cultura do romance,9786586039313,"54,00","27,00"
A Busca: memórias da resistência,9788584041992,"52,00","26,00"
A Ciência dos Trópicos: A Arte Médica no Brasil do Séculos XVIII,9788527104180,"42,00","21,00"
A companhia de teatro São José: a menina‐dos‐olhos de Paschoal Segreto,9788564806016,"55,00","27,50"
A constituição federal de 1988: avanços e desafios,9788579700750,"44,00","22,00"
A Construção da Clínica Ampliada na Atenção Báscia,9788527106757,"49,00","24,50"
A construção da medicina integrativa: um desafio para o campo da saúde,9788560438143,"62,00","31,00"
A cultura popular na Idade Média e no Renascimento: o contexto de François Rabelais,9788527100199,"70,00","35,00"
A dimensão internacional do conflito armado colombiano: a internacionalização dos p,9788564806061,"53,00","26,50"
A economia brasileira de Getúlio a Dilma ‐ Novas interpretações,9786586039689,"92,00","46,00"
A era do saneamento : as bases da política de saúde pública no Brasil,9788564806085,"54,00","27,00"
A espiritualidade no trabalho em saúde,9788584040667,"72,00","36,00"
A Estrutura Metálica na Arquitetura Civil,9788560438754,"80,00","40,00"
"A Formulação de uma Política Pública: contexto, atores e ideias na análise da política",9788584041640,"49,00","24,50"
A geografia da paz,9786586039122,"50,00","25,00"
A ilha de Búzios: uma comunidade caiçara no sul do Brasil,9788560438075,"40,00","20,00"
A independência do Brasil e a experiência hispano‐americana (1808‐1822),9788584040452,"79,00","39,50"
A inversão da olhadela : alterações no ato do espectador teatral,9788584041008,"58,00","29,00"
A lei do desejo: tomar a terra de assalto,9788584041107,"48,00","24,00"
"A língua é o que nos une: língua, sujeito e estado no museu da língua portuguesa",9788584041824,"56,00","28,00"
A Medicina da Alma. Artes do Viver e Discursos Terapêuticos,9788564806535,"47,00","23,50"
A Melhoria Rápida da qualidade nas organizações de saúde,9788564806320,"53,00","26,50"
A mulher e o teatro brasileiro do Século XX,9788560438723,"71,00","35,50"
A natureza na literatura brasileira,9788527106627,"40,00","20,00"
"A nova geografia militar: logística, estratégia e inteligência",9788584040773,"49,00","24,50"
A Palavra Perplex: Experiência Histórica e Poesia no Brasil nos anos 1970,9788584041244,"76,00","38,00"
A pedagogia do espectador,9786586039191,"48,00","24,00"
"A política da justiça: blindar as elites, criminalizar os pobres",9788584041633,"86,00","43,00"
A Política de Reforma Agrária de Mercado do Banco Mundial,9788579700279,"64,00","32,00"
A Política externa da primeira república e os Estados Unidos. A atuação de Joaquim N,9788560438013,"55,00","27,50"
A produção subjetiva do cuidado: cartografias da estratégia saúde da Família,9788579700088,"44,00","22,00"
A propriedade rural como símbolo: representações sociais e impactos sobre o ambien,9788560438594,"47,00","23,50"
A psicoterapia instiutucional e o clube dos saberes,9788584041510,"48,00","24,00"
A quebra da mola real das sociedades: a crise política do Antigo Regime Português na,9788579700293,"62,00","31,00"
A Reforma Psiquiátrica no Cotidiano II,9788560438198,"50,00","25,00"
"A Reformulação da Clínica e a Gestão na Saúde: Sujetividade, política e a invenção de",9788584040421,"53,00","26,50"
A Reinvenção do Sertão: Organização Social e Governança do Bello Monte (1893‐1897,9788584041329,"65,00","32,50"
"A saga dos Botocudos : guerra, imagens e resistência indígena",9788584040506,"98,00","49,00"
"A saúde entre os negócios e a questão social: privatização, modernização e segregaçã",9788564806856,"52,00","26,00"
A saúde nas palavras e nos gestos: reflexões da rede de educação popular e saúde,9788584041145,"58,00","29,00"
A sombra do poder: Martinho de Melo e Castro e a administração da Capitania De Mi,9788527107129,"35,00","17,50"
A vida em rebelião: jovens em conflito com a lei,9788527106825,"62,00","31,00"
A visão do ameríndio na obra de Sousândrade,9788527106320,"44,00","22,00"
"Abordagens Psicossociais volume I: história, teoria e prática no campo",9788560438518,"47,00","23,50"
Abordagens Psicossociais volume II: reforma psiquiátrica e saúde mental na ótica da c,9788584040148,"62,00","31,00"
"Abordagens Psicossociais, volume III: perspectivas para o serviço social",9788560438716,"50,00","25,00"
Adivinhas do Tempo: êxtase e Revolução,9788560438815,"40,00","20,00"
"Administração política, planejamento governamental e gestão pública no Brasil conte",9788584041121,"56,00","28,00"
Adoecimentos e Sofrimentos de Longa Duração,9788584040391,"66,00","33,00"
"Afetos, Relações e Encontros com Filmes Brasileiros Contemporâneos",9788584040964,"48,00","24,00"
"Aids, prevenção porta a porta: Construindo histórias de prevenção ao HIV/Aids no pro",9788527106429,"60,00","30,00"
Além da senzala: arranjos escravos de moradia no Rio de Janeiro (1808‐1850),9788579700743,"50,00","25,00"
Amazônia,9788564806733,"62,00","31,00"
Ambiente de trabalho: a luta dos trabalhadores pela saúde,9786586039146,"78,90","39,45"
Ambulatório de especialidades: subsídios conceituais e organização de serviços a parti,9786586039276,"56,00","28,00"
"Análise de texto: procedimentos, análises, ensino",9788564806672,"50,00","25,00"
Análise Institucional e Saúde Coletiva no Brasil,9788564806696,"95,00","47,50"
"Análise Institucional: perspectivas contemporâneas, teorias e experiências",9788584041657,"76,00","38,00"
Anatomia do Trote Universitário,9788584040698,"55,00","27,50"
André Rebouças: um engenheiro do Império,9788579701092,"57,00","28,50"
Arte e Trabalho: Aspectos da Produção do Livro em São Paulo (1914‐1945),9788584040735,"55,00","27,50"
As Bases do Raciocínio Médico,9788564806894,"77,00","38,50"
As Ciências Sociais na Educação Médica,9788584040919,"47,00","23,50"
As Culturas do Brasil,9788560438426,"58,00","29,00"
As práticas corporais no campo da saúde. Volume I,9788564806818,"52,00","26,00"
As Práticas Corporais no Campo da Saúde: Pesquisa Interinstitucional e formação em r,9788584040759,"46,00","23,00"
