HarperCollins Brasil,LISTA DE LIVROS,,,
"",,"Festa Virtual do Livroda USP 2021",,
Título,Autor,"Preçode capa","P  r eço comdesconto",
O Homem E Seus Símbolos,,Carl G. Jung,"59,90","29,95"
O Silmarillion,,J.R.R. Tolkien,"69,90","34,95"
Contos Inacabados,,J.R.R. Tolkien,"69,90","34,95"
Sherlock Holmes - Box,,Arthur Conan Doyle,"139,90","69,95"
Fique Comigo,,Ayobami Adebayo,"39,90","19,95"
Filhos De Hurin,,J.R.R. Tolkien,"59,90","29,95"
Coleção Agatha Christie Box 3,,Agatha Christie,"119,90","59,95"
Coleção Agatha Christie Box 2,,Agatha Christie,"119,90","59,95"
Reformatório Nickel,,Colson Whitehead,"39,90","19,95"
Todas As Cores Do Céu,,Amita Trasi,"44,90","22,45"
O Hobbit - Edição Brochura,,J.R.R. Tolkien,"44,90","22,45"
A Queda De Gondolin,,J.R.R. Tolkien,"59,90","29,95"
Três Mulheres,,Lisa Taddeo,"49,90","24,95"
Assassinato No Expresso Do Oriente,,Agatha Christie,"44,90","22,45"
The Underground Railroad,,Colson Whitehead,"29,90","14,95"
Um Corpo Na Biblioteca,,Agatha Christie,"44,90","22,45"
Cavalo Amarelo,,Agatha Christie,"44,90","22,45"
Os Quatro Grandes,,Agatha Christie,"44,90","22,45"
Punição Para A Inocência,,Agatha Christie,"44,90","22,45"
Mulheres E Deusas,,Renato Noguera,"29,90","14,95"
1499 - O Brasil Antes De Cabral,,Reinaldo José Lopes,"34,90","17,45"
Darwin Sem Frescura,,Reinaldo José Lopes,"44,90","22,45"
Os Imortalistas,,Chloe Benjamin,"49,90","24,95"
Livro De Ouro Da Mitologia Repack,,Thomas Bulfinch,"34,90","17,45"
Coleção Agatha Christie Box 6,,Agatha Christie,"119,90","59,95"
Como Se Vingar De Um Cretino,,Suzanne Enoch,"34,90","17,45"
Dom Da Amizade,,Colien Duriez,"49,90","24,95"
Neve E Cinzas,,Sara Raasch,"29,90","14,95"
O Ano Do Pensamento Mágico,,Joan Didion,"39,90","19,95"
A Esposa Silenciosa,,Karin Slaughter,"54,90","27,45"
Coleção Agatha Christie Box 7,,Agatha Christie,"119,90","59,95"
Quando Nietzsche Chorou (Repack),,Irvin D. Yalom,"49,90","24,95"
Como Salvar Um Herói,,Suzanne Enoch,"39,90","19,95"
Flores Partidas,,Karin Slaughter,"34,90","17,45"
A Bibliotecária De Auschwitz,,Antonio G. Iturbe,"44,90","22,45"
Crash,,Alexandre Verginassi,"44,90","22,45"
Desejo E Escândalo,,Lorraine Heath,"39,90","19,95"
Os Presidentes,,Rodrigo Vizeu,"49,90","24,95"
O Enigma De Espinosa,,Irvin D. Yalom,"49,90","24,95"
Uma Dobra No Tempo,,Madeleine L'Engle,"29,90","14,95"
Gelo E Fogo,,Sara Raasch,"29,90","14,95"
Os Crimes Do Monograma,,Sophie Hannah,"24,90","12,45"
Coleção Agatha Christie Box 4,,Agatha Christie,"119,90","59,95"
Como Encantar Um Canalha,,Suzanne Enoch,"39,90","19,95"
De Frente Com Serial Killer,John E. Douglas e Mark Olshaker,"44,90","22,45"
Beren E Lúthien,J.R.R. Tolkien,"59,90","29,95"
Encanto Da Luz,Nora Roberts,"29,90","14,95"
Um Tempo Aceitável,Madeleine L'Engle,"44,90","22,45"
Rebelde,Nora Roberts,"31,90","15,95"
Geada E Noite,Sara Raasch,"29,90","14,95"
O Livro De Ouro Das Revoluções Repack,Mark Almond,"29,90","14,95"
Os Quatro Amores,C. S. Lewis,"39,90","19,95"
Deus No Banco Dos Réus,C. S. Lewis,"54,90","27,45"
Somos Todos Canalhas - Repack,Clovis de Barros Filho e Julio Pompeu,"39,90","19,95"
A Cura De Schopenhauer (Repack),Irvin D. Yalom,"49,90","24,95"
Agentes Secretas De Paris,Pam Jennof,"44,90","22,45"
Muitas Águas,Madeleine L'Engle,"44,90","22,45"
Como Parar O Tempo,Matt Haig,"39,90","19,95"
Como Cultivar Uma Vida De Leitura,C. S. Lewis,"39,90","19,95"
A Última Noite Do Mundo,C. S. Lewis,"39,90","19,95"
Satisfação Garantida,Tony Hsieh,"34,90","17,45"
Um Planeta Em Seu Giro Veloz,Madeleine L'Engle,"29,90","14,95"
Esposa Perfeita,Karin Slaughter,"44,90","22,45"
O Invisível Aos Olhos,"Akapoeta, João Doederlein e Antoine de S","i n  t  - E  x  u  p 3é4r,9y 0","17,45"
Blue Nights,Joan Didion,"39,90","19,95"
Além Do Planeta Silencioso,C. S. Lewis,"39,90","19,95"
Como Orar,C. S. Lewis,"39,90","19,95"
Sol Em Júpiter,Lola Salgado,"29,90","14,95"
Perelandra,C. S. Lewis,"39,90","19,95"
Um Vento À Porta,Madeleine L'Engle,"29,90","14,95"
O Amor De Um Duque,Lorraine Heath,"39,90","19,95"
Orgulho E Paixão,Nora Roberts,"29,90","14,95"
Pecar E Perdoar,Leandro Karnal,"34,90","17,45"
Ninguém Pode Saber,Karin Slaughter,"54,90","27,45"
A Abolição Do Homem,C. S. Lewis,"39,90","19,95"
Hit Makers,Derek Thompson,"49,90","24,95"
A Filha Do Conde,Lorraine Heath,"39,90","19,95"
Estrelas Além Do Tempo,Margot Lee Shetterly,"39,90","19,95"
Imune,Matt Richtel,"59,90","29,95"
Todo Meu Caminho Diante De Mim,C. S. Lewis,"69,90","34,95"
Paixão Indomável,Nora Roberts,"24,90","12,45"
Filosofia Para Mortais,Daniel Gomes de Carvalho,"39,90","19,95"
Caixão Fechado,Sophie Hannah,"34,90","17,45"
O Zoológico De Varsóvia,Diane Ackerman,"34,90","17,45"
J.R.R. Tolkien: Uma Biografia,Humphrey Carpenter,"59,90","29,95"
Um Lugar No Coração,Sherryl Woods,"29,90","14,95"
O Universo De Harry Potter De A A Z,Aubrey Malone,"19,90","9,95"
Box Memórias Da Segunda Guerra Mundi,lWinston Churchill,"139,90","69,95"
Como Ser Cristão,C. S. Lewis,"39,90","19,95"
Tempo Estranho,Joe Hill,"39,90","19,95"
Cordialmente Cruel,Maureen Johnson,"44,90","22,45"
