Titulo,Autor,Preço de capa,Preço com desconto
40 escritos,"Antunes, Arnaldo","R$ 45,00","R$ 22,50"
A Árvore Todas,"Collin, Luci","R$ 42,00","R$ 21,00"
A branca voz da solidão,"Dickinson, Emily","R$ 89,00","R$ 44,50"
A conquista de um império,"Salgari, Emilio","R$ 51,00","R$ 25,50"
A cor que caiu do céu,"Lovecraft, H. P.","R$ 69,00","R$ 34,50"
A cultura e seu contrário,"Coelho, Teixeira","R$ 45,00","R$ 22,50"
A cultura pela cidade,"Coelho, Teixeira","R$ 65,00","R$ 32,50"
A educação dos cinco sentidos,"Campos, Haroldo De","R$ 69,00","R$ 34,50"
A eternidade conforme os astros,"Blanqui, Auguste","R$ 44,00","R$ 22,00"
A Farmácia de Platão,"Derrida, Jacques","R$ 59,00","R$ 29,50"
A filosofia na alcova,"Sade, Marquês De","R$ 69,00","R$ 34,50"
A fome do lobo,"Vasconcellos, Cláudia Maria De","R$ 47,00","R$ 23,50"
A formiga leão e outros animais na Guerra do Paraguai,"Medeiros, Sérgio","R$ 36,00","R$ 18,00"
A globalização imaginada,"Canclini, Nestor Garcia","R$ 59,00","R$ 29,50"
A idolatria poética,"Medeiros, Sérgio","R$ 29,00","R$ 14,50"
A Ilha deserta,"Deleuze, Gilles","R$ 119,00","R$ 59,50"
A invenção de uma pele,"Oliveira, Eduardo Jorge De","R$ 59,00","R$ 29,50"
A lenda do cavaleiro sem cabeça,"Irving, Washington","R$ 36,00","R$ 18,00"
A lógica das ciências morais,"Stuart Mill, John","R$ 56,00","R$ 28,00"
A loucura de Isabella,"Scala, Flaminio","R$ 119,00","R$ 59,50"
A maldição de Sarnath,"Lovecraft, H. P.","R$ 69,00","R$ 34,50"
A menina que engoliu o mundo,Fê,"R$ 44,00","R$ 22,00"
A morte de empédocles,"Holderlin, Friedrich","R$ 95,00","R$ 47,50"
A noite de um iluminado,"Maciel, Pedro","R$ 46,00","R$ 23,00"
A obra prima ignorada,"Balzac, Honoré De","R$ 40,00","R$ 20,00"
A palavra algo,"Collin, Luci","R$ 42,00","R$ 21,00"
A pinta fujona,Fê,"R$ 41,00","R$ 20,50"
A preparação do escritor,"Carrero, Raimundo","R$ 59,00","R$ 29,50"
À procura de Kadath,"Lovecraft, H. P.","R$ 69,00","R$ 34,50"
A rainha dos caraíbas,"Salgari, Emilio","R$ 48,00","R$ 24,00"
A república dos bons sentimentos,"Maffesoli, Michel","R$ 45,00","R$ 22,50"
"A TRAGÉDIA DA CULTURA seguido de CULTURA, GRANDEZ","S NimEmGeAl,T GIVeAorg; Coelho, Teixeira","R$ 42,00","R$ 21,00"
A vida pela bola,"Piva, Luiz Guilherme","R$ 48,00","R$ 24,00"
Acontecimento da poesia,"Paixão, Fernando","R$ 45,00","R$ 22,50"
"Adeus, cavalo","Ramos, Nuno","R$ 44,00","R$ 22,00"
Afinado desconcerto,"Espanca, Florbela","R$ 119,00","R$ 59,50"
Afirmar os direitos culturais - comentário à declaração de Fribur,"Moeyer-Bisch, Patrice; Bidault, Mylène","R$ 45,00","R$ 22,50"
Agora é que são elas,"Leminski, Paulo","R$ 75,00","R$ 37,50"
Águas fortes portenhas,"Arlt, Roberto","R$ 79,00","R$ 39,50"
Aias,Sófocles,"R$ 56,00","R$ 28,00"
Alameda Santos,"Leite, Ivana Arruda","R$ 45,00","R$ 22,50"
Alguns poemas,"Dickinson, Emily","R$ 89,00","R$ 44,50"
Alice no jardim de infância,"Carroll, Lewis","R$ 69,00","R$ 34,50"
Almádena,"Ianelli, Mariana","R$ 42,00","R$ 21,00"
Alteridades na poesia,"Scramim, Susana","R$ 59,00","R$ 29,50"
Alumbramentos,"Farra, Maria Lucia Dal","R$ 42,00","R$ 21,00"
Ana flor da água da terra,"Abdalla, Heloiza","R$ 35,00","R$ 17,50"
Anatomia da melancolia,"Aletto, Carlos Daniel","R$ 42,00","R$ 21,00"
Antropologia de um ponto de vista pragmático,"Kant, Immanuel","R$ 79,00","R$ 39,50"
Ao redor do escorpião...,"Carrero, Raimundo","R$ 53,00","R$ 26,50"
Aos trancos e relâmpagos,"Arêas, Vilma","R$ 41,00","R$ 20,50"
Apichatpong Weerasethakul,"#N/A","R$ 58,00","R$ 29,00"
Ara,"Amaral, Ana Luísa","R$ 38,00","R$ 19,00"
Arquivida - do senciente e do sentido,"Nancy, Jean-Luc","R$ 45,00","R$ 22,50"
Arte da pequena reflexão poema em prosa contemporâneo,"Paixão, Fernando","R$ 48,00","R$ 24,00"
Arte e mercado,"Greffe, Xavier","R$ 109,00","R$ 54,50"
As antenas do caracol,"Amarante, Dirce Waltrick Do","R$ 41,00","R$ 20,50"
As aventuras de Pinóquio,"Collodi, Carlo","R$ 69,00","R$ 34,50"
As aventuras do Barão de Munchausen,"Raspel, Rudolf Erich","R$ 79,00","R$ 39,50"
As coisas,"Antunes, Arnaldo","R$ 49,00","R$ 24,50"
As emas do general Stroessner,"Medeiros, Sérgio","R$ 35,00","R$ 17,50"
"As metrópoles regionais e a cultura - o caso francês, 1945-200","Garets, Françoise Taliano-Des","R$ 53,00","R$ 26,50"
As onze mil varas,"Apollinaire, Guillaume","R$ 42,00","R$ 21,00"
As tentações de Santo Antão,"Flaubert, Gustave","R$ 79,00","R$ 39,50"
As travessuras de Juca e Chico,"Busch, Wilhelm","R$ 41,00","R$ 20,50"
As três filhas da mãe,"Louys, Pierre","R$ 53,00","R$ 26,50"
Atrás da estação ferroviária fica o mar,"Richter, Jutta","R$ 31,00","R$ 15,50"
Autobiografia,"Mill, John Stuart","R$ 56,00","R$ 28,00"
"Autoprodução Musical, A","Ruiz, Téo","R$ 47,00","R$ 23,50"
Bailegangaire,"Murphy, Tom","R$ 45,00","R$ 22,50"
Bergson e Proust - sobre a representação da passagem do tem,"Soahm, Estela","R$ 34,00","R$ 17,00"
Biblioteca e a formação do leitor infantojuvenil,"Waltrick do Amarante, Dirce","R$ 69,00","R$ 34,50"
Binladenistão - um reporter brasileiro na região mais perigosa d,"A mrauunjod,o Luiz Antonio","R$ 56,00","R$ 28,00"
Biocapitalismo,"Negri, Antonio","R$ 53,00","R$ 26,50"
Br infinita,"Araújo, Robson Corrêa De","R$ 34,00","R$ 17,00"
Bravíssimo,"Vasconcellos, Cláudia Maria De","R$ 41,00","R$ 20,50"
Canibalismo de outono,"Gouveia, Arturo","R$ 53,00","R$ 26,50"
Carassotaque,"Aquino, Alfredo","R$ 42,00","R$ 21,00"
"Cardeais da cultura nacional, Os","de Amaral Maia, Tatyana","R$ 34,00","R$ 17,00"
Cartas a Harriet,"Joyce, James","R$ 51,00","R$ 25,50"
Cartas a nora,"Joyce, James","R$ 53,00","R$ 26,50"
Cartas de um caçador,"Quiroga, Horacio","R$ 42,00","R$ 21,00"
Casa de máscaras,"Prade, Péricles","R$ 42,00","R$ 21,00"
Casas Geraes,"F. Franco, Rendrik","R$ 35,00","R$ 17,50"
Catatau,"Leminski, Paulo","R$ 79,00","R$ 39,50"
Cecília em Portugal,"Gouvea, Leila V.B.","R$ 42,00","R$ 21,00"
Cem encontros ilustrados,"Amarante, Dirce Waltrick do","R$ 38,00","R$ 19,00"
Cenas do teatro moderno e contemporâneo,"Waltrick do Amarante, Dirce","R$ 40,00","R$ 20,00"
"Cicatriz de Marilyn Monroe, A","Contador Borges, Luís Augusto","R$ 42,00","R$ 21,00"
"Cimbeline, rei da Britânia","Shakespeare, William","R$ 56,00","R$ 28,00"
Cinemaginario,"Corona, Ricardo","R$ 34,00","R$ 17,00"
Cinemas transversais,"Moran, Patricia","R$ 53,00","R$ 26,50"
Clássicos do sobrenatural,Vários Autores,"R$ 56,00","R$ 28,00"
Colégio de freiras,"Carrero, Raimundo","R$ 39,00","R$ 19,50"
Colosso,"Coelho, Teixeira","R$ 48,00","R$ 24,00"
Com o cérebro na mão,"Coelho, Teixeira","R$ 35,00","R$ 17,50"
Como é,"Beckett, Samuel","R$ 59,00","R$ 29,50"
Conto do inverno,"Shakespeare, William","R$ 65,00","R$ 32,50"
Contos da selva,"Quiroga, Horacio","R$ 42,00","R$ 21,00"
Contos de amor de loucura e de morte,"Quiroga, Horacio","R$ 59,00","R$ 29,50"
Contos de duendes e folhas secas,"Medeiros, Sérgio","R$ 38,00","R$ 19,00"
Contos de fadas,Irmãos Grimm,"R$ 63,00","R$ 31,50"
Contos e fábulas,"Perrault, Charles","R$ 75,00","R$ 37,50"
Conversa de passarinhos - haikais para crianças de todas as id,"Sde, sAlice Ruiz; Rezende, Maria Valéri","R$ 35,00","R$ 17,50"
Conversando com varejeiras azuis,"Lear, Edward","R$ 45,00","R$ 22,50"
Corpo sutil,"Corona, Ricardo","R$ 42,00","R$ 21,00"
Crepúsculo,"George, Stefan","R$ 56,00","R$ 28,00"
Criação em processo,"Zular, Roberto","R$ 56,00","R$ 28,00"
Cristal,"Celan, Paul","R$ 63,00","R$ 31,50"
Cultura e economia,"Tolila, Paul","R$ 49,00","R$ 24,50"
Cultura e educação,"Coelho, Teixeira","R$ 42,00","R$ 21,00"
Cultura e estado,"Gentil, Geneviève; Poirrier, Philippe","R$ 42,00","R$ 21,00"
Curare,"Corona, Ricardo","R$ 46,00","R$ 23,00"
Da clausura do fora ao fora da clausura - loucura e desrazão,"Pelbart, Peter Pál","R$ 79,00","R$ 39,50"
Da neurologia à psicanálise - desenhos neurológicos e diagram,"Gs adma wmeelnl, tLey pnonr;  Sioglmusn, dM Farekud","R$ 50,00","R$ 25,00"
Dagon,"Lovecraft, H. P.","R$ 69,00","R$ 34,50"
Daquilo que eu sei: Tancredo e a transição democrática,"Lyra, Fernando","R$ 56,00","R$ 28,00"
Das viagens de Juca pela natureza,"Toledo, Amelia","R$ 45,00","R$ 22,50"
De profundis,"Trakl, Georg","R$ 49,00","R$ 24,50"
De santos e sábios,"Joyce, James","R$ 56,00","R$ 28,00"
Dedos impermitidos,"Collin, Luci","R$ 42,00","R$ 21,00"
Defesas da poesia,"Sidney, Sir Philip; Shelley, Percy Bys","heR$ 53,00","R$ 26,50"
Desorientais,"S, Alice Ruiz","R$ 40,00","R$ 20,00"
Diálogo entre um padre e um moribundo,"Sade, Marquês De","R$ 49,00","R$ 24,50"
Diário de Porto Pim,"Moreira Salles, Fernando","R$ 44,00","R$ 22,00"
Dicionário critico de política cultural,"Coelho, Teixeira","R$ 119,00","R$ 59,50"
Discreto afeto,"de Campos Valadares, Eduardo","R$ 37,00","R$ 18,50"
"Discursos, políticas e ações:","Bahia, Lia","R$ 34,00","R$ 17,00"
Do teatro,"Meyerhold, Vsévolod","R$ 89,00","R$ 44,50"
Dois em um,"S, Alice Ruiz","R$ 59,00","R$ 29,50"
Duplo estado da poesia,"Scramim, Susana","R$ 89,00","R$ 44,50"
"Economia artisticamente criativa, A","Greffe, Xavier","R$ 38,00","R$ 19,00"
"eCultura, a utopia final","Coelho, Teixeira","R$ 59,00","R$ 29,50"
em voz baixa,"Verdi, Maria Lúcia","R$ 35,00","R$ 17,50"
Embrulho liquido,"Lafroy, Bianca","R$ 34,00","R$ 17,00"
"Enigma de Daniela, O","Oliveira Benoit, Lelita","R$ 59,00","R$ 29,50"
Ensaios de filosofia ilustrada,"Torres Filho, Rubens Rodrigues","R$ 53,00","R$ 26,50"
Ensaios de história,"Gibbon, Edward","R$ 49,00","R$ 24,50"
Epifanias,"Joyce, James","R$ 42,00","R$ 21,00"
Era uma vez duas linhas,"Alvarez, Alonso","R$ 42,00","R$ 21,00"
Eram todos camisa dez,"Piva, Luiz Guilherme","R$ 48,00","R$ 24,00"
Escuro,"Amaral, Ana Luísa","R$ 37,00","R$ 18,50"
"Espelhos gêmeos, pequeno tratado das perversões","Prade, Péricles","R$ 36,00","R$ 18,00"
Estação dos bichos,"Ruiz, Alice; Jabur, Camila","R$ 42,00","R$ 21,00"
Estão matando os meninos,"Carrero, Raimundo","R$ 44,00","R$ 22,00"
"Estética da indiferença, A","Rocha, Sidney","R$ 62,00","R$ 31,00"
"Eu, morto","Geraldo Figueiredo Ferreira, Antonio","R$ 29,00","R$ 14,50"
Excluso,"Abud, Mauricio","R$ 53,00","R$ 26,50"
Exilados,"Joyce, James","R$ 56,00","R$ 28,00"
Feitiços [Charmes],"Valery, Paul","R$ 69,00","R$ 34,50"
