Valor com desconto de 50%,
"17,00",
"16,00",
"22,00",
"20,00",
"20,00",
"18,00",
"18,00",
"17,00",
"22,00",
"21,00",
"22,00",
"22,00",
"20,00",
"22,00",
"19,00",
"21,00",
"20,00",
"22,00",
"18,00",
"18,00",
"23,00",
"23,00",
"26,00",
"48,00",
"23,00",
"23,00",
"26,00",
"42,00",
"21,00",
"42,00",
"22,00",
"25,00",
"20,00",
"22,00",
"20,00",
"25,00",
"38,00",
"38,00",
"30,00",
"25,00",
"21,00",
"20,00",
"20,00",
"20,00",
"20,00",
"23,00",
"25,00",
"30,00",
"24,00",
"20,00",
"22,00",
"20,00",
"20,00",
