"OS SONHOS TEUS VÃO ACABAR CONTIGO: PROSA, POES","AD,A TNEIAILT KRHOARMS","R$    70,00","R$        35,00"
A CIDADE ENE,LEONID DOBÝTCHIN,"R$    49,00","R$        24,50"
A INFÂNCIA DE NIKITA,ALEKSEI TOLSTÓI,"R$    50,00","R$        25,00"
A VELHA,DANIIL KHARMS,"R$    36,00","R$        18,00"
AULAS DE LITERATURA RUSSA: DE PÚCHKIN A GORENST,AINURORA FORNONI BERNARDINI,"R$    95,00","R$        47,50"
"BOBÓK & MEIA CARTA DE UM ""SUJEITO""",FIÓDOR DOSTOIÉVSKI,"R$    39,00","R$        19,50"
CACHORRINHOS,VERA ERMOLÁIEVA,"R$    21,90","R$        10,95"
CONTOS RUSSOS JUVENIS,Coletânea,"R$    79,90","R$        39,95"
ENCOTROS COM LIZ E OUTRAS HISTÓRIAS,LEONID DOBÝTCHIN,"R$    36,00","R$        18,00"
LOUÇA,DAVID SHTERENBERG,"R$    45,00","R$        22,50"
LUMINESCÊNCIA: ANTOLOGIA POÉTICA,VIATCHESLÁV KUPRIYÁNOV,"R$    45,00","R$        22,50"
O COMPROMISSO,SERGUEI DOVLÁTOV,"R$    68,00","R$        34,00"
O DIABO,MARINA TSVETÁIEVA,"R$    42,00","R$        21,00"
O DIABO MESQUINHO,FIÓDOR SOLOGUB,"R$    50,00","R$        25,00"
O ELEFANTE,ALEKSÁNDR KUPRIN,"R$    29,00","R$        14,50"
O OFÍCIO,SERGUEI DOVLÁTOV,"R$    63,00","R$        31,50"
PARQUE CULTURAL,SERGUEI DOVLÁTOV,"R$    50,00","R$        25,00"
SALMO: ROMANCE-MEDITAÇÃO SOBRE OS QUATRO FL,GFRELIEODSR DICOH S GEONRHEONRSTEIN,"R$    89,90","R$        44,95"
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
