TÍTULO,AUTOR,,PREÇO DE CAPA,PREÇO COM,
"",,GÊNERO,,DESCONTO,
A CANÇÃO DO LIMÃO,"Vidal Gomes, Brod",MÚSICA,"54,90",,
"",Junior & Sampaio de,,,,
"",Medeiros,,,,
"",,,,,"27,45"
A CIRANDA DA MENTIRA,Eduardo Von,ROMANCE,"54,90",,
"",Sperling,,,,"27,45"
A COMÉDIA E SEUS DUPLOS,Rodrigo Tadeu,CRITICA,"54,90",,
"",Gonçalves (org.),LITERARIA,,,
"",500 classificações,,,,"27,45"
A GENTE NÃO QUER VOLTAR PRA CASA,Vitor Miranda,POESIA,"39,90",,"19,95"
A MIRADA ONDE VIVEMOS E OUTROS POEMAS,Luis Alberto Crespo,POESIA,"39,90",,"19,95"
A MULHER QUE CONTOU A MINHA HISTÓRIA,Flavia Quintanilha,POESIA,"39,90",,"19,95"
A POLÍTICA ALÉM DA NOTÍCIA,Milton Alves,CIENCIA,"44,90",,
"",,POLITICA,,,
"",,,,,"22,45"
A SÍNDROME DO IMPOSTOR,Bruno Nogueira,CONTOS,"39,90",,"19,95"
À SOMBrA DO VAMPIRO,Walter Lima Torres,TEATO,"54,90",,
"",Neto (org.),,,,"27,45"
ACAMPAMENTOS INSUSTENTÁVEIS,Anelito de Oliveira,POESIA,"44,90",,"22,45"
ÀCAROS QUE DEPOSITAM FLORES,Leonardo Bachiega,POESIA,"39,90",,"19,95"
ADORNO NA PRAÇA PARIS E OUTROS ENCONTROS,Arthur Dutra,POESIA,"39,70",,"19,85"
ALQUIMISTA NA CHUVA,Assionara Souza,POESIA,"34,90",,"17,45"
AMULETOS DE PROSA E VERSO,Lindsey Rocha Lagni,,,
"AO KURNUGU, TERRA SEM RETORNO","Jacyntho LinsBrandão","TRADUCAO/CRITICALITERARIA","49,90","24,95"
AO VIRES ISTO,"Daniella Aguiar, LuciCollin e JoãoQueiroz (org.)","TRADUÇÃO/CRITICALITERARIA","44,90","22,45"
BAGORRA,Paulo Ribeiro,ROMANCE,"39,90","19,95"
BALDIO,Rodrigo Madeira,POESIA,"44,90","22,45"
BECO DO BATMAN,Júlio Freire Júnior,FOTOGRAFIA,"59,90","29,95"
BILHETES PARA WALLACE,Paulo Venturelli,POESIA,"44,90","22,45"
BONJEANAS,Paulo Ribeiro,ROMANCE,"39,90","19,95"
BUQUÊS DE LIMERIQUES,Ivan Justen Santana,POESIA,"34,90","17,45"
CALEIDOSCÓPIO,Denize Ricardi,CONTOS,"39,90","19,95"
CANTO QUASE CORO SAMBAQUIANO,Francisco C Duarte,POESIA,"39,90","19,95"
CANUDOS DE ANTONIO CONSELHEIRO A LULA DA SILVA,"PEDRO LIMAVASCONCELLOS","CIENCIAPOLITICA","54,90","27,45"
CÃO RAIVA,Djami Sezostre,POESIA,"44,90","22,45"
"CARCAÇA, OU O PRIMEIRO CADÁVER QUE EU VI NA VIDA",Alexandre Sarian,ROMANCE,"49,90","24,95"
CASULOS,Rômulo Moraes,POESIA,"39,90","19,95"
ÇEIVA,Djami Sezostre,POESIA,"39,90","19,95"
CENTOPEIA,Sergio Confort,POESIA,"39,90","19,95"
CIDADE DE CURITIBAS,Marcelo De Angelis,POESIA,"44,90","22,45"
CIDADE INDUSTRIAL,Ricardo Pozzo,POESIA,"34,90","17,45"
CLARO E PROFUNDO,Froilam Oliveira,POESIA,"44,90","22,45"
CORPO DE PEIXE EM ARABESCO,Jussara Salazar,POESIA,"39,90","19,95"
COSMOGONIAS,Otto Leopoldo Winck,POESIA,"39,90","19,95"
CRIANÇAS DO ABISMO,Johann Heyss,,,
DE JORNALISTA A YOUTUBER,Leonardo Attuch,"JORNALISMO/BIOGRAFIA","54,90","27,45"
DESCARTES E O ÓDIO À ESCRITA,Ulysses Pinheiro,FILOSOFIA,"59,90","29,95"
DESESTÓRIAS,Márcia Denser,"CRONICAS/POLITICA","44,90","22,45"
DESPOLUINDO SOBRE TRILHOS,"José Manoel FerreiraGonçalves","ENGENHARIA ETRANSPORTE","49,90","24,95"
DISCO DUBLÊ,"Mauricio SallesVasconcelos",ROMANCE,"44,90","22,45"
DO OUTRO LADO DA RUA,Roberto Nicolato,ROMANCE,"34,90","17,45"
DR. ROSINHA,9788568462799,"BIOGRAFIA/POLITICA","34,90","17,45"
ELE ESTÁ NO MEIO DE NÓS,Silas Corrêa leite,ROMANCE,"39,90","19,95"
ELISABETE 937,Nicolau Ball,CONTOS,"44,90","22,45"
ENTRE O SOL E O SOAR DA MEIA-NOITE,Alex Lubasa,POESIA,"39,70","19,85"
ESTANCA,Lia Miranda,POESIA,"39,90","19,95"
EXPECTROS,"José AlbanirArmaroli",POESIA,"39,90","19,95"
FASCINAÇÃO,"Flavio de Souza eLuci Collin",ROMANCE,"49,90","24,95"
Fator X,Paulo Bearzoti Filho,POESIA,"39,90","19,95"
FERROVIA ESSENCIAL,"José MonoelFerreira Gonçalves","ENGENHARIA ETRANSPORTE","44,90","22,45"
FERROVIAS,"José MonoelFerreira Gonçalves","ENGENHARIA ETRANSPORTE","39,90","19,95"
FIDÉLIS,Nicolau Ball,ROMANCE,"39,90","19,95"
FOTOGRAFIA GETULIANA,Miguel Freire,FOTOGRAFIA,"59,90","29,95"
FRASES DO NADA SOBRE UM POUCO DE QUASE TUDO,Lincoln Fabrício,POESIA,"39,90","19,95"
GAUGUIN DECIDE PARTIR,"Geraldo OliveiraNeto",,,
138 - GODOFREDA,Aline Pucci,INFANTIL,"49,90","24,95"
HINO AOS DOIDOS DE OAIO,Paulo Ribeiro,ROMANCE,"44,90","22,45"
HISTÓRIA DAS FERROVIAS NO BRASIL VOLUME 1,"José MonoelFerreira Gonçalves","ENGENHARIA ETRANSPORTE","34,90","17,45"
HISTÓRIA DAS FERROVIAS NO BRASIL VOLUME 2,"José MonoelFerreira Gonçalves","ENGENHARIA ETRANSPORTE","34,90","17,45"
ILUMIDEIAS,Silas Corrêa Leite,POESIA,"39,90","19,95"
IMPROPÉRIOS,Luciana Martins,POESIA/ HQ,"44,90","22,45"
INDIFERENÇA DE DEUS,"Ethel MenezesRocha",FILOSOFIA,"54,90","27,45"
LABIRINTO DO EU,Adelino Cardoso,FILOSOFIA,"44,90","22,45"
LÂMINA,Marcia Friggi,POESIA,"39,90","19,95"
LASCAS LASCADAS,Lídia Domingues,CONTOS,"39,90","19,95"
LEIBNIZ E A LINGUAGEM (1),"William de SiqueiraPiauí",FILOSOFIA,"49,90","24,95"
LUCI COLLIN - ANTOLOGIA POÉTICA 1984-2018,Luci Collin,POESIA,"39,90","19,95"
LULA E A ESPIRITUALIDADE,Mauro Lopes,RELIGIÃO,"54,90","27,45"
LULA NA LAVA JATO,"José AugustoRibeiro","POLITICA/JORNALISMO","54,90","27,45"
MAHADEVI,Dani Leela,FOTOGRAFIA,"49,90","24,95"
MAIS SOLITÁRIO QUE CANCERIANO LONGE DE CASA,Pippo Pezzini,POESIA,"39,90","19,95"
MARCELO SANDMANN - ANTOLOGIA POÉTICA 1987-2017,Marcelo Sandmann,POESIA,"39,90","19,95"
MEIA COM AMARGO,William Teca,POESIA,"39,90","19,95"
"MEMÓRIA, ATO PERFORMATIVO E PATOLOGIA DO SOCIAL",Ronaldo Manzi,"PSICANÁLISE/ENSAIO","39,90","19,95"
MENINOS SEM MATILHA,Pedro Carrano,CONTOS,"39,90","19,95"
"MEU PAI, O GURU DO PRESIDENTE","Heloisa de Carvalhoe Henry Bugalho","JORNALISMO/BIOGRAFIA","54,90","27,45"
MISTURA POÉTICA,,,,
MORRE COMO EM UM VÓRTICE DE SOMBRA,Daniel Osiecki,POESIA,"34,90","17,45"
MULHER FERIDA,Cleuzamir Eidam,BIOGRAFIA,"34,90","17,45"
MUNDO MOSAICO,Manuela Salazar,"ENSAIOS/MIDIASDIGITAIS","34,90","17,45"
NAHARIA,"Guilherme GontijoFlores",POESIA,"34,90","17,45"
NAUFRÁGIO,Paulo Mielmiczuk,POESIA,"39,90","19,95"
NHE'ENGA A MORE QUIXOTESCO,"Danilo Costa-CobraLeite",POESIA,"44,90","22,45"
O AMOR EMBEBEDOU AS FERAS,Priscila Merizzio,POESIA,"39,90","19,95"
O COCHILO DO CÉU,Marcel Fernandes,POESIA,"39,90","19,95"
O CRIADOR DE IMAGENS,Miguel Freire,CINEMA,"49,90","24,95"
O ESTADO DE URGÊNCIA,Dimo Fernandes,POESIA,"34,90","17,45"
O FUTUM DAS BIRELAS,Vinicius Comoti,POESIA,"39,90","19,95"
O HIMENEU,Sylvio Back,CONTOS,"34,90","17,45"
