"",,,
Título,Autor,"Preço decapa","Preço comdesconto"
1001 Noites a Luz Do Dia,KATIA CANTON,"R$ 28,00","R$ 14,00"
123 do Mundinho,INGRID BIESEMEYER BELLINGHAUSEN,"R$ 16,90","R$ 8,45"
123 Do Mundinho - Meus Primeiros Mundinhos (cartonado),INGRID BIESEMEYER BELLINGHAUSEN,"R$ 19,90","R$ 9,95"
123 Era Uma Vez,INGRID BIESEMEYER BELLINGHAUSEN,"R$ 28,00","R$ 14,00"
365 Histórias para Dormir,EQUIPE DCL,"R$ 39,90","R$ 19,95"
365 Histórias Para Dormir - Capa Brilha no Escuro!,DISNEY,"R$ 33,50","R$ 16,75"
365 Histórias Para Dormir - Edição de Luxo,DISNEY,"R$ 79,90","R$ 39,95"
365 Histórias Para Dormir - Especial Princesas e Fadas - Capa Brilha no Escuro!,DISNEY,"R$ 33,50","R$ 16,75"
365 Histórias Para Dormir - Princesas e Fadas,DISNEY,"R$ 59,90","R$ 29,95"
365 Histórias Para Dormir - Vol 2,DISNEY,"R$ 59,90","R$ 29,95"
365 Histórias Para Dormir - Vol. 1,DISNEY,"R$ 59,90","R$ 29,95"
365 Histórias Para Dormir  Vol. 3 – Capa que Brilha no Escuro!,DISNEY,"R$ 33,50","R$ 16,75"
365 Histórias Para Dormir com CD,DISNEY,"R$ 39,90","R$ 19,95"
3D Magic - Dinossauros Incríveis (com óculos de efeito 3D!),DISNEY,"R$ 14,90","R$ 7,45"
3D Magic - Unicórnios e Sereias (com óculos de efeito 3D!),DISNEY,"R$ 14,90","R$ 7,45"
3x Amazônia,TIAGO DE MELO ANDRADE,"R$ 31,00","R$ 15,50"
A Bota e a Enxada,KATIA CANTON,"R$ 28,00","R$ 14,00"
A Botija Encantada,JOÃO BOSCO BEZERRA BONFIM,"R$ 28,00","R$ 14,00"
A Brasileira de Prazins,CAMILO CASTELO BRANCO,"R$ 16,90","R$ 8,45"
A Cama Que Não Lava o Pé,FATIMA MIGUEZ MARTIS,"R$ 28,00","R$ 14,00"
A Câmera do Sumiço,LAURA BERGALLO,"R$ 31,00","R$ 15,50"
A Carne - Texto Integral com Comentários,JÚLIO RIBEIRO,"R$ 16,90","R$ 8,45"
A Casa da Árvore - Cidade-fantasma ao Entardecer,MARY POPE OSBORNE,"R$ 16,00","R$ 8,00"
A Casa da Árvore Mágica - A Hora das Olimpíadas,MARY POPE OSBORNE,"R$ 16,00","R$ 8,00"
A Casa da Árvore Mágica - A Noite dos Ninjas,MARY POPE OSBORNE,"R$ 16,00","R$ 8,00"
A Casa da Árvore Mágica - Dinossauros Antes do Anoitecer,MARY POPE OSBORNE,"R$ 16,00","R$ 8,00"
A Casa da Árvore Mágica - Férias Sob o Vulcão,MARY POPE OSBORNE,"R$ 16,00","R$ 8,00"
A Casa da Árvore Mágica - Golfinhos ao Alvorecer,MARY POPE OSBORNE,"R$ 16,00","R$ 8,00"
A Casa da Árvore Mágica - Meia-noite na Lua,MARY POPE OSBORNE,"R$ 16,00","R$ 8,00"
A Casa da Árvore Mágica - Múmias de Manhã,MARY POPE OSBORNE,"R$ 16,00","R$ 8,00"
A Casa da Árvore Mágica - Navios Vikings ao Amanhecer,MARY POPE OSBORNE,"R$ 16,00","R$ 8,00"
A Casa da Árvore Mágica - O Cavaleiro ao Amanhecer,MARY POPE OSBORNE,"R$ 16,00","R$ 8,00"
A Casa da Árvore Mágica - O Dia do Rei Dragão,MARY POPE OSBORNE,"R$ 16,00","R$ 8,00"
A Casa da Árvore Mágica - Piratas Depois do Meio-dia,MARY POPE OSBORNE,"R$ 16,00","R$ 8,00"
A Casa da Árvore Mágica - Tigre-dentes-de-sabre,MARY POPE OSBORNE,"R$ 16,00","R$ 8,00"
A Casa da Árvore Mágica - Uma Manhã na África,MARY POPE OSBORNE,"R$ 16,00","R$ 8,00"
A Casa da Árvore Mágica - Uma Tarde na Amazônia,MARY POPE OSBORNE,"R$ 16,00","R$ 8,00"
A Casa da Árvore Mágica - Ursos Polares Depois da Hora de Dormir,MARY POPE OSBORNE,"R$ 16,00","R$ 8,00"
A Casa Rosa,SILVANA PINHEIRO TAETS,"R$ 23,00","R$ 11,50"
A Cidade e as Serras - Texto Integral com Comentários,EÇA DE QUEIRÓS,"R$ 16,90","R$ 8,45"
A Confissão de Lúcio - Texto Integral com Comentários,MÁRIO DE SÁ-CARNEIRO,"R$ 16,90","R$ 8,45"
A Dona Aranha - Minhas Primeiras Cantigas,EQUIPE DCL,"R$ 12,90","R$ 6,45"
A Escrava Isaura - Texto Integral com Comentários,BERNARDO GUIMARÃES,"R$ 16,90","R$ 8,45"
A Evolução da Vida na Terra,INGRID BIESEMEYER BELLINGHAUSEN,"R$ 30,00","R$ 15,00"
A Feiticeira,INGLES DE SOUSA,"R$ 25,00","R$ 12,50"
"A Festa da Princesa, Que Beleza!",ELIAS JOSE,"R$ 33,00","R$ 16,50"
A Galinha Ruiva,INGRID BIESEMEYER BELLINGHAUSEN,"R$ 28,00","R$ 14,00"
A Gente Pode a Gente Não Pode,ANNA CLAUDIA RAMOS,"R$ 25,00","R$ 12,50"
A Gente Pode a Gente Não Pode (5-6 Anos),ANNA CLAUDIA RAMOS,"R$ 25,00","R$ 12,50"
A Gente Pode a Gente Não Pode (7-8 Anos),ANNA CLAUDIA RAMOS,"R$ 25,00","R$ 12,50"
A História da Cadeia Alimentar,JACQUI BAILEY E MATTHEW LILLY,"R$ 28,00","R$ 14,00"
A História da Eletricidade,JACQUI BAILEY E MATTHEW LILLY,"R$ 28,00","R$ 14,00"
A História de um Fóssil de Dinossauro,JACQUI BAILEY E MATTHEW LILLY,"R$ 28,00","R$ 14,00"
A História do Dia e da Noite,JACQUI BAILEY E MATTHEW LILLY,"R$ 28,00","R$ 14,00"
A Ilíada e a Guerra De Troia,HOMERO ADAPTADO POR SILVANA SALERNO,"R$ 40,00","R$ 20,00"
A Jóia,ARTUR AZEVEDO,"R$ 16,90","R$ 8,45"
"A Literatura Infantojuvenil Brasileira Vai Muito Bem, Obrigada!",GLORIA PIMENTEL C.B. DE SOUZA,"R$ 36,00","R$ 18,00"
A Mãe D ́água,LENICE GOMES,"R$ 33,00","R$ 16,50"
A Menina Luzia,STELLA MARIS REZENDE,"R$ 30,00","R$ 15,00"
A Moreninha - Texto Integral com Comentários,JOAQUIM MANUEL DE MACEDO,"R$ 16,90","R$ 8,45"
A Noiva do Rei,KATIA CANTON,"R$ 31,00","R$ 15,50"
A Odisséia,HOMERO ADAPTADO POR SILVANA SALERNO,"R$ 40,00","R$ 20,00"
A Pele dos Livros,REGINA GULLA,"R$ 26,00","R$ 13,00"
A Princesa Anastácia,ELMA NEVES,"R$ 22,00","R$ 11,00"
A Princesa e a Ervilha,RACHEL ISADORA,"R$ 31,00","R$ 15,50"
A Saga de Hércules,SILVANA SALERNO,"R$ 44,00","R$ 22,00"
A Saga de um Rei,IEDA DE OLIVEIRA,"R$ 31,00","R$ 15,50"
A Última Ceia,EQUIPE DCL,"R$ 5,90","R$ 2,95"
A Vida de Jesus,CARLES MUÑOZ MIRALLES,"R$ 8,00","R$ 4,00"
A Vida de Móises,EQUIPE DCL,"R$ 5,90","R$ 2,95"
A Visita,LUCIA HIRATSUKA,"R$ 29,00","R$ 14,50"
A Volta ao Mundo em Oitenta Dias,JULIO VERNE ADAPTADO POR FERNANDO NUNO,"R$ 44,00","R$ 22,00"
A Voz da Floresta,ALINA PERLMAN,"R$ 20,00","R$ 10,00"
ABC do Mundinho - Meus Primeiros Mundinhos (cartonado),INGRID BIESEMEYER BELLINGHAUSEN,"R$ 19,90","R$ 9,95"
"Afinal, a Gente Pode Ou a Gente Não Pode? Os Jovens e os Adultos",ANNA CLAUDIA RAMOS,"R$ 36,00","R$ 18,00"
"Água, Gasolina e a Virgem Maria",RODRIGO PITTA,"R$ 33,00",
"Ai de Ti, Tietê",ROGERIO ANDRADE BARBOSA,"R$ 31,00","R$ 15,50"
Aí Tem Coisa...,GRAZIELA HETZEL E GRAÇA LIMA,"R$ 27,00","R$ 13,50"
Ajuda do Saci - Kamba ́i,OLIVIO JEKUPE,"R$ 30,00","R$ 15,00"
Albert 3,LANI YAMAMOTO,"R$ 22,00","R$ 11,00"
Albert 4,LANI YAMAMOTO,"R$ 22,00","R$ 11,00"
Alberto Que Era Santos Dumont,MARINA FRANCO,"R$ 29,00","R$ 14,50"
Alice no País das Maravilhas,LEWIS CARROL ADAPTADO POR SILVANA SALERNO,"R$ 40,00","R$ 20,00"
Alice Vê,SONIA REGINA ROSA,"R$ 21,00","R$ 10,50"
Amar o Mar,SILVANA PINHEIRO TAETS,"R$ 29,00","R$ 14,50"
Ambrósio Sumiu,GRAZIELA HETZEL E FERNANDO A. PIRES,"R$ 30,00","R$ 15,00"
Amélia Queria Fugir com o Circo,BLANDINA FRANCO E JOSÉ CARLOS LOLLO,"R$ 31,00","R$ 15,50"
Amigos para Sempre,VALENTINA NUNES,"R$ 21,00","R$ 10,50"
Amor de Perdição - Texto Integral com Comentários,CAMILO CASTELO BRANCO,"R$ 16,90","R$ 8,45"
Amor de Salvação - Texto Integral com Comentários,CAMILO CASTELO BRANCO,"R$ 16,90","R$ 8,45"
Ana e Ana,CELIA CRISTINA SILVA,"R$ 25,00","R$ 12,50"
Ao Entardecer,VISCONDE DE TAUNAY,"R$ 16,90","R$ 8,45"
Aparício,SONIA ROSA,"R$ 26,00","R$ 13,00"
Aquarela - Mundo Encantado - Unicórnios e Dragões,EQUIPE DCL,"R$ 19,90","R$ 9,95"
Aquarela - Mundo Selvagem - Dinossauros e Dragões,EQUIPE DCL,"R$ 19,90","R$ 9,95"
"Aritana, o Índio Que Foi a Lua",ULISSES TAVARES,"R$ 32,00","R$ 16,00"
Arquitetura Aventura,KATIA CANTON,"R$ 33,00","R$ 16,50"
As Brincadeiras do Mundinho,INGRID BIESEMEYER BELLINGHAUSEN,"R$ 34,00","R$ 17,00"
