A ARTE DE MANDAR EM PORTUGUÊS,João Malaca Casteleiro,"R$ 59,00","R$ 23,60"
A BACALHOADA QUE MUDOU A HISTÓRIA,Luiz Eduardo de Castro Neves,"R$ 35,00","R$ 17,50"
A CONSTRUÇÃO DO LIVRO,Emanuel Araújo,"R$ 119,00","R$ 59,50"
A ENERGIA NO BRASIL,Antonio Dias Leite,"R$ 99,00","R$ 39,60"
A GRAMÁTICA NO BRASIL,Ricardo Cavaliere,"R$ 47,00","R$ 18,80"
A NOVA ORTOGRAFIA SEM MISTÉRIO,Paulo Geiger e Renata de C. M. da Silva,"R$ 12,00","R$ 6,00"
A SUTILEZA BEM-HUMORADA DE WINTONS CHURCHILL,Richard M. Langworth,"R$ 57,00","R$ 22,80"
A VIDA E O TEMPO EM TOM DE CONVERSA,Carlos Eduardo Falcão Uchôa,"R$ 59,00","R$ 23,60"
ÁLGEBRA LINEAR,Glória Dias et al.,"R$ 59,00","R$ 29,50"
CÁLCULO VETORIAL E GEOMETRIA ANALÍTICA,Ubiratan Oliveira et al.,"R$ 59,00","R$ 29,50"
CALDAS AULETE NOVISSÍMO DICIONÁRIO,Paulo Geiger ( editor ),"R$ 144,00","R$ 28,80"
"COPACABANA, UMA SEDUÇÃO  SÓ!",Carlos Eduardo Falcão Uchôa,"R$ 39,00","R$ 15,60"
DESENHO TÉCNICO,César Muniz e Anderson Manzoli,"R$ 59,00","R$ 29,50"
DESTRONANDO O REI,Julie MacIntosh,"R$ 44,00","R$ 13,20"
DICIONÁRIO ANALÓGICO DA LÍNGUA PORTUGUESA,Francisco Ferreira Azevedo,"R$ 89,00","R$ 44,50"
DICIONÁRIO DE ARTES DECORATIVAS & DECORAÇÃO,Stella Moutinho et al.,"R$ 133,00","R$ 39,90"
DICIONÁRIO DE DIFICULDADES DA LÍNGUA PORTUGUESA,Domingos Paschoal Cegalla,"R$ 70,00","R$ 35,00"
DICIONÁRIO DE LOUCUÇÕES E EXPRESSÕES,Carlos Alberto de Macedo Rocha et al.,"R$ 113,00","R$ 56,50"
DICIONÁRIO DE MACHADO DE ASSIS,Castelar de Carvalho,"R$ 69,00","R$ 34,50"
DICIONÁRIO DE SINÔNIMOS,Antenor Nascentes,"R$ 65,00","R$ 32,50"
DICIONÁRIO DO PETRÓLEO EM LÍNGUA PORTUGUESA,Eloi Fernández Y Fernández et al.,"R$ 168,00","R$ 58,80"
DICIONÁRIO DO VOTO,Walter Costa Porto,"R$ 84,00","R$ 25,20"
DICIONÁRIO E PRÁTICA DE FALSE FRIENDS,Amadeu Marques e Gisele Aga,"R$ 84,90","R$ 42,45"
DICIONÁRIO EM SALA DE AULA,Maria da Graças Krieger,"R$ 47,00","R$ 18,80"
DICIONÁRIO ESCOLAR CALDAS AULETE,Paulo Geiger ( editor ),"R$ 51,00","R$ 15,30"
DICIONÁRIO ESSENCIAL DE COMUNICAÇÃO,Carlos A. Rabaça e Gustavo G. Barbosa,"R$ 39,00","R$ 15,60"
DICIONÁRIO ETIMOLÓGICO DA LÍNGUA PORTUGUESA,Antônio Geraldo da Cunha,"R$ 120,00","R$ 60,00"
DICIONÁRIO FRANCÊS- PORTUGÊS PORTUGÊS- FRANCÊS,Paulo Rónai,"R$ 99,00","R$ 49,50"
DICIONÁRIO HISTÓRICO DE RELIGIÕES,Antônio Carlos do Amaral,"R$ 62,00","R$ 31,00"
DÚVIDAS EM PORTUGUÊS NUNCA MAIS,Cilene da Cunha Pereira et al.,"R$ 63,00","R$ 25,20"
GRAMÁTICA ESSENCIAL,Celso Cunha,"R$ 29,00","R$ 14,50"
HISTÓRIAS QUE OS BICHOS GOSTAM DE CONTAR,Luiz Eduardo de Castro Neves,"R$ 52,00","R$ 26,00"
INICIAÇÃO À LINGUÍSTICA,Carlos Eduardo Falcão Uchôa,"R$ 44,90","R$ 22,45"
INTRODUÇÃO À ENGENHARIA,Marcia Agostinho et Al.,"R$ 59,00","R$ 29,50"
KARMA IMEDIATO,Barbara Ann Kipfer,"R$ 41,00","R$ 12,30"
LACERDA NA GUANABARA,Mauricio Dominguez Perez,"R$ 42,00","R$ 12,60"
LER/ FALAR/ ESCREVER PRÁTICAS DISC. NO EM,Cilene da Cunha Pereira e Janete dos S. B.Neve,"R$ 59,00","R$ 20,65"
MANUAL DA BOA ESCRITA,Maria Tereza de Queiroz Piacentini,"R$ 51,00","R$ 25,50"
MEU PRIMEIRO DICIONÁRIO CALDAS AULETE,Paulo Geiger ( editor ),"R$ 49,90","R$ 19,96"
MINIDICIONÁRIO CALDAS AULETE,Paulo Geiger ( editor ),"R$ 47,00","R$ 23,50"
"MUITO, MUITO, MUITO.... ( ESCOLHA A SUA HISTÓRIA )",Luiz Eduardo de Castro Neves,"R$ 35,00","R$ 17,50"
NOVA GRAMÁTICA DO PORTUGUÊS CONTEMPORÂNEO,Celso Cunha e Lindley Cintra,"R$ 169,90","R$ 84,95"
NOVA GRAMÁTICA PARA CONCURSOS,Cilene da Cunha Pereira et al.,"R$ 89,00","R$ 44,50"
NOVA GRAMÁTICA PARA O ENSINO MÉDIO,Cilene da Cunha Pereira et al.,"R$ 149,90","R$ 74,95"
O CICLISTA ESCLARECIDO,Bike Snob Nyc,"R$ 47,00","R$ 9,40"
O ENSINO DA GRAMÁTICA,Carlos Eduardo Falcão Uchôa,"R$ 39,00","R$ 19,50"
O QUE SENTEM OS ANIMAIS?,Babara J. King,"R$ 47,00","R$ 14,10"
O SOL VAI VOLTAR AMANHÃ (ENERGIA FOTOVOLTAICA),Instituto de Energia da Puc- Rio,"R$ 149,90","R$ 59,96"
OS MITOS DA FELICIDADE,Sonja Lyubomirsky,"R$ 47,00","R$ 23,50"
PARA FALAR E ESCREVER MELHOR O PORTUGUÊS,Adriano da Gama Kury,"R$ 59,00","R$ 29,50"
PINTAR COMO PASSATEMPO,Winston Churchill,"R$ 59,00","R$ 11,80"
PORTUGUÊS BÁSICO E ESSENCIAL,Adriano da Gama Kury,"R$ 67,00","R$ 33,50"
SUA MEDITAÇÃO,Barbara Ann Kipfer,"R$ 42,00","R$ 8,40"
UMA GRAMÁTICA SIMPÁTICA,Luiz Eduardo de Castro Neves,"R$ 89,90","R$ 44,95"
VÍNCULOS: SEXO E AMOR NA EVOLUÇÃO DO CASAMENTO,Marcia Esteves Agostinho,"R$ 42,00","R$ 8,40"
VOCABULÁRIO ORTOGRÁFICO DA LÍNGUA PORTUGUESA,Antônio Geraldo da Cunha,"R$ 119,00","R$ 23,80"
