Título,Autor,"Preço decapa","preço comdesconto"
A viagem da bruxa,"Gutfreind, Celso /  Schreiner,  Martina","R$ 25,00","R$ 12,00"
Acho chato e ponto.,"Canto, Márcia / Kaplan, Lúcia","R$ 30,00","R$ 15,00"
Babá - Esse depravado negro que amou,"Koch, Jandiro Adriano","R$ 28,00","R$ 14,00"
"Diálogos com Paul Ricoeur: ensaios de hermenêuticaliterária","Baungarten, Carlos Alexandre (org)","R$ 25,00","R$ 12,00"
DORA,"Brod, Meire","R$ 25,00","R$ 10,00"
ela se chama Azelene,"Tomaselli, Maria","R$ 40,00","R$ 20,00"
Elogio dos tratados sobre a crítica dos discursos,"Escobar, Rafael","R$ 25,00","R$ 10,00"
Entre a neve e o deserto,"Rodriguez, Gisela","R$ 32,00","R$ 10,00"
Entrevista: na prática jornalistica,"Marocco, Beatriz (org)","R$ 20,00","R$ 10,00"
"Fidalgo, Finório e Firula","Moller, Letícia /  Schmidt, Yuji","R$ 22,00","R$ 10,00"
Fractais no café,"Reichert, Mara","R$ 30,00","R$ 15,00"
"Governar na Crise - um olhar sobre o governo TarsoGenro","Weissheimer, Marco","R$ 30,00","R$ 10,00"
Imóveis Paredes,"Franco, Miguel da Costa","R$ 32,00","R$ 15,00"
Incerto Sim,"Escobar, Rafael","R$ 28,00","R$ 14,00"
Jogo jogado -  e outras histórias,"Cassel, Guilherme","R$ 32,00","R$ 15,00"
L. Novela de Mistério,"Cattani, Antonio D.","R$ 28,00","R$ 10,00"
Luta + vã,"Santi, Álvaro","R$ 15,00","R$ 7,00"
Monalisa no retrovisor,"Bertussi, Lisana","R$ 35,00","R$ 15,00"
"Nada será como antes - 2013: o ano que não acabou,na cidade onde tudo começou","Haubrich, Alexandre","R$ 30,00","R$ 15,00"
Neoliberalismo - Desmonte do Estado Social,"Azevedo, Plauto Faraco","R$ 35,00","R$ 17,00"
O mapa da República,"Vernieri, Susana/","R$ 28,00","R$ 14,00"
O país da suruba,"Centeno, Ayrton","R$ 29,00","R$ 15,00"
"Os peixes, o vovô e o tempo","Moller, Letícia /  Pilla, Carla","R$ 20,00","R$ 10,00"
Pão & Circo,"Messias, Dilmar","R$ 25,00","R$ 10,00"
Percursos críticos em história da literatura,"Moreira, Maria Eunice (org)","R$ 20,00","R$ 10,00"
"Rosa, a gata limpeza","Vernieri, Susana /  Vernieri, Lucas","R$ 22,00","R$ 10,00"
Rupturas Instáveis,"Silveira, Fabricio","R$ 25,00","R$ 15,00"
"Sargento, o marechal e o faquir, O","Guimaraens, Rafael","R$ 35,00","R$ 17,00"
Sete dias,"Cattani, Antonio D.","R$ 29,00","R$ 10,00"
Sobe desce com a Nina/ Sube baja com la Nina,"Ramil, Kleiton/ Terra, Ana","R$ 20,00","R$ 10,00"
The giraffe  ́s neck,"Cruz, Marion / Papescu, Monika","R$ 20,00","R$ 10,00"
Uma fresta no sótão,"Bertussi, Lisana","R$ 40,00","R$ 20,00"
"Vaca transparente, a","Levitan, Cláudio","R$ 26,00","R$ 10,00"
