MORRER DE AMOR E CONTINUAR VIVENDO,Lorena Kaz,"R$     59,90","R$           29,95"
CACOS: MOMENTOS QUE FI(N)CAM,Ciça Lessa,"R$      35,90","R$          17,95"
ÁTIMO,Kiko Rieser,"R$      54,90","R$          27,45"
"MORDIDAS POR DENTRO: POEMAS EM PROSA PARACORAÇÕES DILACERADOS",Bruno Lima Penido,"R$      49,90","R$           24,95"
A SUCESSORA,Carolina Nabuco,"R$     54,90","R$          27,45"
O AMIGO,Sigrid Nunez,"R$      54,90","R$           27,45"
"O MUNDO QUE HABITA EM NÓS: REFLEXÕESFILOSÓFICAS E LITERÁRIAS PARA TEMPOS (IN)TENSOS",Liliane Prata,"R$     49,90","R$          24,95"
CHAMA E CINZAS,Carolina Nabuco,"R$      54,90","R$          27,45"
"MORRA, AMOR",Ariana Harwicz,"R$     52,90","R$           26,45"
"ELA QUERIA AMAR, MAS ESTAVA ARMADA",Liliane Prata,"R$      54,90","R$          27,45"
MARIA ALTAMIRA,Maria José Silveira,"R$      59,90","R$           29,95"
A MURALHA,Dinah Silveira de Queiroz,"R$      69,90","R$          34,95"
"AMOR-PRÓPRIO, AMOR PELO MUNDO: PRÁTICAS DEATENÇÃO, EXPRESSÃO E TRANSFORMAÇÃO PARATEMPOS (IN)TENSOS",Liliane Prata,"R$      35,90","R$          17,95"
A DÉBIL MENTAL,Ariana Harwicz,"R$      52,90","R$           26,45"
DEMERARA,Wagner G. Barreira,"R$     54,90","R$          27,45"
FLORADAS NA SERRA,Dinah Silveira de Queiroz,"R$      54,90","R$           27,45"
FEBRE TROPICAL,Juliana Delgado Lopera,"R$      64,90","R$          32,45"
NASCIMENTO E MORTE DA DONA DE CASA,Paola Masino,"R$      69,90","R$          34,95"
DOMINGO,Ana Lis Soares,"R$     54,90","R$          27,45"
PRECOCE,Ariana Harwicz,"R$     52,90","R$          26,45"
