"",,LISTA DE LIVROS,
"",,"Festa Virtual do Livroda USP 2021",
TÍTULO,AUTOR (A),PREÇO CAPA,"PREÇO COMDESCONTO"
O Auto da compadecida,ARIANO SUASSUNA,"4 4,90","R$ 22,45"
O LIVRO DAS VIRTUDES PARA CRIANÇAS,WILLIAM BENNETT,"5 9,90","R$ 29,95"
Box Odisseia e Ilíada,HOMERO,"1 59,90","R$ 79,95"
MODERNA GRAMÁTICA PORT-39ED,EVANILDO BECHARA,"8 9,90","R$ 44,95"
A INVENÇÃO DO DIREITO,JOSÉ ROBERTO DE CASTRO NEVES,"3 9,90","R$ 19,95"
Box História da filosofia ocidental,BERTRAND RUSSEL,"1 99,90","R$ 99,95"
1984 EM HQ,SYBILLE TITEUX DE LA CROIX,"6 9,90","R$ 34,95"
GRAMATICA FACIL (EDICAO REVISTA E ATUALIZADA),EVANILDO BECHARA,"4 9,90","R$ 24,95"
"Pluft, o fantasminha",MARIA CLARA MACHADO,"4 4,90","R$ 22,45"
O santo e a porca,ARIANO SUASSUNA,"4 4,90","R$ 22,45"
UMA VIAGEM PELA MITOLOGIA GREGA,EQUIPE EDIOURO,"1 9,90","R$ 9,95"
"OTTO LARA RESENDE OU BONITINHA, MAS ORDINÁRIA",NELSON RODRIGUES,"4 4,90","R$ 22,45"
O segundo sexo_70 anos,SIMONE DE BEAUVOIR,"1 89,90","R$ 94,95"
As aventuras de Tom Sawyer_BOX,MARK TWAIN,"1 69,90","R$ 84,95"
Romance da Pedra do Reino,ARIANO SUASSUNA,"8 9,90","R$ 44,95"
O LIVRO DOS HERÓIS PARA CRIANÇAS,WILLIAM BENNETT,"5 9,90","R$ 29,95"
POEMAS DE AMOR,WALMIR AYALA,"3 9,90","R$ 19,95"
Vestido de noiva,NELSON RODRIGUES,"3 9,90","R$ 19,95"
A IDADE DA RAZÃO,JEAN-PAUL SARTRE,"5 9,90","R$ 29,95"
O ETERNO MARIDO,FIÓDOR DOSTOIÉVSKI,"3 9,90","R$ 19,95"
CHAPEUZINHO VERMELHO: O VALOR DE UM SORRISO,LÉO FUCHS,"4 4,90","R$ 22,45"
REVOLTA E PROTESTO NA POESIA BRASILEIRA,ANDRÉ SEFFRIN,"3 9,90","R$ 19,95"
A farsa da boa preguiça,ARIANO SUASSUNA,"4 9,90","R$ 24,95"
O Exército de Cavalaria,ISAAC BABEL,"3 9,90","R$ 19,95"
COMO SE TORNAR UM LIDER,PLUTARCO,"3 9,90","R$ 19,95"
O ESPELHO INFIEL,JOSÉ ROBERTO DE CASTRO NEVES,"6 9,90","R$ 34,95"
A pena e a lei,ARIANO SUASSUNA,"4 4,90","R$ 22,45"
"Memórias, sonhos, reflexões",CARL G. JUNG,"6 9,90","R$ 34,95"
O MURO,JEAN PAUL SARTRE,"4 9,90","R$ 24,95"
O casamento suspeitoso,ARIANO SUASSUNA,"4 4,90","R$ 22,45"
AUTO DE JOÃO DA CRUZ,ARIANO SUASSUNA,"4 4,90","R$ 22,45"
Agosto - 11a edição,RUBEM FONSECA,"5 9,90","R$ 29,95"
O QUE VOCÊ PRECISA SABER SOBRE SHAKESPEARE ANTES QUE O M,LNIADNOA DE CAMARGO LEAO,"7 9,90","R$ 39,95"
