Natureza íntima,MARIA BARRETTO,"R$   44,90","R$  2 2,45"
"Ser, nascer e desnascer (enquanto mulheres)",Antologia Primavera,"R$   44,90","R$  2 2,45"
"Great Leader to Work: Como os melhores líderes constroem asmelhores empresas para trabalhar",CAUE OLIVEIRA,"R$   49,90","R$  2 4,95"
Agile Strategy Management: Uma nova estratégia empresarial,LUIS LOBÃO e Rodrigo Peter Schilling,"R$   54,90","R$  2 7,45"
"Minds Matter: Uma abordagem científica de saúde mental paragestão e negócios",PEDRO SHIOZAWA,"R$   49,90","R$  2 4,95"
Estresse e ansiedade,LISA DAMOUR,"R$   44,90","R$  2 2,45"
"Esporte, um palco para a vida",Cristiana Pinciroli e Pedro Pinciroli Júnior,"R$   54,90","R$  2 7,45"
Quando o futuro chegou e encontrei um pentelho branco,ADRIANA PIMENTA,"R$   44,90","R$  2 2,45"
"A Lua e o Girassol: um dia mães em luto, outro dia mães em luz",Marina Miranda Fiuza,"R$   44,90","R$  2 2,45"
Sortudas? #avidanãoéumapubli,DAWN O'PORTER,"R$   49,90","R$  2 4,95"
Projeto Lakewood,MEGAN GIDDINGS,"R$   44,90","R$  2 2,45"
Nem tudo tem que ser seu,JAMI ATTENBERG,"R$   44,90","R$  2 2,45"
"Meu corpo, minhas medidas",VIRGIE TOVAR,"R$   39,90","R$  1 9,95"
Embaraçada,MEAGHAN O'CONNELL,"R$   44,90","R$  2 2,45"
Escute o que ela diz,JOANNE LIPMAN,"R$   49,90","R$  2 4,95"
Uma mulher não é um homem,ETAF RUM,"R$   44,90","R$  2 2,45"
O livro dos negros,LAWRENCE HILL,"R$   44,90","R$  2 2,45"
"Mulher, solteira e feliz",GUNDA WINDMÜLLER,"R$   44,90","R$  2 2,45"
Wonder Women,SAM MAGGS,"R$   49,90","R$  2 4,95"
Brilhe na sua praia,ELIZABETH UVIEBINENÉ & YOMI ADEGOKE,"R$   44,90","R$  2 2,45"
Um cara qualquer,AMBER TAMBLYN,"R$   44,90","R$  2 2,45"
Turismo para leigos e curiosos,DAVID LESLIE,"R$   34,90","R$  1 7,45"
"Trauma, memória e transmissão",MARIA CERRUTI,"R$   33,90","R$  1 6,95"
SOS Amor,LIDIA ROSENBERG ARANTANGY,"R$   39,90","R$  1 9,95"
Regras da confiança,BOB LEE,"R$   49,90","R$  2 4,95"
Quem tem medo do Dr. House?,NURIA TORRENTS,"R$   33,90","R$  1 6,95"
Quem é essa tagarela?,CRIS BICUDO,"R$   34,90","R$  1 7,45"
Por uma psicanálise viva,HOMERO VETTORAZZO FILHO,"R$   49,90","R$  2 4,95"
O trágico,JASSANAN AMOROSO DIAS PASTORE,"R$   49,90","R$  2 4,95"
O anel que tu me deste,LIDIA ROSENBERG ARANTANGY,"R$   39,90","R$  1 9,95"
Networking versus Notworking,ALEXANDRE CALDINI,"R$   49,90","R$  2 4,95"
Na ponta do leque,JOCELYNE GODARD,"R$   44,90","R$  2 2,45"
"Mulheres modernas, dilemas modernos",JOYCE MOYSÉS & CLAUDIO HENRIQUE DOS S,"R$   39,90","R$  1 9,95"
Medicação ou medicalização?,LUCIANNE SANT'ANNA DE MENEZES,"R$   39,90","R$  1 9,95"
Marrana!,KATIA PESSANHA,"R$   39,90","R$  1 9,95"
Manual de gentilezas do executivo,STEVE HARRISON,"R$   49,90","R$  2 4,95"
"Mandrágoras, clínica psicanalítica",SERGIO GOUVÊA FRANCO,"R$   39,90","R$  1 9,95"
Limites de Eros,ELIANA MICHELINI MARRACCINI & MARTA R,"R$   49 ,90","R$  24 ,95"
Liderança é um contrato,VINCE MOLINARO,"R$   49,90","R$  2 4,95"
Laço mãe-bebê,SILVANA RABELLO,"R$   49,90","R$  2 4,95"
Girling Up,MAYIM BIALIK,"R$   34,90","R$  1 7,45"
Devolução de crianças adotadas,MARIA LUIZA DE ASSIS MOURA GHIRARDI,"R$   44,90","R$  2 2,45"
Dançando com o urso,JOÃO RACHED,"R$   29,90","R$  1 4,95"
Construindo vínculo entre pais e filhos adotivos,MARIA SALETE ABRÃO,"R$   34,90","R$  1 7,45"
Cidade do paraíso,VAGNER DE ALENCAR & BRUNA BELAZI,"R$   34,90","R$  1 7,45"
Capitalismo light,JOÃO RACHED,"R$   29,90","R$  1 4,95"
Bion,CECIL JOSE REZZE & CELSO ANTONIO VIEIRA,"R $   24,90","R$1 2,45"
As 3 leis do desempenho,STEVE ZAFRON & DAVE LOGAN,"R$   49,90","R$  2 4,95"
Antes,J. B. PONTALIS,"R$   29,90","R$  1 4,95"
Andança,FLAVIA VELÁSQUEZ COTINI,"R$   39,90","R$  1 9,95"
A great place to work for all,MICHAEL C. BUSH,"R$   49,90","R$  2 4,95"
À margem das noites,J. B. PONTALIS,"R$   39,90","R$  1 9,95"
A saga da fosfoetanolamina,MAURIZIO FERRANTE,"R$   34,90","R$  1 7,45"
"",,,
"",,,
"",,,
