1984,GEORGE ORWELL,39.90,R$    19.95
2001: UMA ODISSEIA NO ESPACO,ARTHUR C. CLARKE,89.90,R$    44.95
2001: UMA ODISSEIA NO ESPACO 3ED,ARTHUR C. CLARKE,54.90,R$    27.45
ALIEN,ALAN DEAN FOSTER,54.90,R$    27.45
ANDROIDES SONHAM COM OVELHAS ELETRICAS? 50 ANOS,PHILIP K. DICK,99.90,R$    49.95
APRENDENDO INTELIGENCIA 3 ED,PIERLUIGI PIAZZI,42.90,R$    21.45
"ATIVISTA QUANTICO, O   2 ED",AMIT GOSWAMI,59.90,R$    29.95
BLADE RUNNER,PHILIP K. DICK,54.90,R$    27.45
BOX CLASSICOS DA DISTOPIA,,129.90,R$    64.95
BOX DUNA - PRIMEIRA TRILOGIA,FRANK HERBERT,249.90,R$  124.95
BOX DUNA - SEGUNDA TRILOGIA,"HERBERT, FRANK",259.90,R$  129.95
BOX DUNA POCKET,"HERBERT, FRANK",259.90,R$  129.95
BOX ESSENCIAL CLARKE,ARTHUR C. CLARKE,149.90,R$    74.95
BOX ESSENCIAL PHILIP K. DICK,PHILIP K. DICK,149.90,R$    74.95
BOX ESSENCIAL QUANTICO,AMIT GOSWAMI,159.90,R$    79.95
BOX FUNDACAO - DECLINIO E ASCENSAO 2ED,ISAAC ASIMOV,249.90,R$  124.95
BOX FUNDACAO - SAGA COMPLETA,ISAAC ASIMOV,399.90,R$  199.95
BOX JURASSIC PARK 2ED,MICHAEL CRICHTON,139.90,R$    69.95
BOX ORWELL + CARTELA DE ADESIVOS,GEORGE ORWELL,59.90,R$    29.95
BOX TRILOGIA DA FUNDACAO 2ED,ISAAC ASIMOV,169.90,R$    84.95
BOX TRILOGIA SPRAWL,WILLIAM GIBSON,149.90,R$    74.95
BOX URSULA K. LE GUIN,URSULA K. LE GUIN,139.90,R$    69.95
"BRIGADAS FANTASMA, AS",JOHN SCALZI,64.90,R$    32.45
CALAMIDADE,BRANDON SANDERSON,59.90,R$    29.95
CAMA DE GATO,KURT VONNEGUT,59.90,R$    29.95
"CANTICO PARA LEIBOWITZ, UM - 2ED",WALTER M. MILLER JR,59.90,R$    29.95
"CAVALEIRO DE RUBI, O",DAVID EDDINGS,54.90,R$    27.45
"CAVERNAS DE ACO, AS  2 ED.",ISAAC ASIMOV,54.90,R$    27.45
"CIDADE E AS ESTRELAS, A",ARTHUR C. CLARKE,54.90,R$    27.45
CONSCIENCIA QUANTICA 2ED,AMIT GOSWAMI,49.90,R$    24.95
CORACAO DE ACO,BRANDON SANDERSON,59.90,R$    29.95
COUNT ZERO 2 ED,WILLIAM GIBSON,54.90,R$    27.45
CRIATIVIDADE QUANTICA - 3ED,AMIT GOSWAMI,59.90,R$    29.95
CULTURA DA CONEXAO,HENRY JENKINS,89.90,R$    44.95
CYBERSTORM,MATTHEW MATHER,49.90,R$    24.95
"DESPOSSUIDOS,OS  2ED.",URSULA K. LE GUIN,74.90,R$    37.45
DEUS NAO ESTA MORTO - 3ED,AMIT GOSWAMI,59.90,R$    29.95
DUNA  2 ED,FRANK HERBERT,89.90,R$    44.95
ECONOMIA DA CONSCIENCIA,AMIT GOSWAMI,59.90,R$    29.95
ENCARCERADOS,JOHN SCALZI,54.90,R$    27.45
ENCONTRO COM RAMA  3 EDICAO,ARTHUR C. CLARKE,54.90,R$    27.45
"ENEAGRAMA COMPLETO, O",BEATRICE CHESTNUT,99.90,R$    49.95
"ENIGMA DE ANDROMEDA, O",MICHAEL CRICHTON,54.90,R$    27.45
ENSINANDO INTELIGENCIA 2 ED,PIERLUIGI PIAZZI,42.90,R$    21.45
"ESPETACULAR E INCRIVEL VIDA DE DOUGLAS ADAMS,A",JEM ROBERTS,79.90,R$    39.95
ESTIMULANDO INTELIGENCIA 2 ED,PIERLUIGI PIAZZI,42.90,R$    21.45
"ESTRANHO NUMA TERRA ESTRANHA, UM",ROBERT A. HEINLEIN,74.90,R$    37.45
EU SOU A LENDA,RICHARD MATHESON,69.90,R$    34.95
EU SOU A LENDA 2ED,RICHARD MATHESON,54.90,R$    27.45
"EU, ROBO",ISAAC ASIMOV,54.90,R$    27.45
EVOLUCAO CRIATIVA,AMIT GOSWAMI,59.90,R$    29.95
"EXPERIÊNCIA PSICODÉLICA, A","TIMOTHY LEARY, RALPH METZ",ER E R5IC4.H9A0,DR A$L P  E 2RT7.45
FILHOS DE DUNA 2 ED,FRANK HERBERT,89.90,R$    44.95
"FIM DA ETERNIDADE, O  2 ED.",ISAAC ASIMOV,54.90,R$    27.45
"FIM DA INFANCIA, O  3 ED",ARTHUR C. CLARKE,54.90,R$    27.45
"FISICA DA ALMA, A - 4ED",AMIT GOSWAMI,59.90,R$    29.95
"FISICA DOS ANJOS, A - 2 ED",MATTHEW FOX E RUPERT SH,LDRAKE59.90,R$    29.95
FLORES PARA ALGERNON,DANIEL KEYES,64.90,R$    32.45
"FLUAM, MINHAS LAGRIMAS, DISSE O POLICIAL 2ED",PHILIP K. DICK,54.90,R$    27.45
FORREST GUMP,WINSTON GROOM,99.90,R$    49.95
FUNDACAO 2 ED,ISAAC ASIMOV,59.90,R$    29.95
FUNDACAO E IMPERIO 2 ED,ISAAC ASIMOV,59.90,R$    29.95
FUNDACAO E TERRA 2ED,ISAAC ASIMOV,69.90,R$    34.95
GUERRA DO VELHO,JOHN SCALZI,64.90,R$    32.45
GUERRA SEM FIM,JOE HALDEMAN,64.90,R$    32.45
HERDEIRAS DE DUNA,FRANK HERBERT,89.90,R$    44.95
HEREGES DE DUNA,FRANK HERBERT,89.90,R$    44.95
HISTORIA DA BRUXARIA  2 ED,JEFFREY B. RUSSELL E BROO,S ALEX6A9N.9D0,RR$    34.95
"HISTORIA DE JOE SHUSTER, A",JULIAN VOLOJ (ROTEIRISTA),THOMA7S9 C.9A0,PRI $    39.95
HISTORIA ZERO,WILLIAM GIBSON,59.90,R$    29.95
"HOMEM DO CASTELO ALTO, O  3 ED",PHILIP K. DICK,54.90,R$    27.45
"HOMEM DUPLO, O",PHILIP K. DICK,54.90,R$    27.45
HOMENS DIFICEIS,BRETT MARTIM,64.90,R$    32.45
IMPERADOR DEUS DE DUNA,FRANK HERBERT,89.90,R$    44.95
INTELIGENCIA EM CONCURSOS 2 ED,PIERLUIGI PIAZZI,42.90,R$    21.45
"JORNADA DO ESCRITOR, A",CHRISTOPHER VOGLER,89.90,R$    44.95
JURASSIC PARK 3ED,MICHAEL CRICHTON,74.90,R$    37.45
JUSTICA ANCILAR,ANN LECKIE,59.90,R$    29.95
LARANJA MECANICA  EDICAO ESPECIAL 50 ANOS,ANTHONY BURGESS,99.90,R$    49.95
LARANJA MECANICA 3 ED,ANTHONY BURGESS,54.90,R$    27.45
LEVIATA DESPERTA,JAMES S. A. COREY,79.90,R$    39.95
LIMITES DA FUNDACAO 2ED,ISAAC ASIMOV,69.90,R$    34.95
"MAO ESQUERDA DA ESCURIDAO, A. 3 ED.",URSULA K. LE GUIN,69.90,R$    34.95
"MEDICINA DA IMORTALIDADE, A  3 ED",RAY KURZWEIL,84.90,R$    42.45
MESSIAS DE DUNA 2 ED,FRANK HERBERT,74.90,R$    37.45
METROPOLIS,THEA VON HARBOU,99.90,R$    49.95
"MOLAMBOLENGOS, OS",EVANGELINE LILLY,49.90,R$    24.95
MONA LISA OVERDRIVE 2 ED,WILLIAM GIBSON,54.90,R$    27.45
"MULHERES, MITOS E DEUSAS - CAPA DURA",MARTHA ROBLES,69.90,R$    34.95
"MUNDO PERDIDO, O - 2ED",MICHAEL CRICHTON,69.90,R$    34.95
NEUROMANCER - EDICAO ESPECIAL 30 ANOS,WILLIAM GIBSON,139.90,R$    69.95
NEUROMANCER 5 EDICAO,WILLIAM GIBSON,54.90,R$    27.45
NOS,IEVGUENI ZAMIATIN,79.90,R$    39.95
NOS - 2ED,IEVGUENI ZAMIATIN,49.90,R$    24.95
ORIGENS DA FUNDACAO 2 ED,ISAAC ASIMOV,64.90,R$    32.45
PEDRA NO CEU,ISAAC ASIMOV,54.90,R$    27.45
"PERFURANEVE, O","JACQUES LOB,BENJAMIN LEG",AND E 8JE9.A9N0,MRAR$C    44.95
"PERGUNTA MAIS BONITA, UMA",WARREN BERGER,49.90,R$    24.95
PERIFERICOS,WILLIAM GIBSON,69.90,R$    34.95
PIQUENIQUE NA ESTRADA,ARKADI E BORIS STRUGATSKI,79.90,R$    39.95
"PLANETA DOS MACACOS, O 3ED",PIERRE BOULLE,54.90,R$    27.45
"PODER DA MENTE, O",SUNITA PATTANI,39.90,R$    19.95
POEIRA LUNAR,ARTHUR C. CLARKE,54.90,R$    27.45
PRELUDIO A FUNDACAO 2ED,ISAAC ASIMOV,69.90,R$    34.95
"PRINCESA DE MARTE, UMA 2 ED",EDGAR RICE BURROUGHS,49.90,R$    24.95
"PROPRIOS DEUSES, OS - 2ED",ISAAC ASIMOV,64.90,R$    32.45
"QUINTO BEATLE, O",VIVEK J TIWARY,89.90,R$    44.95
REALIDADES ADAPTADAS - 2 ED,PHILIP K. DICK,54.90,R$    27.45
RECALCULANDO A ROTA,ALANA TRANCZYNSKI,39.90,R$    19.95
REDSHIRTS,JOHN SCALZI,69.90,R$    34.95
"REVOLUCAO DOS BICHOS, A",GEORGE ORWELL,24.90,R$    12.45
"ROBOS DA ALVORADA, OS 2ED",ISAAC ASIMOV,69.90,R$    34.95
SEGUNDA FUNDACAO 2 ED,ISAAC ASIMOV,59.90,R$    29.95
"SEREIAS DE TITA, AS",KURT VONNEGUT,59.90,R$    29.95
"SOL DESVELADO, O 2 ED.",ISAAC ASIMOV,59.90,R$    29.95
SOLARIS,STANISLAW LEM,79.90,R$    39.95
SOLARIS 2ED,STANISLAW LEM,54.90,R$    27.45
SOMBRA DO PARAISO,DAVID S. GOYER E MICHAEL C,SSUTT49.90,R$    24.95
SONHOS ELETRICOS 2 ED,PHILIP K. DICK,54.90,R$    27.45
STAR TREK: PORTAL DO TEMPO,A.C CRISPIN,49.90,R$    24.95
"TEMPO EM MARTE, O",PHILIP K. DICK,54.90,R$    27.45
TERRITORIO FANTASMA,WILLIAM GIBSON,59.90,R$    29.95
TORMENTA DE FOGO,BRANDON SANDERSON,59.90,R$    29.95
