Título,Autor(es) / Organizador(es),Assuntos,"Preçocapa","PreçoFeira"
"? OSCAR NIEMEYERhttps://www.revan.com.br/produto/oscar-niemeyer-299",OSCAR NIEMEYER,,"R$ 29,00","R$ 14,50"
"À MARGEM DO ABISMO: CONFLITOS NA POLITICA BRASILEIRAhttps://www.revan.com.br/produto/a-margem-do-abismo-conflitos-na-polit-brasileira-671","WANDERLEY GUILHERME DOSSANTOS",,"R$ 46,00","R$ 23,00"
"ABOLICIONISMO PENAL LIOBERTÁRIOhttps://www.revan.com.br/produto/abolicionismo-penal-libertario-n-26-918",,,"R$ 80,00","R$ 40,00"
"ACIONISTAS DO NADAhttps://www.revan.com.br/produto/acionistas-do-nada-375",ORLANDO FACCIONE,,"R$ 36,00","R$ 18,00"
"ACUSADOS & ACUSADOREShttps://www.revan.com.br/produto/acusados-acusadores-420",MICHEL MISSE (Org.),,"R$ 44,00","R$ 22,00"
"ALÉM DA LEI - A FACE OBSCURA DA SENTENÇA PENALhttps://www.revan.com.br/produto/alem-da-lei-a-face-obscura-da-sentenca-penal-476",ALESSANDRO NEPOMOCENO,,"R$ 66,00","R$ 33,00"
"AMÉRICA LATINA E SUA CRIMINOLOGIA – N. 9https://www.revan.com.br/produto/america-latina-e-sua-criminologia-n-9-603",ROSA DEL OLMO,,"R$ 77,00","R$ 38,50"
"AMERICANIZAÇÃO (PERVERSA), Ahttps://www.revan.com.br/produto/americanizacao-perversa-a-477","MARIA LUCIA T. WERNECKVIANNA",,"R$ 62,00","R$ 31,00"
"AMY FOSTERhttps://www.revan.com.br/produto/amy-foster-478",JOSEPH CONRAD,,"R$ 20,00","R$ 10,00"
ANTES DE EU NASCER,,,"R$ 46,00","R$ 23,00"
https://www.revan.com.br/produto/antes-de-eu-nascer-655,PETRUS DAHLIN,,,
"",,,,
ANTONIO GRAMSCI DO LIBERALISMO AO COMUNISMO,,CIÊNCIA,"R$ 60,00","R$ 30,00"
https://www.revan.com.br/produto/antonio-gramsci-do-liberalismo-ao-,DOMENICO LOSURDO,POLÍTICA;,,
comunismo-479,,SOCIALISMO,,
"",,,,
APONTAMENTOS PARA UMA HISTÓRIA DA LEGISLAÇÃO PENAL,,,"R$ 40,00","R$ 20,00"
BRASILEIRA,,,,
https://www.revan.com.br/produto/apontamentos-para-uma-historia-,NILO BATISTA,,,
da-legis-penal-bras-695,,,,
"",,,,
ARGUMENTAÇÃO CONTRA A MORTE DA ARTE,,,"R$ 46,00","R$ 23,00"
https://www.revan.com.br/produto/argumentacao-contra-a-morte-da-,,,,
arte-39,,,,
"",,,,
"",FERREIRA GULLAR,,,
ARQUITETURA DA DOMINAÇÃO,MARCELO BIAR,,"R$ 44,00","R$ 22,00"
https://www.revan.com.br/produto/arquitetura-da-dominacao-o-rio-de-,,,,
janeiro-suas-prisoes-e-seus-presos-687,,,,
"",,,,
ARTE NO BRASIL COLONIAL,ANTONIO LUIZ D'ARAUJO,,"R$ 68,00","R$ 34,00"
https://www.revan.com.br/produto/arte-no-brasil-colonial-482,,,,
"",,,,
ATENDENDO NA GUERRA CRIMINOLOGIA DE CORDEL 3,,,"R$ 35,00","R$ 17,50"
https://www.revan.com.br/produto/atendendo-na-guerra-criminologia-,LUCÍLIA ELIAS LOPES; VERA,,,
de-cordel-3-653,MALAGUTI BATISTA (Orgs.),,,
"",,,,
BANDEIRA DE LUTA,,,"R$ 31,00","R$ 15,50"
https://www.revan.com.br/produto/bandeira-de-luta-703,ANA HELENA TAVARES,BIOGRAFIA,,
"",,,,
BOM GOVERNO NOS TRÓPICOS,,,"R$ 62,00","R$ 31,00"
https://www.revan.com.br/produto/bom-governo-nos-tropicos-133,JUDITH TENDLER,,,
"",,,,
BONS DIAS,,,"R$ 42,00","R$ 21,00"
https://www.revan.com.br/produto/bons-dias-484,,,,
"",GABRIELA KVACEK BETELLA,,,
BRANCA DE NEVE E OUTRAS HISTÓRIAS,IRMÃOS GRIMM,INFANTOJUVENIL,"R$ 55,00","R$ 27,50"
https://www.revan.com.br/produto/branca-de-neve-e-outras-historias-,,,,
485,,,,
"",,,,
BRAZIL NO PREGO,,,"R$ 44,00","R$ 22,00"
https://www.revan.com.br/produto/brazil-no-prego-486,GILBERTO FELISBERTO,,,
"",VASCONCELLOS,,,
BUSH E A DOUTRINA DAS GUERRAS SEM FIM,NEWTON CARLOS,,"R$ 40,00","R$ 20,00"
https://www.revan.com.br/produto/bush-e-a-doutrina-das-guerras-sem-,,,,
fim-488,,,,
"",,,,
CALDO VERDE,DANIELE GEAMMAL,INFANTIL,"R$ 53,00","R$ 26,50"
https://www.revan.com.br/produto/caldo-verde-682,,,,
"",,,,
"CAMINHOS DO SISTEMA PENAL, OS",RANIERI MAZZILLI NETO,,"R$ 40,00","R$ 20,00"
https://www.revan.com.br/produto/caminhos-do-sistema-penal-os-368,,,,
"",,,,
CÁRCERE E FÁBRICA – N. 11,DARIO MELOSSI; MASSIMO,,"R$ 71,00","R$ 35,50"
https://www.revan.com.br/produto/carcere-e-fabrica-n-11-601,PAVARINI,,,
"",,,,
CÁRCERE SEM FÁBRICA – ESCRITOS EM HOMENAGEM A,ANDRÉ GIAMBERARDINO;,,"R$ 75,00","R4 35,50"
MASSIMO PAVARINI,RODRIGO DUQUE ESTRADA,,,
https://www.revan.com.br/produto/carcere-sem-fabrica-escritos-em-,ROIG; SALO DE CARVALHO,,,
homenagem-a-massimo-pavarini-731,(Orgs.),,,
"",,,,
