TÍTULO,AUTOR/ ORGANIZADOR,ASSUNTOS,De R$,Por R$,Desconto
100 VISTAS DE TÓQUIO,"Tsuchimochi, Shinji",Arte e Cinema,"49,00","24,50",50%
"ÁDEN, ARÁBIA","Nizan, Paul",Literatura Francesa,"44,00","13,20",70%
ALÁ E AS CRIANÇAS SOLDADOS,"Kourouma, Ahmadou",Literatura Marfinense,"47,00","18,00",60%
"ALEGORIA DO PATRIMÔNIO, A","Choay, Françoise",Arquitetura e Urbanismo,"58,00","29,00",50%
"AMÉRICA DE RUGENDAS, A","Diener, Pablo e Costa, Maria de Fátima",Arte e Cinema,"59,00","29,50",50%
"AMÉRICA, CIDADE E NATUREZA","Rocha, Paulo Mendes da",Arquitetura e Urbanismo,"62,00","31,00",50%
"ANJO AZUL, O","Mann, Heinrich",Literatura Alemã,"49,00","24,50",50%
AQUI DE DENTRO,"Shepard, Sam",Literatura Norte-Americana,"47,00","23,50",50%
ARMANCE,"Stendhal, Henri Beyle",Clássicos da Literatura Mundial,"54,00","27,00",50%
"ARQUITETURA NO NOVO MILÊNIO, A","Benevolo, Leonardo",Arquitetura e Urbanismo,"119,00","59,50",50%
ARQUITETURA PELAS ESCADAS,"Cardoso, Patrícia",Arquitetura e Urbanismo,"45,00","13,50",70%
ARTE NÃO EUROPEIA,"Avolese, Claudia Mattos e Meneses, Patricia",A. rte e Cinema,"56,00","28,00",50%
ATLAS DO MUNDO GLOBAL,"Boniface, Pascal e Védrine, Hubert",Geografia,"59,00","23,60",60%
AVERRÓIS - COL. FIG. DO SABER 15,"Benmakhlouf, Ali",Filosofia,"49,00","19,60",60%
BACHELARD - COL. FIG. DO SABER 30,"Bontems, Vincent",Filosofia,"52,00","26,00",50%
BAIXO CALÃO,"Ducharme, Réjean",Literatura Francesa,"52,00","15,60",70%
BALADA DO CÁLAMO,"Rahimi, Atiq",Literatura Afegã,"46,00","23,00",50%
"BALZAC, A OBRA-MUNDO",Vários,Crítica Literária,"49,00","24,50",60%
BELA GUTTMANN,"Claussen, Detlev",Biografia,"47,00","18,80",60%
"BELA SENHORA SEIDENMAN, A","Szczypiorski, Andrzej",Literatura Polonesa,"50,00","20,00",60%
BEL-AMI,"Maupassant, Guy de",Clássicos da Literatura Mundial,"60,00","30,00",50%
BIODIVERSITY IN THE BRAZILIAN AMAZON,"Capobianco, João Paulo (coord.)",Meio Ambiente,"175,00","70,00",60%
BOTCHAN,"Soseki, Natsume",Literatura Japonesa,"47,00","23,50",50%
BOUVARD E PÉCUCHET,"Flaubert, Gustave",Clássicos da Literatura Mundial,"63,00","31,50",50%
CADERNOS DA GUERRA E OUTROS TEXTOS,"Duras, Marguerite",Literatura Francesa,"63,00","31,50",50%
CANADÁ,"Ford, Richard",Literatura Norte-Americana,"69,00","27,60",60%
CANTOR - COL. FIGURAS DO SABER 25,"Belna, Jean-Pierre",Filosofia,"54,00","27,00",50%
CARLOTA E OS MONSTROS,"Dorrie, Doris",Literatura Infantil,"39,00","15,60",60%
TÍTULO,AUTOR/ ORGANIZADOR,ASSUNTOS,De R$,Por R$,Desconto
CARLOTA QUER SER PRINCESA,"Dorrie, Doris",Literatura Infantil,"39,00","19,50",50%
CAROS PAIS,"Panizon, Franco",Psicologia e Saúde,"52,00","15,60",70%
CARTA A CHRISTOPHE DE BEAUMONT,"Rousseau, Jean-Jacques",Filosofia,"52,00","20,80",60%
"CASA DAS BELAS ADORMECIDAS, A","Kawabata, Yasunari",Literatura Japonesa,"41,00","20,50",50%
CASSANDRA,"Wolf, Christa",Literatura Alemã,"54,00","27,00",50%
CASTELO DE YODO,"Inoue, Yasushi",Literatura Japonesa,"58,00","29,00",50%
CHAMADO DO POENTE,"Ghitany, Gamal",Literatura Egípcia,"60,00","24,00",60%
CHUVA NEGRA,"Ibuse, Masuji",Literatura Japonesa,"58,00","29,00",50%
CÍCERO - COL. FIGURAS DO SABER 34,"Auvray-Assayas, Clara",Filosofia,"42,00","21,00",50%
CINEMA de NOVO,"Oricchio, Luiz Zanin",Arte e Cinema,"55,00","27,50",50%
CINEMA JAPONÊS NA LIBERDADE,"Kishimoto, Alexandre",Arte e Cinema,"60,00","30,00",50%
COMTE - COL. FIGURAS DO SABER 21,"Fédi, Laurent",Filosofia,"46,00","18,40",60%
"CONDIÇÃO URBANA, A","Mongin, Olivier",Arquitetura e Urbanismo,"62,00","31,00",50%
CONTOS DA PALMA DA MÃO,"Kawabata, Yasunari",Literatura Japonesa,"74,00","37,00",50%
CONTOS DA TARTARUGA DOURADA,"Si-seup, Kim",Literatura Coreana,"46,00","23,00",50%
"CONVIDADO DESCONHECIDO, O","Cadiot, Olivier",Literatura Francesa,"43,00","12,90",70%
CORES INVISÍVEIS,"Kehl, Luis",Colorir,"32,00","16,00",50%
CORPO EM OFF,"Capobianco, Cristina S. M.",Psicologia e Saúde,"52,00","20,80",60%
CORPOS DE PASSAGEM,"Sant'Anna, Denise B. de",Psicologia e Saúde,"42,00","21,00",50%
CRÍTICA DA RAZÃO CÍNICA,"Sloterdijk, Peter",Filosofia,"115,00","57,50",50%
CRÍTICA DA RETÓRICA DEMOCRÁTICA,"Cânfora, Luciano",Ciências Sociais,"42,00","21,00",50%
CUBISMO,"Fauchereau, Serge",Arte e Cinema,"149,00","59,60",60%
D'ALEMBERT-COL. FIG. DO SABER 11,"Paty, Michel",Filosofia,"49,00","14,70",70%
DANÇARINA DE IZU,"Kawabata, Yasunari",Literatura Japonesa,"40,00","20,00",50%
DARWIN - COL. FIGURAS DO SABER 7,"Lenay, Charles",Filosofia,"46,00","23,00",50%
DECLÍNIO DE UM HOMEM,"Dazai, Osamo",Literatura Japonesa,"42,00","21,00",50%
DELEUZE - COL. FIGURAS DO SABER 3,"Gualandi, Alberto",Filosofia,"42,00","21,00",50%
DERRIDA - COL FIGURAS DO SABER 27,"Salanskis, Jean-Michel",Filosofia,"44,00","22,00",50%
"DERRIDA, UM EGÍPCIO","Sloterdijk, Peter",Filosofia,"37,00","18,50",50%
DESCAMINHOS,"Ribas, Marcos Caetano",Literatura Juvenil,"37,00","18,50",50%
DESCREVER O VISÍVEL,"Freire, Marcius",Arte e Cinema,"58,00","29,00",50%
"DIA DOS BÁRBAROS, O - 9 de agosto de 378","Barbero, Alessandro",História Geral,"51,00","25,50",50%
DIÁRIO DE UM VELHO LOUCO,"Tanizaki, Jun'ichiro",Literatura Japonesa,"48,00","24,00",50%
DIÁRIO DOS MOEDEIROS FALSOS,"Gide, André",Literatura Francesa,"42,00","21,00",50%
DIVÃ OCIDENTO-ORIENTAL,"Goethe, J.W.",Literatura Alemã,"72,00","36,00",50%
DON JUAN (narrado por ele mesmo),"Handke, Peter",Literatura Austríaca,"42,00","21,00",50%
EFFI BRIEST,"Fontane, Theodor",Clássicos da Literatura Mundial,"65,00","26,00",60%
EINSTEIN - COL. FIGURAS DO SABER 22,"Paty, Michel",Filosofia,"43,00","21,50",50%
TÍTULO,AUTOR/ ORGANIZADOR,ASSUNTOS,De R$,Por R$,Desconto
ENSAIO SOBRE A JUKEBOX,"Handke, Peter",Literatura Austríaca,"40,00","20,00",50%
ENSAIO SOBRE O CANSAÇO,"Handke, Peter",Literatura Austríaca,"33,00","16,50",50%
ENSAIO SOBRE O DIA EXITOSO,"Handke, Peter",Literatura Austríaca,"33,00","16,50",50%
ENSAIO SOBRE O LOUCO POR COGUMELOS,"Handke, Peter",Literatura Austríaca,"46,00","23,00",50%
EPICURO,Julie Giovachini,Filosofia,"52,00","26,00",50%
