"LISTA DE LIVROSFesta Virtual do Livroda USP 2021",,,
TÍTULOAUTOR (A)PREÇO CAPAPREÇO COM DESCONTO,,,
A ESCRITA DOS SABERES CORPORAIS NO ENSINO FUNDAMENTAL,"MEDINA, ALICE MARIA CORRÊA (AUTOR)","R$ 19,90","R$                                        9,95"
A NOVA EVANGELIZAÇÃO,"CATÃO, FRANCISCO (AUTOR)","R$ 35,00","R$                                      17,50"
A SOLIDÃO COMO VIRTUDE MORAL EM NIETZSCHE,"OLIVEIRA, JELSON (AUTOR)","R$ 38,00","R$                                      19,00"
ANÁLISE SENSORIAL DE ALIMENTOS,"DUTCOSKY, SILVIA DEBONI (AUTOR)","R$ 87,90","R$                                      43,95"
ANGELA ARRUDA E AS REPRESENTAÇÕES SOCIAIS,"SOUSA, CLARILZA PRADO DE (ORGANIZADOR),ENS, ROMILDA TEODORA (ORGANIZADOR), BÔAS,LÚCIA VILLAS (ORGANIZADOR), NOVAES, ADELINADE OLIVEIRA (ORGANIZADOR), STANICH, KARINAA. BIASOLI (ORGANIZADOR)","R$ 49,90","R$                                      24,95"
AS FACES DA LIBERDADE E A TEORIA DO RECONHECIMENTO,"RAMOS, CESAR AUGUSTO (AUTOR)","R$ 39,90","R$                                      19,95"
AS MARAVILHOSAS UTILIDADES DA GEOMETRIA,"GERBASI, ADALBERTO RAMÓN VALDERRAMA(AUTOR)","R$ 39,90","R$                                      19,95"
"AVALIAÇÃO DA APRENDIZAGEM NUMA ABORDAGEM PORCOMPETÊNCIAS","SCALLON, GÉRARD (AUTOR)","R$ 79,90","R$                                      39,95"
BIOÉTICA AMBIENTAL,"SGANZERLA, ANOR (ORGANIZADOR), RAULI,PATRICIA MARIA FORTE (ORGANIZADOR), RENK,VALQUÍRIA ELITA (ORGANIZADOR)","R$ 84,90","R$                                      42,45"
BIOÉTICA E VULNERABILIDADES,"SANCHES, MÁRIO ANTONIO (ORGANIZADOR),GUEBERT, IDA CRISTINA (ORGANIZADOR)","R$ 40,00","R$                                      20,00"
CARTAS AOS ESTUDANTES E AOS QUE PROCURAM CULTIVAR-SE,"JULIATTO, CLEMENTE IVO (AUTOR)","R$ 25,00","R$                                      12,50"
DESEJO E PRAZER NA IDADE MODERNA,"MONZANI, LUIZ ROBERTO (AUTOR)","R$ 38,00","R$                                      19,00"
DESIGUAIS DA NATUREZA E DESIGUAIS INCOMUNS,"BALESTRO, VIRGÍLIO (AUTOR)","R$ 63,00","R$                                      31,50"
DIÁLOGO SOBRE A ALEGRIA,"OLIVEIRA, JELSON (AUTOR), GUIMARÃES,MARCELLA LOPES (AUTOR), PETERS, ANA PAULA(COORDENADOR)","R$ 39,90","R$                                      19,95"
DIÁLOGO SOBRE A CIDADE,"CRESTANI, ANDREI (AUTOR), ULTRAMARI, CLOVIS(AUTOR), OLIVEIRA, JELSON (AUTOR)","R$ 34,90","R$                                      17,45"
DIÁLOGO SOBRE O TEMPO,"OLIVEIRA, JELSON (AUTOR), GUIMARÃES,MARCELLA LOPES (AUTOR)","R$ 43,00","R$                                      21,50"
DIRETRIZES PARA A GESTÃO DE TENDÊNCIAS,"BUCK, ALEX (AUTOR), HERRMANN, CHRISTOPH(AUTOR), LUBKOWITZ, DIRK (AUTOR)","R$ 74,90","R$                                      37,45"
ELETROMIOGRAFIA,"SCHEEREN, EDUARDO MENDONÇA (AUTOR),KRUEGER, EDDY (AUTOR), FREITAS, CÍNTIA DE LAROCHA (AUTOR)","R$ 43,00","R$                                      21,50"
ELOGIO À SIMPLICIDADE,"OLIVEIRA, JELSON (AUTOR)","R$ 43,00","R$                                      21,50"
ENSAIOS,"NICOLA, ROSANE DE MELLO SANTO(ORGANIZADOR)","R$ 30,00","R$                                      15,00"
ENTREPRENEURS,"OLIVEIRA, ALEXANDRE DE SÁ (AUTOR)","R$ 49,90","R$                                      24,95"
ÉTICA EM PESQUISA 2,"WITIUK, ILDA LOPES (AUTOR), FRANÇA, BEATRIZ(AUTOR), KRÜGER, CAUÊ (AUTOR), GUEBERT,MIRIAN CELIA CASTELLAIN (AUTOR)","R$ 49,90","R$                                      24,95"
ÉTICA EM PESQUISA 6,"ZOTZ, RAFAEL (AUTOR), FISCHER, MARTALUCIANE (AUTOR)","R$ 44,90","R$                                      22,45"
ÉTICA NA PESQUISA CIENTÍFICA 1,"CUNHA, THIAGO ROCHA DA (AUTOR), PERUZZOJÚNIOR, LÉO (AUTOR), MEIRELLES, JUSSARAMARIA LEAL DE (AUTOR)","R$ 49,90","R$                                      24,95"
ÉTICA NO USO DE ANIMAIS 3,"FISCHER, MARTA (AUTOR)","R$ 34,90","R$                                      17,45"
"","VILLANOVA JUNIOR, JOSÉ ADEMAR (AUTOR),",,,
ÉTICA NO USO DE ANIMAIS PARA PESQUISA E ENSINO NA MEDICINA,"OLLHOFF, RÜDIGER DANIEL (AUTOR), PASSERINO,",,,
"",,"R$ 49,90",R$,"24,95"
VETERINÁRIA 5,"ANA SILVIA MIRANDA (AUTOR), TEIXEIRA,",,,
"",VALÉRIA NATASHA (AUTOR),,,
FILOSOFIA ANIMAL,"OLIVEIRA, JELSON (ORGANIZADOR)","R$ 29,90",R$,"14,95"
"","PERUZZO JÚNIOR, LÉO (ORGANIZADOR), VALLE,",,,
FILOSOFIA DA LINGUAGEM,,"R$ 39,90",R$,"19,95"
"",BORTOLO (ORGANIZADOR),,,
FILOSOFIA DA VIAGEM,"OLIVEIRA, JELSON (AUTOR)","R$ 43,00",R$,"21,50"
FILOSOFIA DO GÊNERO EM FACE DA TEOLOGIA,"PERETTI, CLÉLIA (ORGANIZADOR)","R$ 57,00",R$,"28,50"
FOUCAULT,"CANDIOTTO, CESAR (AUTOR)","R$ 47,00",R$,"23,50"
"","CUNHA, MARIA ALEXANDRA (ORGANIZADOR),",,,
GOVERNANÇA LOCAL E AS TECNOLOGIAS DE INFORMAÇÃO E,,,,
"","FREY, KLAUS (ORGANIZADOR), DUARTE, FÁBIO","R$ 32,00",R$,"16,00"
COMUNICAÇÃO,,,,
"",(ORGANIZADOR),,,
"GOVERNANÇA PÚBLICA, REDES SOCIOTÉCNICAS E POLÍTICAS","ROSA, ALTAIR (AUTOR), PROCOPIUCK, MARIO",,,
"",,"R$ 25,00",R$,"12,50"
AMBIENTAIS URBANAS,"(AUTOR), FREY, KLAUS (AUTOR)",,,
HANDEBOL,"ALBUQUERQUE, LUÍS ROGÉRIO DE (AUTOR)","R$ 125,00",R$,"62,50"
INTER-RELAÇÕES AFRO-BRASILEIRAS NA ARQUITETURA,"WEIMER, GUNTE (AUTOR)","R$ 55,00",R$,"27,50"
"","AGUILAR, JURANDIR CORONADO",,,
INTRÉPIDOS MISSIONÁRIOS DA IGREJA NO PARANÁ,,"R$ 32,00",R$,"16,00"
"",(COORDENADOR),,,
"","LAJOLO, MARISA (AUTOR), ZILBERMAN, REGINA",,,
LITERATURA INFANTIL BRASILEIRA,,"R$ 49,90",R$,"24,95"
"",(AUTOR),,,
MANUAL DA QUALIDADE DE IMPLANTE EM ARTROSPLASTIA DE,,,,
"","SIMIONI, SILMARA (AUTOR)","R$ 22,00",R$,"11,00"
QUADRIL,,,,
MAR NEGRO,"MÜLLER, ESTEVÃO (AUTOR)","R$ 30,00",R$,"15,00"
MATUSHKA,"SOUZA, DOM BENTO DE (AUTOR)","R$ 40,00",R$,"20,00"
MENTE DIALÓGICA,"MARKOVÁ, IVANA (AUTOR)","R$ 124,00",R$,"62,00"
MODOS DE OUVIR,"KASEKER, MÔNICA PANIS (AUTOR)","R$ 40,00",R$,"20,00"
"","SPRICIGO, CINTHIA B. (ORGANIZADOR), OLIVEIRA,",,,
MOSAICO DE CINCO CORES,"JELSON (ORGANIZADOR), MARTINS, VIDAL","R$ 35,00",R$,"17,50"
"",(ORGANIZADOR),,,
O FUTURO É SMART,"TELLES, ANDRÉ (AUTOR)","R$ 34,90",R$,"17,45"
"","SGANZERLA, ANOR (ORGANIZADOR), VALVERDE,",,,
O PENSAMENTO POLÍTICO EM MOVIMENTO 1,"ANTONIO JOSÉ ROMERA (ORGANIZADOR),","R$ 39,90",R$,"19,95"
"","FALABRETTI, ERICSON (ORGANIZADOR)",,,
"","SGANZERLA, ANOR (ORGANIZADOR), VALVERDE,",,,
O PENSAMENTO POLÍTICO EM MOVIMENTO 2,"ANTONIO JOSÉ ROMERA (ORGANIZADOR),","R$ 49,90",R$,"24,95"
"","FALABRETTI, ERICSON (ORGANIZADOR)",,,
O QUE PENSAM OS FILÓSOFOS CONTEMPORÂNEOS?,"PERUZZO JÚNIOR, LÉO (AUTOR)","R$ 39,90",R$,"19,95"
PARCEIROS EDUCADORES,"JULIATTO, CLEMENTE IVO (AUTOR)","R$ 35,00",R$,"17,50"
PASTORAL NA EDUCAÇÃO INFANTIL,GRUPO MARISTA (INSTITUIÇÃO),"R$ 35,00",R$,"17,50"
"","ENS, ROMILDA TEODORA (ORGANIZADOR),",,,
PESQUISA COM CRIANÇAS E A FORMAÇÃO DE PROFESSORES,,"R$ 40,00",R$,"20,00"
"","BEHRENS, MARILDA APARECIDA (ORGANIZADOR)",,,
"","FONSECA, EDUARDO RIBEIRO DA (AUTOR),",,,
"","BOCCA, FRANCISCO VERARDI (AUTOR), ALMEIDA,",,,
