Título,Autor,
32X2 Instantâneos - Haicais - Texto e Figuras,Margarida Oliva Idéo Bava,"R$ 32,00"
A Abelhinha Harmonia e os intervalos Musicais,Sonia R. Albano de Lima,"R$ 58,00"
Acorde na Aurora – Música Sertaneja e Indústria Cultural (CEN),Waldenyr Caldas,"R$ 36,00"
Afonsinho e Edmundo – A Rebeldia no Futebol Brasileiro,Jose Paulo Florenzano,"R$ 40,00"
Agora Minha Fé Criou Vida,Maria Crepaldi,"R$ 30,00"
Algorritmos - Infopoemas,Ernesto de Melo e Castro,"R$ 40,00"
"Antologia de Antologias, Prosadores Brasileiros “Revisitados”",Zina Bellodi /Zelia Thomaz de Aquino e Magaly T. Gonca,"veRs $  84,00"
Antologia de Antologias – 101 Poetas Brasileiros “Revisitados”,Zina Bellodi /Zelia Thomaz de Aquino e Magaly T. Gonca,"veRs $  78,00"
Antologia Escolar de Literatura Brasileira (poesia e prosa),Zina Bellodi /Zelia Thomaz de Aquino e Magaly T. Gonca,"veRs $  60,00"
Artemídia e Cultura Digital,Artur Matuck e Jorge Luiz Antônio (orgs.),"R$ 98,00"
"Arte Poética de Horácio, A – Edição Bilíngue Latim-Português",Dante Tringali,"R$ 40,00"
Ave Maria Expositio - Comentário à Ave Maria,Santo Tomás de Aquino,"R$ 42,00"
Aziza,Ara Mitta,"R$ 52,00"
Biografia de Nicolau Maquiavel,Roberto Ridolfi (Tradução de Nelson Canabarro),"R$ 110,00"
"Bons Samaritanos e Outros Filhos de Israel, Os",Moacir Amâncio,"R$ 30,00"
Calendário das Águas,Jelson Oliveira,esgotado
"Carecas do Subúrbio, Os",Márcia Regina da Costa,"R$ 48,00"
"Cistercienses – Documentos Primitivos, Os",Tradução de Irineu Guimarães,prelo
Colores Siguientes - em espanhol,Moacir Amâncio,"R$ 30,00"
"Contos em Quadros – Machado de Assis, João do Rio e António de Al",âDnjtaalmraa M Caacvhaldcoanti (Org.); Célia Lima (texto); J. Rodrigue,"(qRu$a d6r9in,0h0os)"
Conversando sobre Medicina: uma Arte em extinção?,Diana de Benedetto Pozzi,"R$ 59,00"
Contos Japoneses,Adriano Messias (org.),prelo
"Cores, Forma, Luz e Movimento: A Poesia de Cesário Verde",Jorge Luiz Antônio,"R$ 54,00"
Criança Ecológica -- a História,Mônica de Lima (org.),prelo
Cristal da Sabedoria,Irede Cardoso,"R$ 20,00"
Cultura da Juventude: de 1950 a 1970,Waldenyr Caldas,"R$ 48,00"
"Cultura, Formação e Desenvolvimento Profissional de Professores que",EDnasriion aFmio rMenatienmi eá tAicdaair Mendes Nacarato (orgs.),"R$ 58,00"
"Cultura Político-Musical Brasileira, A",Waldenyr Caldas,"R$ 48,00"
"Demiti o Banco, Admiti a Vida: pelo ciclismo acrobático Freestyle","Clóvison Elberth Alves, o Clovin",prelo
Da Moeda,Ferdinando Galiani (Tradução de Marzia Vicentini),prelo
Depois do Leite,Lucia Amaral de Oliveira Ribeiro,"R$ 28,00"
Deusas e Adivinhas,Santiago Montero (Tradução de Nelson Canabarro),"R$ 60,00"
"",
Devoradores,Astolfo Araújo,"R$ 42,00"
Dois anjos e uma menina,Misa Ferreira Ilustrações Kammal João,"R$ 48,00"
"Diabo no ""Reino de Deus"" – Por Que Proliferam As Seitas?, O",Margarida Oliva,"R$ 36,00"
"Duas Noras, As",Regina Helena de Paiva Ramos,"R$ 36,00"
É Possível Amar Duas Pessoas ao Mesmo Tempo?,Noely Montes Mores (org.),"R$ 42,00"
É Pra MIM Colocar Crase ou Não?,Sérgio Simka,"R$ 30,00"
Economistas Políticos,"Adam Smith, William Petty et al. (Ttradução) Pedro Alcâ","tarRa $d e8 2F,i0g0uei"
Educação Matemática nos Anos Finais do Ensino Fundamental e no E,sCinriost iMnaé dMioaranhão (org.),"R$ 62,00"
"Egberto, um Homem Desprevenido",Otávio Issa,esgotado
"Elefante Infante, O – Edição Trilíngue Inglês-Português-Francês",Ilustrações/ Fernando Vilela,"R$ 62,00"
Elogio do Homem,Ana Cândida Costa,"R$ 20,00"
Ensino Musical Brasileiro: Múltiplos Olhares,Sonia Albano de Lima (org.),"R$ 59,00"
Ensino Superior – Reflexões Sobre a Prática Docente,Mercedes Carvalho (org),"R$ 40,00"
Éramos Jovens: Não morreríamos Nunca  (crônicas),Clara Favilla,
Erumavez... Uma pessoaqueouviamuitobem(livro com CD e Livro de A,Coiaor)los Kater,"R$ 78,00"
Escoiceados,Donizete Galvão,"R$ 48,00"
"Essência O Sentido das Coisas,A: è possível viver num mundo tão desigual Vila Leal","R$ 52,00",
Etcoetera  (contos),Ricardo  Araújo,"R$ 30,00"
Escolas Literárias,Dante Tringali,"R$ 52,00"
Ética do Cuidado,Mário Battisti e Gustavo Quirino,prelo
eu e Marilyn Monroe & o Outro,Carlos Domingos Mota Coelho,"R$ 40,00"
",Espelho e a Princesa, O","Débora Laurito (bilíngue, inglês-português)",Pré-venda
Fábulas e Fobias – Uma Viagem à Senso-Percepção pela Terapia Ocu,Maaciroion aClesar Guimarães Battisti,"R$ 40,00"
Faculdade de Música Carlos Gomes,Sonia Regina de Albano Lima,"R$ 40,00"
"Falha Humana nos Acidentes de Transito, A",Alice Beatriz Bittencourt de Fernandes,"R$ 36,00"
Fundamentos Gráficos para um Design Consciente,Raquel Matsushita,"R$ 299,00"
Flores de Tiradentes,Eric Ponty (texto)Oscar Araripe (pinturas),"R$ 82,00"
