Título,Autores,"Preço decapa","Preço comdesconto"
O menino perfeito,Bernat Cormand,"R$ 29,00","R$ 14,50"
O circo de Berta e Pedro,Antonio Ventura; Chiara Carrer,"R$ 39,00","R$ 19,50"
"Dorme, menino, dorme",Laura Herrera; July Macuada,"R$ 33,00","R$ 16,50"
Por que os gatos não usam chapéu,Victoria Pérez Escrivá; Ester García,"R$ 36,00","R$ 18,00"
"Anuk, Bobuk, Tontuk e uma foca branca",Emilio Urberuaga,"R$ 36,00","R$ 18,00"
Emiliano,Jairo Buitrago; Rafael Yockteng,"R$ 33,00","R$ 16,50"
Piccolo e Nuvola,Emilio Urberuaga,"R$ 36,00","R$ 18,00"
Tenho medo,Ivar da Coll,"R$ 39,00","R$ 19,50"
Você e eu,Maggie Maino,"R$ 33,00","R$ 16,50"
Madalena,Natália Gregorini,"R$ 44,00","R$ 22,00"
"",,,
Triz,Leo Lionni,"R$ 42,00","R$ 21,00"
Dias felizes,Bernat Cormand,"R$ 42,00","R$ 21,00"
Meu tio chega amanhã,Sebastián Santana Camargo,"R$ 36,00","R$ 18,00"
Os cossacos,Liev Tolstói,"R$ 40,00","R$ 20,00"
O banquete dos notáveis,Constantino Bértolo,"R$ 46,00","R$ 23,00"
Crianças e jovens no século XXI,Patrícia Leite e Dolores Prades (orgs.),"R$ 60,00","R$ 30,00"
