Título,Autor,Preço de capa,Preço com desconto
49 PERGUNTAS SOBRE CANCER DE,"IRkoOnSomTAidTisA, -JIeKaOn NO","IRD$IS                22,00","R$                      11,00"
A MORTE DA MORTE - ALEXANDRE,Laurent Alexandre,"R$                79,00","R$                      39,50"
A Sociedade da Sedução - democracia e nar,"Liispisomveot snkay ,h Gipiellremsoder","iRda$d  e  l i b  e  r a  l 178,00","R$                      89,00"
ABC DA SAUDE INFANTOJUVENIL-SA,"SPamApIOaio, Magda Carn","iRro$ ( e  d  i t o  r a  )    75,00","R$                      37,50"
Administração Para Não Administradores - A,"GCheisatvãeon daeto N, Iedgaólbceiorsto","o RA$lc a  n  c  e   d e   1T1o8d,o0s0 2","eRd$.   R   e  v  i s  a  d   a    e 5  A9,t0u0ali"
AGENT.FISICOS EM REABILITACAO,"Behrens, Barbara J. /","eRin$e r t ,   H  o  l l y   274,00","R$                    137,00"
Água - Bichos Que Gostam de Nadar!,"Lins, Guto","R$                33,00","R$                      16,50"
AGUA E SUSTENT.SIST.SOLO-REICH,"ReDicThardt, Klaus / Tim","R, L$u í s   C a  r l o  s  (  a9u5t,o0r0)","PRh$i l i p  p   i ,  J r  .   A   r l i 4n7d,o5 0(c"
AGUA-BICHOS QUE GOSTAM DE NAD,"LiRn-sL, IGNuSto","R$                33,00","R$                      16,50"
Águas de Primavera,"Turguêniev, Ivan","R$                67,00","R$                      33,50"
"Alexandre, O Grande","Freeman, Philip","R$                82,00","R$                      41,00"
Análise de Custos: Abordagem Simples e O,"jLeytirvioa, Eduardo Felicís","imRo$ /  A  l m   e  i d  a  , 7S4id,m00ar","RRo$b  e  r t  o   V   i e  i r  a    /3  7P,o0r0tu"
Análise Financeira de Empresas,"Matias, Alberto Borge","R$              148,00","R$                      74,00"
ANALISE FINANCEIRA DE EMPRESAS,"MaAtTiaIsA, SAlberto Borge","R$              148,00","R$                      74,00"
Andrócles e o Leão,"Belinky, Tatiana","R$                26,00","R$                      13,00"
APTIDAO AEROBIA-BERTUZZI,"Bertuzzi, Rômulo / Br","mR, $P a  t r i c i a    C  h 1a5k9u,r0 /0 A","vRe$s,  C   h  r  i s  t i a  n   o   R7o9,b5l0es"
Ar - Bichos Que Gostam de Voar!,"Lins, Guto","R$                33,00","R$                      16,50"
AR-BICHOS QUE GOSTAM DE VOAR-,"ILNinSs, Guto","R$                33,00","R$                      16,50"
ARBITRAGEM EM EVOLUCAO-TEIXEI,"TAeixeira, Tarcisio / Lo","eRs, $L ig  m   a  n  o  v s 1k3i,9 P,0at0ri","iaR $A y  u   b   C   .  ( c  o   o  r6 d9s,.5)0"
"Arte de Escrever Histórias, A","Soares, Esther Proenç","R$                34,00","R$                      17,00"
"ARTE DE RECEBER EM EVENTOS, A-","MAaTtIiAasS, Marlene","R$                75,00","R$                      37,50"
As Mentiras de Julinho Coruja,"Grinberg, Dani","R$                39,00","R$                      19,50"
ATE QUANDO,Dioclécio Campos Jún,"orR$              108,00","R$                      54,00"
ATIV.FIS.JOVENS DEFIC.GRAVES-CA,"CAaLnEalSes, Lindsay K. / L","tRle$,  R  e b  e  c  c a     65,00","R$                      32,50"
ATLAS DE DIAG.IMAGEM EM CARDIO,"-PSinMtoA, NIbIrOaim Masciar","llRi F$r a n  c  i s c  o  / 2 S5m8a,0n0io,","PRa$o l a   E   m   a  n   u  e  1la2 P9., 0/0"
"Autoconsciência, Aceitação e o Princípio do","Lnoctot,r aLyjanmne /n Mtoe -n Pdensh","rl,lR ,s B$ea n r tb ir a e r a a  g  i r   6co1m,0o0 u","Ra$ n  o   v  a   p   e  s  s  o   a3  0e,m50 a"
AVAL.FIS.EM ENFERMAGEM-CHAVES,"Chaves, Loide Corina","PRos$s o  ,   M   a  r i a 1 B3e6lé,0n0 S","laRz$a r   ( o  r  g  s  . )        68,00"
"Bagdá - Cidade da Paz, Cidade de Sangue","Marozzi, Justin","R$                90,00","R$                      45,00"
"BAGDA-CIDADE DA PAZ, CID. SANGU","M-MarAoRzzOi, ZJuZsItin","R$                90,00","R$                      45,00"
Baralho dos Pensamentos Encorajadores -,"rNieanytmaçaõrek,s R dicak M / aLdoattm,","y DnRno$r a   s o  b  r e    r e  3la5c,i0on0a","Re$n t o   s  ,   t r  a  b  a   l h  o1  7e, 5fe0li"
BASQUETEBOL - DO TREINO AO JOG,"T-rTicRolIiC, VOaLlmIor / Junio",", RD$an  t e   d  e   R o  s  8e9,00","R$                      44,50"
"Batalha Por Moscou, A - A Operação Tufão","Sot aInhíecli,o D daav iDderrocad","dRe $H  it l e  r          94,00","R$                      47,00"
"Bebê de Rosemay, O","Levin, Ira","R$                50,00","R$                      25,00"
Beethoven - Angústia e Triunfo,"Swafford, Jan","R$              216,00","R$                    108,00"
"Bismarck, Uma Vida","Steinberg, Jonathan","R$              128,00","R$                      64,00"
Brasil - Coleção Imagens do Brasil - Bilingue,"Alcântara, Araquém","R$              157,00","R$                      78,50"
"Cabana do Pai Tomás, A","Stowe, Harriet Beech","r R$                90,00","R$                      45,00"
CAD.FISIOL.TORAX GARGANTA BOC,"Busquet, Michele-Va","deRr$he  y  d  e  n      142,00","R$                      71,00"
CAD.FISIOL.TRAT.CRANIO 2ED.,"Busquet, Léopold","R$              179,00","R$                      89,50"
CAKE POPS,"Dudley, Angie","R$                88,00","R$                      44,00"
