"",,,
ReferenciaProdutoR$ Valor,"Cupom  Desc (*)PROMOUSP5021",,
9788580633443,1000 Expressões para falar Ale,"ão como u5m9 ,n4a0","vo29,70"
9788580633511,1000 Expressões para falar Ingl,"s59,40","29,70"
9788580632552,24 Horas na vida de uma mulhe,"47,19","23,60"
9788561635909,A Donf! Dicionário de gírias Fra,"39,93","19,97"
9788580630848,A Tope – Dicionário de gírias Es,"36,30","18,15"
9788533618138,Abecê de folclore,"95,59","47,80"
9788580632354,Adivinhe quem vem para o jant,"30,25","15,13"
9788533609570,Adolescência: Uma interpretaçã,"95,59","47,80"
9788533617926,Aleatoriedade,"78,65","39,33"
9788580631944,Ali Babá e os quarenta ladrões –,"24,20","12,10"
9788580632613,"Amor a solidão, O","54,45","27,23"
9788533612457,"Amor é o crime perfeito, O","59,29","29,65"
9788533621138,"Analectos, Os","78,65","39,33"
9788533615809,Análise de texto: Método geral,"53,24","26,62"
9788599102886,Andrei Rubliov - Roteiro literári,"66,55","33,28"
9788580632361,"Animais célebres, Os","42,35","21,18"
9788533614604,Anotações sobre leitura e nons,"54,45","27,23"
9788533617568,Antologia de comédia de costu,"119,79","59,90"
9788580630473,Ao pé do muro,"47,19","23,60"
9788533609068,Apego e perda 1 - Apego: A nat,"r119,79","59,90"
9788533620636,Apego e perda 2 - Separação an,"ú119,79","59,90"
9788533620643,Apego e perda 3 - Perda tristeza,"119,79","59,90"
9788580631784,Aprendendo a ouvir - Uma vida,"48,40","24,20"
9788533617155,Apresentação da filosofia,"59,29","29,65"
9788561635343,Aqui é a minha casa,"35,09","17,55"
9788580631937,Argentina - Guia de viagem,"78,65","39,33"
9788533611313,Argumentação e discurso polític,"71,39","35,70"
9788599102626,"Arquiteto, O","47,19","23,60"
9788533614673,Arquitetura gótica e escolástica,"59,29","29,65"
9788580632286,Arquitetura vivenciada,"71,39","35,70"
9788561635541,Arte como experiência,"83,49","41,75"
9788533612013,"Arte da felicidade, A - Um manu","l83,49","41,75"
9788533623200,"Arte da guerra, A","71,39","35,70"
9788580632309,"Arte da performance, A - Do fut","107,69","53,85"
9788580633658,"Arte da pesquisa, A","95,59","47,80"
9788580630121,"Arte da pontuação, A","54,45","27,23"
9788580632064,"Arte de Amar, A","66,55","33,28"
9788533613669,"Arte de calar, A","35,09","17,55"
9788580631760,"Arte de caminhar, A - O escrito","48,40","24,20"
9788533619982,Arte de criar bem os filhos na id,"78,65","39,33"
9788561635091,Arte do ponto de vista sociológi,"71,39","35,70"
9788580632255,"Arte e seus objetos, A","66,55","33,28"
9788599102879,Arthur - caixa vol. 1 e 2,"127,05","63,53"
9788599102251,Arthur e a cidade proibida vol. 2,"66,55","33,28"
9788599102398,Arthur e a guerra dos dois mun,"o66,55","33,28"
9788599102381,Arthur e a vingança de Maltazar,"68,97","34,49"
9788561635558,"Árvore maravilhosa, A - Um livr","54,45","27,23"
9788533610194,"Assassinato de Cristo, O","77,44","38,72"
9788533616080,"Autoestima do seu filho, A","66,55","33,28"
9788533614307,"Aventura semiológica, A","78,65","39,33"
9788580631258,Azul é a cor mais quente,"59,29","29,65"
9788580630237,Babayaga,"36,30","18,15"
9788561635756,"Banto em Washington, Um","47,19","23,60"
9788580631500,"Barata de Martin Heidegger, A","36,30","18,15"
9788577070046,"Barco remenda o mar, Um - Dez","59,29","29,65"
9788533605596,Barulho demais,"47,19","23,60"
9788580630534,Base de conhecimento em teste,"90,75","45,38"
9788580631951,"Bela adormecida no bosque, A","A24,20","12,10"
9788580633672,Berlin Alexanderplatz,"84,70","42,35"
9788580630916,"Blogue de Ai Weiwei, O - Escrito","60,50","30,25"
9788599102367,Bom par de sapatos e um cader,"54,45","27,23"
9788580633757,"Bonequinho de pano, O","38,39","19,20"
9788580630176,Bons amigos,"48,40","24,20"
9788580632033,Branca de neve e os sete anões,"24,20","12,10"
9788533623194,Breve história da justiça distrib,"78,65","39,33"
9788533614819,Breve história do mundo,"78,65","39,33"
9788580630985,Bruxa e o delegado e outros co,"t36,30","18,15"
9788561635268,Buracos,"50,82","25,41"
9788533616837,"Burrinho grande, Um","48,40","24,20"
9788580632170,C.S. Lewis - Além do universo m,"77,44","38,72"
9788533616677,"Cabala, A","84,70","42,35"
9788533620438,"Caçador de histórias, O","36,30","18,15"
9788533611016,"Caligrafia Árabe, A","78,65","39,33"
9788580631074,"Caminhar, uma revolução","38,72","19,36"
9788533605077,"Caminho de casa, A","54,45","27,23"
9788599102213,Caminhos para a liberdade: Soci,"60,50","30,25"
9788533619029,Cantos e fantasias e outros cant,"96,80","48,40"
9788561635213,Cantos órficos e outros poemas,"53,24","26,62"
9788599102411,"Canudinho para dois, Um – Dra","u36,30","18,15"
9788580632460,"Cargueiro sentimental, O","35,09","17,55"
9788533619265,Carta-prefácio dos princípios da,"f42,35","21,18"
9788533610323,Cartas comerciais em Espanhol,"78,65","39,33"
9788533610316,Cartas comerciais em Inglês,"78,65","39,33"
9788580632118,"Cartas de Ernest Hemingway, A","78,65","39,33"
9788533623491,Cartas filosóficas,"54,45","27,23"
9788533620087,Castro Alves - Teatro completo,"72,60","36,30"
9788599102640,"Cavaleiro de Saint-Hermine, O","145,20","72,60"
9788533623309,Cem melodias folclóricas: Docu,"48,40","24,20"
9788533610798,Chambers dictionary Key-Word,"59,29","29,65"
9788533610774,Chambers dictionary of Idioms,"71,39","35,70"
9788533610767,Chambers dictionary pocket for,"47,19","23,60"
9788533610781,Chambers dictionary students,"83,49","41,75"
9788580631388,Chambers essential password E,"gl42,13","21,07"
9788580632798,Chinês Mandarim em 30 dias: A,"90,75","45,38"
9788580630206,"Chupa-erros de ortografia, O –","36,30","18,15"
9788599102404,"Chupa-tinta, O – Draculivro 1","36,30","18,15"
9788533620483,"Cidade antiga, A","107,69","53,85"
9788599102428,"Cidade dos chupa-tinta, A – Dra","36,30","18,15"
9788580631616,Cidades rebeldes: do direito à c,"47,19","23,60"
9788580631289,"Ciência do beijo, A - O que noss","54,45","27,23"
9788561635107,"Ciúme, O - delícias e tormentos","59,29","29,65"
9788580630695,Colagens e receitas,"60,50","30,25"
9788599102756,"Comédias de Antônio José, o Ju","71,39","35,70"
9788533614161,Comentários políticos,"59,29","29,65"
9788580632248,Como água para chocolate,"54,45","27,23"
9788533615991,"Companhia dos filósofos, A","96,80","48,40"
9788599102527,"Comunicação, A","54,45","27,23"
9788580631777,Comunicologia - Reflexões sobr,"54,45","27,23"
9788533602489,"Conceito de natureza, O","72,60","36,30"
9788580632095,Conceitos fundamentais da hist,"r83,49","41,75"
9788533620834,Conciliar o mundo: A diplomaci,"62,92","31,46"
9788580630541,Confissão de Santo Agostinho –,"36,30","18,15"
9788580630725,Conquista do inútil,"59,29","29,65"
9788533622302,Conselhos a um jornalista,"59,29","29,65"
9788599102510,"Contingência, ironia e solidaried","95,59","47,80"
9788533617537,Contos Budistas,"72,60","36,30"
9788580630879,Contos da rua Brocá,"54,45","27,23"
9788533619371,Contos de escritoras brasileiras,"78,65","39,33"
