Título,Autor,"Preço decapa","Preço comdesconto"
RIO BANDIDO - UMA REPORTAGEM SUB UR,Ronie Lima,"R$59,62","29,81"
FALAR É FÁCIL MAS CONHECER É PRECISO,Fabio Aguiar,"R$54,00","27,00"
ESPIRITISMO E CULTURA,Marcus Alberto de Mario,"R$27,36","13,68"
JONAS REZENDE: O POETA DA FÉ,Alexandre Marques Cabral,"R$68,83","34,42"
"INVESTIGAÇÃO TEOLÓGICA DA COMUNICAÇÃO, UMA",Jonas Rezende,"R$37,60","18,80"
NATAL BIOGRAFIA DE UMA CIDADE,Diógenes da Cunha Lima,"R$40,20","20,10"
"EDUCOMUNICACAO:REFLEXOES,PRINCIPIOS",Angela Schaun,"R$36,80","18,40"
"CORPO E SEUS TRATAMENTOS,O",Gilberto Pereira,"R$34,00","17,00"
GIUSEPE PIGNATARO,João Pinheiro Neto,"R$49,68","24,84"
APOCALIPSE E A VOLTA DO MESSIAS,Leneide Duarte e Leila Duarte,"R$38,10","19,05"
COMPANHEIRA CARMELA,Maurício Paiva,"R$63,46","31,73"
METODO SENSORIAL NO FUTEBOL,Eduardo Antunes Coimbra,"R$39,10","19,55"
PIADAS DE SACANEAR BOTAFOGUENSE,Luís Pimentel,"R$19,00","9,50"
PROCURANDO DEUS NO BRASIL,John Burdick,"R$53,80","26,90"
MEMORIAS E CONFIDENCIAS DO PADRE TIBURCIO,José Silveira da Costa,"R$59,00","29,50"
REFLEXÕES SOBRE A VIOLÊNCIA URBANA,"Jandira Feghali, Cândido Mendes, Julita Lemgruber","R$62,10","31,05"
HOMEOPATIA POR VOCÊ - VOLUME 2 - RESFRIADO,Dr. Carlos Lyrio,"R$21,00","10,50"
JUSCELINO UMA HISTORIA DE AMOR,João Pinheiro Neto,"R$55,78","27,89"
TODA A VERDADE SOBRE A TRANSPOSIÇÃO,"João Alves Filho, organizador","R$62,00","31,00"
PRISIONEIROS DO MITO,Jorge Ferreira,"R$73,44","36,72"
DESENREDOS,"Mario R. Assef, Gloria Calvante, Cleia S. Weyrau","R$42,00","21,00"
SABATICA A GATA LUNATICA,Ida Vicenzia,"R$19,20","9,60"
ENCONTROS COM DEUS,Valeria Martins,"R$50,40","25,20"
FAMÍLIA E PATRIMÔNIO NA ANTIGA MESOPOTÂMIA,Marcelo Rede,"R$73,44","36,72"
PSICANALISE DO DINHEIRO,Jeremias Ferraz Lima,"R$37,90","18,95"
"ANJO VELA POR TI, UM",Marco Antonio Coutinho,"R$37,34","18,67"
TAROT UMA LINGUAGEM FEITICEIRA,Priscila S. Kuperman,"R$56,60","28,30"
"TRABALHO, EDUCACAO, CIDADANIA",Xico Lara,"R$34,30","17,15"
FUTEBOL DE CRAQUES E DOS CARTOLAS,José Dias,"R$38,11","19,06"
MUNDO RURAL IV,"Eli Napoleão de Lima, et alii","R$83,42","41,71"
"FAXINA NO CEU, A","Leyla Lobo, ilustradora Paula Watson","R$31,00","15,50"
FESTAS: ONDE E COM QUEM FAZER NO RIO,Glaura Pinheiro Rufilo,"R$40,22","20,11"
VENGAS VENGAS / EM TERRA PISANDO,Eduardo Villas e Magda von Brixen,"R$41,40","20,70"
FRUTAS PARA UMA VIDA SAUDAVEL,Regina Richling,"R$39,00","19,50"
CARTOGRAFIAS DO LUTO,Alexandre Marques Cabral,"R$49,90","24,95"
NA FOGUEIRA - MEMORIAS,Joel Silveira,"R$99,30","49,65"
PULSAO E LIBIDO,Jeremias Ferraz,"R$36,90","18,45"
"SOCIEDADE EM NEGOCIAÇÃO, A: INOVAÇÕES TECNOLÓGICAS",Rogerio Dardeau de Carvalho,"R$42,50","21,25"
ESTUDOS SOBRE AS FORMAS CONTEMPORÂNEAS...,Ricardo Rezende Figueira et alii,"R$99,00","49,50"
PARA QUEM TEM FOME DE BELEZA,Edson Fernando de Almeida,"R$27,36","13,68"
"PEDRA, PLANTA, BICHO, GENTE...COISAS","Fátima Branquinho, et alii","R$49,00","24,50"
