ISBN,DESCRIÇÃO,$ UNIT.,PREÇO USP
9788599977446,80 QUESTOES COMENTADAS EM GASTROENTEROLOGIA   TOPI,"297,00","148,5"
9788599977880,AVALIACAO DO CONSUMO ALIMENTAR   RECURSOS TEORICOS,"104,00",52
9788599977668,BIOQUIMICA                                      01,"250,00",125
9788583690153,CARDIOLOGIA   DIAGNOSTICO E TRATAMENTO,"479,00","239,5"
9788583690238,CASOS CLINICOS COMENTADOS,"396,00",198
9788583690030,CAUSAS DE...  DIAGNOSTICO DIFERENCIAL,"210,00",105
9788599977538,COMPENDIO DE NEUROLOGIA INFANTIL,"628,00",314
9788599977729,DERMATOLOGIA - DO NASCER AO ENVELHECER,"417,00","208,5"
9788583690061,DERMATOLOGIA ESTETICA,"515,00","257,5"
9788583690139,DERMATOLOGIA TROPICAL,"698,00",349
9788599977514,DOENCAS ENDOCRINAS & GRAVIDEZ,"276,00",138
9788599977743,EMERGENCIAS MEDICAS,"458,00",229
9788583690047,ENDOCRINOLOGIA E DIABETES,"479,00","239,5"
9788583690276,ENDODONTIA - PRINCIPIOS PARA PRATICA CLINICA,"398,00",199
9788583690313,EXCELENCIA PROFISSIONAL - ASB &TSB,"69,00","34,5"
9788583690177,GINECOLOGIA E OBSTETRICIA   ASSISTENCIA PRIMARIA E,"264,00",132
9788583690320,GRUPOS ESPECIAIS   PRESCRICAO DE EXERCICIO FISICO,"152,00",76
9788599977866,HANSENIASE,"505,00","252,5"
9788599977439,MANUAL DE CIRURGIA GINECOLOGICA,"275,00","137,5"
9788599977736,MEDICINA INTERNA DE AMBULATORIO,"522,00",261
9788583690306,OBSTETRICIA   DIAGNOSTICO E TRATAMENTO,"294,00",147
9788583690023,ODONTOLOGIA DO ESPORTE - UMA ABORDAGEM MULTIPROFIS,"196,00",98
9788599977378,"ODONTOLOGIA HOSPITALAR   BUCOMAXILOFACIAL, URGENCI","627,00","313,5"
9788583690221,ONCOPLASTIA E RECONSTRUCAO MAMARIA,"514,00",257
9788583690191,PNEUMOLOGIA PEDIATRICA,"196,00",98
9788583690443,PSICOLOGIA MEDICA   NA PRATICA CLINICA,"152,00",76
9788583690504,TECNOLOGIA RADIOLOGICA,"368,00",184
