Título,Preço de capa,"Preço comdesconto"
"A ideia Lula e o Sentido do Brasil Contemporâneo– Lincoln Secco (org.)",30,15
"Ditadura Relativa e Negacionismos: Brasil, 1964(2016, 2018...) - Marcos Silva",54,27
"É claro que se pode atirar neles - Ulrike Meinhof(tradução e apresentação: Felipe Lacerda)",40,20
"Fascismo ontem e hoje - Julian Rodrigues eFernando Sarti Ferreira (orgs.)",40,20
"Fraude Capitalista e outros escritos - RosaLuxemburgo (tradução e org. Rosa Rosa Gomes)",50,25
Revista Marxista Mouro - n. 05,20,10
Revista Marxista Mouro - n. 06,20,10
Revista Marxista Mouro - n. 07,30,15
Revista Marxista Mouro - n. 08,30,15
Revista Marxista Mouro - n. 10,30,15
Revista Marxista Mouro - n. 11,30,15
Revista Marxista Mouro - n. 12,30,15
Revista Marxista Mouro - n. 13,40,20
