ISBN13,GTIN,"Status dedisponibilidade",Autor,Outros c,Tníttruiblouidores,"Altura (cm)","Largura (cm)","Profundidade (cm)",Peso,Formato,Preço R$,Classificação Thema
9786559100644,9786559100644,Disponível,"Austen, Jane",Inglês Le,"Al F aebrraediira ,d Re oNboerthoanger","18,2",12,"1,4",160,Livro capa dura (hardcov,"r) R$ 49,90",FB - Ficção: geral & literária
9788544001875,9788544001875,Disponível,"Austen, Jane",(Traduto,")A F eArbreaidraia, Rdeo bNeortroth Lanegaler",21,14,"2,1",290,Livro capa dura (hardcov,"r) R$ 69,90",FR - Literatura romântica
9788544000199,9788544000199,Disponível,"Austen, Jane",(Traduto,")A F eArbreaidraia, Rdeo bNeortroth Lanegaler",18,"11,5",1,190,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572328784,9788572328784,Disponível,"Austen, Jane",(Traduto,")A F eArbreaidraia, Rdeo bNeortroth Lanegaler",21,14,2,330,Livro brochura (paperbac,") R$ 59,90",FR - Literatura romântica
9788544002797,9788544002797,Disponível,"Souza Silva, Avani",(Ilustrad,"rA)  CÁrfurzic, aL rileacontada para crianças",14,18,"2,8",320,Livro capa dura (hardcov,"r) R$ 49,90",
9788572329514,9788572329514,Disponível,"Rio, João do",,A alma encantadora das ruas,18,"11,5","1,2",180,Livro brochura (paperbac,") R$ 28,90",DNT - Antologias: geral
9788544002049,9788544002049,Disponível,"Casagrande, Cristina",,A amizade em O senhor dos anéis,21,14,"2,4",390,Livro capa dura (hardcov,"r) R$ 59,90",
9788544001318,9788544001318,Disponível,"Tzu, Sun",(Traduto,")A D aarnteta ds,a M guaersrrealy de Marco M.",21,14,"1,1",260,Livro brochura (paperbac,") R$ 49,90",
9788572329767,9788572329767,Disponível,"Tzu, Sun",(Traduto,")A D aarnteta ds,a M guaersrrealy de Marco M.",18,"11,5",1,180,Livro brochura (paperbac,") R$ 28,90",
9788544002407,9788544002407,Disponível,"S. Goldsmith, Joel",Inglês Br,"Aga  aMrtea gdgei ,m Geldaiutcaira",21,14,"1,2",220,Livro brochura (paperbac,") R$ 49,90",
9786559100514,9786559100514,Disponível,"Souza Silva, Avani",,A Ásia recontada para crianças,14,18,1,124,Livro capa dura (hardcov,"r) R$ 49,90",
9788572325677,9788572325677,Disponível,"Castelo Branco, Camilo",,A brasileira de Prazins,18,"11,5","0,7",140,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788544000298,9788544000298,Disponível,"Ribeiro, Júlio",,A carne,18,"11,5",1,140,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572327855,9788572327855,Disponível,"Macedo, Joaquim Manuel d",,A carteira do meu tio,18,"11,5","0,7",110,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572326094,9788572326094,Disponível,"Queirós, Eça de",,A Cidade e as Serras,18,"11,5","1,1",170,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572327787,9788572327787,Disponível,"Sá-Carneiro, Mário de",,A confissão de Lúcio,18,"11,5","0,7",120,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9786559100910,9786559100910,Disponível,"Dumas Filho, Alexandre",(Traduto,")A D dea Omlaiv deairsa c, aRmegéliinaas Célia",19,12,2,149,Livro capa dura (hardcov,"r) R$ 49,90",FR - Literatura romântica
9788544000168,9788544000168,Disponível,"Dumas Filho, Alexandre",(Traduto,")A O dliavmeiar ad, aRs eCgainmaé Cliéalsia de",18,"11,5","1,3",200,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9786559100156,9786559100156,Disponível,"Alighieri, Dante",(Traduto,")A X daiviienra P cionmheéirdoia, J. P.",23,16,"3,9",410,Livro capa dura (hardcov,"r) R$ 99,90",
9788572328593,9788572328593,Disponível,"Kyokai, Bukkyo Dendo",(Traduto,")A A dnozuati,r iJnoar gde Buda",18,"11,5",1,160,Livro brochura (paperbac,") R$ 28,90",QRF - Budismo
9788572329354,9788572329354,Disponível,"Guimarães, Bernardo",,A escrava Isaura,18,"11,5",1,150,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788544001332,9788544001332,Disponível,"Weber, Max",(Traduto,")A M éotircaae sp,r Moteásrtiaonte e o espírito do ca",ita2li1sm,14,"1,6",360,Livro brochura (paperbac,") R$ 49,90",
9788572329750,9788572329750,Disponível,"Weber, Max",(Traduto,")A M éotircaae sp,r Moteásrtiaonte e o espírito do ca",ita1li8sm,"11,5","1,5",230,Livro brochura (paperbac,") R$ 28,90",
9788544002100,9788544002100,Disponível,"Almeida, Júlia Lopes de",,A falência,18,"11,5",13,170,Livro brochura (paperbac,") R$ 28,90",FBC - Ficção clássica
9786559100149,9786559100149,Disponível,"Orwell, George",(Traduto,")A C faasztielnhdoan ed,o Lse boincahrodso",21,14,"1,6",161,Livro capa dura (hardcov,"r) R$ 49,90",
9788544001189,9788544001189,Disponível,"Mansfield, Katherine",(Traduto,")A E fsetestvae sa,o L aern liitvar eM ea roiua tRraism hoislitórias",23,16,"1,2",350,Livro brochura (paperbac,") R$ 49,90",
9788544001202,9788544001202,Disponível,"Nietzsche, Friedrich",(Traduto,")A L goahibaa cuieêrn,c Iinaês A.",21,14,2,490,Livro brochura (paperbac,") R$ 59,90",QD - Filosofia
9788544002261,9788544002261,Disponível,"Wells, H. G.",Inglês Ca,"Atil hgouneerr, aL deosn amrduondos",21,14,2,350,Livro capa dura (hardcov,"r) R$ 59,90",
9788572329330,9788572329330,Disponível,"Stevenson, Robert Louis",(Traduto,")A R iolhmaa dno ,t eVseoruornoica",18,"11,5","1,2",200,Livro brochura (paperbac,") R$ 28,90",
9786586014525,9786586014525,Disponível,"Verne, Júlio",Francês,"A. C il.h Ra emnaisrtde,r iCoasarla; Francês Janczur,",hr2i1stin,14,"3,9",620,Livro capa dura (hardcov,"r) R$ 99,90",FJ - Literatura de aventuras
9788572329569,9788572329569,Disponível,"Queirós, Eça de",,A ilustre casa de Ramires,18,"11,5","1,4",240,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788544002339,9788544002339,Disponível,"Brontë, Anne",(Traduto,")A P inhqeuiirloin,a S doela Wngieldfell Hall",21,14,"3,5",680,Livro capa dura (hardcov,"r) R$ 99,90",FBC - Ficção clássica
9788544001387,9788544001387,Disponível,"Hawthorne, Nathaniel",(Traduto,")A R laeitgroa reosdcsakryla, tDe iego",21,14,"2,3",310,Livro brochura (paperbac,") R$ 49,90",FB - Ficção: geral & literária
9788544001479,9788544001479,Disponível,"Gallian, Dante",,A literatura como remédio,21,14,"1,1",320,Livro brochura (paperbac,") R$ 59,90",MB - Medicina: generalidades
9788572325370,9788572325370,Disponível,"Macedo, Joaquim Manuel d",,A luneta mágica,18,"11,5","1,2",180,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572327817,9788572327817,Disponível,"Von Ihering, Rudolf",(Traduto,")A V laustcao pnecleol odsi,r eJiotoão de",18,"11,5","0,6",90,Livro brochura (paperbac,") R$ 28,90",
9788572329422,9788572329422,Disponível,"Assis, Machado de",,A mão e a luva,18,"11,5",1,140,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788544001929,9788544001929,Disponível,"Wells, H. G.",(Traduto,")A C masátiqlhuoinnae ,d Lo etoemnaprdoo",21,14,"1,8",230,Livro capa dura (hardcov,"r) R$ 59,90",FB - Ficção: geral & literária
9788572328524,9788572328524,Disponível,"Kafka, Franz",(Traduto,")A G muiemtaamrãoersf,o Tseo r/r Uiemri  artista da fome",/ C1a8rta,"o p1a1i,5","0,7",100,Livro brochura (paperbac,") R$ 28,90",DNT - Antologias: geral
9788572322713,9788572322713,Disponível,"Macedo, Joaquim Manuel d",,A moreninha,18,"11,5",1,140,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788544001776,9788544001776,Disponível,"Tolstói, Leon",(Traduto,")A A mlmoertide ad, eO Ilveagn Ilitch e outras histór",as 21,14,"2,1",310,Livro capa dura (hardcov,"r) R$ 69,90",FB - Ficção: geral & literária
9786559100231,9786559100231,Disponível,"Collins, Wilkie",Inglês Pi,"hAe imrou, lShoerla dneg ebranco",23,16,"3,9",315,Livro capa dura (hardcov,"r) R$ 99,90",FB - Ficção: geral & literária
9788572329545,9788572329545,Disponível,"Balzac, Honoré de",(Traduto,")A V millualsh-eBro daes ,t rHinetrac ualnaonso",18,"11,5",1,160,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572327329,9788572327329,Disponível,"Caminha, Adolfo",,A Normalista,18,"11,5",1,160,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572329859,9788572329859,Disponível,"Darwin, Charles",(Ilustrad,"rA)  Doerilgpehmim d, aGs eetsupliéoc;i e(Ts radutor) Duar","e, C23arl",s16,3,940,Livro capa dura (hardcov,"r) R$ 99,90",PSAJ - Evolution
9788572327732,9788572327732,Disponível,"Alencar, José de",,A pata da gazela,18,"11,5","0,7",120,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572327718,9788572327718,Disponível,"Azevedo, Arthur",,A pele do lobo,18,"11,5","0,9",150,Livro brochura (paperbac,") R$ 28,90",
9786559100903,9786559100903,Disponível,"Bunyan, John",(Traduto,")A D puearreteg,r iAnanna; (Tradutor) Duarte, C",rlo1s6,23,2,214,Livro capa dura (hardcov,"r) R$ 59,90",Q - Filosofia & Religião
9788544002322,9788544002322,Disponível,"Hodgson Burnett, Frances",(Traduto,")A R parminocse, sVinehra Lúcia; (Ilustrador) Br","sil,2 B3ru",a A1ss6is,"1,7",312,Livro brochura (paperbac,") R$ 59,90",FB - Ficção: geral & literária
9788572323444,9788572323444,Disponível,"Queirós, Eça de",,A relíquia,18,"11,5","1,5",190,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572326230,9788572326230,Disponível,"Taunay, Visconde de",,A retirada da Laguna,18,"11,5","1,4",210,Livro brochura (paperbac,") R$ 28,90",NHK - História das Américas
9786586014600,9786586014600,Disponível,"Shakespeare, William",Inglês Ju,"iAo rt rSaagréadivia ,d Ge eHnatiml let, príncipe da Di",am2a1rc,14,"1,7",215,Livro capa dura (hardcov,"r) R$ 69,90",
9788544001714,9788544001714,Disponível,"Shakespeare, William",(Traduto,")A P otrratgoé, dAiald dae Macbeth",21,14,1,270,Livro brochura (paperbac,") R$ 49,90",DD - Peças de teatro
9788572328975,9788572328975,Disponível,"Shakespeare, William",(Traduto,")A P otrratgoé, dAiald dae Macbeth",18,"11,5","0,7",120,Livro brochura (paperbac,") R$ 28,90",
9788544000151,9788544000151,Disponível,"Shakespeare, William",(Traduto,")A B terratginé,d Mia adreil iOsete Rloezende",18,"11,5",1,160,Livro brochura (paperbac,") R$ 28,90",
9788544001660,9788544001660,Disponível,"Shakespeare, William",(Traduto,")A B terratginé,d Mia adreil iOsete Rloezende",21,14,"1,2",260,Livro brochura (paperbac,") R$ 49,90",DD - Peças de teatro
9788544001578,9788544001578,Disponível,"Shakespeare, William",(Traduto,")A S atrraagivéad iJaú dnoio Rr,e Gi Lenetairl",21,14,"1,4",300,Livro brochura (paperbac,") R$ 49,90",DD - Peças de teatro
9788544001790,9788544001790,Disponível,"More, Thomas",(Traduto,")A P oUrttop, iAa lda",21,14,1,270,Livro brochura (paperbac,") R$ 49,90",JP - Política & governo
9788572329583,9788572329583,Disponível,"More, Thomas",(Traduto,")A P oUrttop, iAa lda",18,"11,5","0,7",120,Livro brochura (paperbac,") R$ 28,90",
9788572326681,9788572326681,Disponível,"Junqueiro, Guerra",,A velhice do padre eterno,18,"11,5","0,9",130,Livro brochura (paperbac,") R$ 28,90",DC - Poesia
9788572324571,9788572324571,Disponível,"Alencar, José de",,A viuvinha,18,"11,5",1,140,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572328890,9788572328890,Disponível,"Verne, Júlio",(Traduto,")A R voodlrtiag uaoes m, Munadrioa  eJmos é80 dias",18,"11,5","1,2",160,Livro brochura (paperbac,") R$ 28,90",FL - Ficção científica
9788544001837,9788544001837,Disponível,"Verne, Júlio",(Traduto,")A R voodlrtiag uaoes m, Munadrioa  eJmos é80 dias",21,14,"2,3",390,Livro capa dura (hardcov,"r) R$ 59,90",
9786586014297,9786586014297,Disponível,"Conan Doyle, Arthur",(Traduto,")A L vinoalrtath d, eC Sasheemrloircok Holmes",21,14,"2,7",530,Livro capa dura (hardcov,"r) R$ 49,90",
9788544002902,9788544002902,Disponível,"Brontë, Anne",Inglês Ca,"Atagnnhesir Ga, rPeyaulo Cézar",21,14,"1,6",315,Livro capa dura (hardcov,"r) R$ 69,90",FV - Romance histórico
9788544000397,9788544000397,Disponível,"Brontë, Anne",(Traduto,")A Cgansetsa nGhreeiyra, Paulo Cézar",21,14,"1,5",330,Livro brochura (paperbac,") R$ 59,90",
9788572328098,9788572328098,Disponível,"Rohden, Huberto",,Agostinho,18,"11,5","0,9",150,Livro brochura (paperbac,") R$ 28,90",
9788544001646,9788544001646,Disponível,Eurípides,(Traduto,")A Clcrepstael d/ iH, Cerlacralidas / Hipólito",21,14,"1,2",270,Livro brochura (paperbac,") R$ 49,90",
9788572329484,9788572329484,Disponível,"Nietzsche, Friedrich",(Traduto,")A Dléumar tdeo, Abenmna e;  (dTor amdaultor) Duarte, C",rlo1s8,"11,5",1,180,Livro brochura (paperbac,") R$ 28,90",QD - Filosofia
9788544000557,9788544000557,Disponível,"Nietzsche, Friedrich",(Traduto,)A Alénmna d Do ubaermte ;e ( Tdora mduatlor) Carlos Du,rte21,14,2,320,Livro brochura (paperbac,") R$ 59,90",QD - Filosofia
9788572329156,9788572329156,Disponível,"Carroll, Lewis",(Ilustrad,"rA) lTiceen naiteral,v Jéosh dno; (eTspraedlhuotor) Leão, Pe",ita1 d8e,"11,5","0,7",140,Livro brochura (paperbac,") R$ 28,90",
9788572329804,9788572329804,Disponível,"Carroll, Lewis",(Ilustrad,"rA) lTiceen nioe lP, aJíosh dna; s( TMradrauvtoilrh)a Mseira,",árc1ia8 F,"riot1ti1,5","0,8",120,Livro brochura (paperbac,") R$ 28,90",
9788544000243,9788544000243,Disponível,"Carroll, Lewis",(Ilustrad,"rA) lMicaeg nnoo ,p Saíésr gdiaos;  m(Tarraadvuilthoars) /M Aeliircae,",tráar2vc3éias,oer eios1tpt6ei lho,e o que1 ela enc,ntrou4 p5o0r,Lláivro brochura (paperbac,") R$ 59,90",
9788572327848,9788572327848,Disponível,"Assis, Machado de",,Americanas,18,"11,5","0,6",100,Livro brochura (paperbac,") R$ 28,90",DC - Poesia
9788572323406,9788572323406,Disponível,"Castelo Branco, Camilo",,Amor de perdição,18,"11,5","0,9",140,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572325264,9788572325264,Disponível,"Castelo Branco, Camilo",,Amor de salvação,18,"11,5",1,140,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788544002377,9788544002377,Disponível,"Tolstói, Leon",(Traduto,")A Anlnma eKidaar,ê Onilneag",23,16,4,700,Livro capa dura (hardcov,"rR) $ 129,90",FR - Literatura romântica
9786559100026,9786559100026,Disponível,"Montgomery, L. M.",(Traduto,")A Dnanlele d La uIcl hae, Anna Maria",23,16,"3,1",220,Livro capa dura (hardcov,"r) R$ 79,90",
9786586014396,9786586014396,Disponível,"Montgomery, L. M.",Inglês Da,"lAe nLnuec dhe ,A Avnonnale Ma aria; (Ilustrador) C","uz,2 L3ila",16,"3,2",960,Livro capa dura (hardcov,"r) R$ 79,90",
9786586014716,9786586014716,Disponível,"Montgomery, L. M.",(Traduto,")A Dnanlele d Le uGcrheee, nA Gnnaba lMesaria; (Ilustrad",r) C23ruz,Lila16,"3,2",850,Livro capa dura (hardcov,"r) R$ 79,90",
9788544002278,9788544002278,Disponível,"Montgomery, L. M.",Inglês Da,"lAe nLnuec dhe ,G Arneenna GMaabrlieas",23,16,"3,2",720,Livro capa dura (hardcov,"r) R$ 69,90",
9788544000175,9788544000175,Disponível,Sófocles,(Traduto,")A Rnetíggionona, Sueli Maria de",18,"11,5",1,140,Livro brochura (paperbac,") R$ 28,90",DD - Peças de teatro
9788544000342,9788544000342,Disponível,"Espanca, Florbela",,Antologia poética de Florbela Espan,a21,14,2,430,Livro capa dura (hardcov,"r) R$ 59,90","DC - Poesia, DC - Poesia"
9788544001127,9788544001127,Disponível,Platão,(Traduto,")A Rpeogloingoia,  Sduee Slió Mcrartieas de; (Tradutor)","ilv1a8, M","ria1 A1,p5ar","cida d0e ,O6 liveir",120,Livro brochura (paperbac,") R$ 28,90",QDHA - Filosofia antiga
9788572324670,9788572324670,Disponível,Platão,(Traduto,")A Rpeogloingoia,  Sduee Slió Mcrartieas de",18,"11,5","0,5",90,Livro brochura (paperbac,") R$ 28,90",QD - Filosofia
9788544001431,9788544001431,Disponível,Platão,(Traduto,")A Rpeogloingoia,  Sduee Slió Mcrartieas de; (Tradutor)","ilv2a1, M",ria 1A4par,"cida d1e ,O3 liveir",320,Livro brochura (paperbac,") R$ 49,90",QDHA - Filosofia antiga
9786559100200,9786559100200,Disponível,"Leblanc, Maurice",(Traduto,")A Lrisnèanreth L, uCpaisnemiro",21,14,"1,4",220,Livro capa dura (hardcov,"r) R$ 49,90",
9786559100873,9786559100873,Disponível,"Leblanc, Maurice",(Traduto,")A Arslmèneei dLau, pOinle cgontra Herlock Sholm",s21,14,"1,4",160,Livro capa dura (hardcov,"r) R$ 49,90",FB - Ficção: geral & literária
9788572329385,9788572329385,Disponível,"Twain, Mark",(Traduto,")A Pso arvtoe,n Atulrdaas de Huckleberry Finn",18,"11,5","1,5",300,Livro brochura (paperbac,") R$ 44,90",FR - Literatura romântica
9788572329699,9788572329699,Disponível,"Collodi, Carlo",(Traduto,")A Bse acvke, nLtuedraas de Pinóquio",18,"11,5",1,140,Livro brochura (paperbac,") R$ 28,90",
9788572329835,9788572329835,Disponível,"Collodi, Carlo",(Ilustrad,"rA) sM aavgenotu, rSaésr gdieo P; i(nTórqaduuiotor) Beck, L",da23,16,2,420,Livro brochura (paperbac,") R$ 59,90",
9788572329606,9788572329606,Disponível,"Pyle, Howard",(Ilustrad,"rA) sM aavgenotu, rSaésr gdieo R; (oTbriand Hutooord) Martins",Lu2i3s F,rnan1d6o,2,480,Livro brochura (paperbac,") R$ 59,90",
9786586014327,9786586014327,Disponível,"Conan Doyle, Arthur",(Traduto,")A Lsi naavretnht,u Cras edme iSroherlock Holmes",21,14,"2,5",510,Livro capa dura (hardcov,"r) R$ 49,90",FB - Ficção: geral & literária
