"FESTA VIRTUALDO LIVRO DA USP 2021Lista de títulos",,,
TÍTULO,AUTOR(A),"PREÇODE CAPA","PREÇOCOM DESCONTO"
13 POEMINHAS E 1 HAIKAI,Rogério Rodrigues,"R$ 25,00","R$ 12,50"
25 BOLEROS ENTRE SAMBAS,Waldemar Euzébio Pereira,"R$ 50,00","R$ 25,00"
A ABELINHA DIABÉTICA,Cida Chaves,"R$ 30,00","R$ 15,00"
A BELA ADORMECIDA DO SAMBA,Sonia Rosa,"R$ 35,00","R$ 17,50"
A BOLA DO MUNDO É NOSSA,Fabiano Moraes,"R$ 45,00","R$ 22,50"
A CIDADE QUE NAO QUERIA O TREM,Júlio Emílio Braz,"R$ 25,00","R$ 12,50"
A COR AUSENTE,Wilma de Nazaré Baía Coelho,"R$ 45,00","R$ 22,50"
A COR DAS PALAVRAS,Denise Ziviani,"R$ 45,00","R$ 22,50"
A COSTUREIRA (COLECAO QUERO SER),Hila Flávia,"R$ 15,00","R$ 7,50"
A COZINHEIRA (COLECAO QUERO SER),Hila Flávia,"R$ 15,00","R$ 7,50"
A ERA DOS ERÊS,Adriano Bitarães,"R$ 40,00","R$ 20,00"
A ESCOLA PRIMÁRIA NOTURNA EM MINAS GERAIS,Vera Lúcia Nogueira,"R$ 40,00","R$ 20,00"
À FLOR DA PELE: HISTÓRIAS DOS MUNDOS POR ONDE ANDEI,Maria de Lourdes Siqueira,"R$ 40,00","R$ 20,00"
A FUZARCA DE NOÉ,Ronaldo Simões Coelho,"R$ 25,00","R$ 12,50"
A GINGA DA RAINHA,Íris Amâncio,"R$ 25,00","R$ 12,50"
A MÁGICA DA MÚSICA: INTRODUÇÃO AO ENSINO MUSICAL,Jorge Fernando dos Santos,"R$ 40,00","R$ 20,00"
A MOLEZA DA LESMA,Olegário Alfredo,"R$ 15,00","R$ 7,50"
A NETA DE ANITA,Anderson Oliveira,"R$ 45,00","R$ 22,50"
A NORA E OUTROS NÃO BICHOS,Edimilson de Almeida Pereira,"R$ 30,00","R$ 15,00"
A PRINCESA E O VENTO,Martha Rodrigues,"R$ 30,00","R$ 15,00"
A QUALIDADE DA ESCOLA PÚBLICA NO BRASIL,Marcus Aurélio Taborda; Fabiana Silva; Luciano Mendes...,"R$ 40,00","R$ 20,00"
A SABIÁ QUE QUERIA SER FELIZ,Leida Lusmar,"R$ 25,00","R$ 12,50"
A SEMENTINHA QUE NÃO QUERIA BROTAR,Maria de Jesus Fortuna Lima,"R$ 30,00","R$ 15,00"
