Título,Nome Autor 1,Preço,Desconto
A CICATRIZ QUE CANTA O INCÊNDIO DA RAIZ,BRUNO GAUDÊNCIO,"R$       35,00","R$       17,50"
A CIDADE DO VENTO,WILLIAM SOARES DOS,"R$       50,00","R$       25,00"
A MULHER FAMINTA,TSIAANGTOO SGERMANO,"R$       42,00","R$       21,00"
A SUBTRAÇÃO,ALIA TRABUCO ZERAN,"R$       60,00","R$       30,00"
A ÚLTIMA ROSA DO VERÃO,LETÍCIA COPATTI,"R$       38,00","R$       19,00"
AINDA ANCORA O INFINITO,DROOBGEERNTSAK ITOSTES DANIEL,"R$       38,00","R$       19,00"
ANTIGAMENTE ERA MELHOR,THIAGO LIA FOOK MEIRA,"R$       36,00","R$       18,00"
ANTOLOGIA DE CONTOS LITERATURABR,NBRAATHGAAN MATOS,"R$       30,00","R$       15,00"
ANTONIN ARTAUD: INSOLÊNCIAS,FAGNER FRANÇA,"R$       75,00","R$       32,50"
"AO NORTE, AO CHÃO",LAÍS FERREIRA,"R$       35,00","R$       17,50"
ARARUAMA,IAN FRASER,"R$       55,00","R$       27,50"
ARARUAMA - O LIVRO DAS RAIZES - V.2,IAN FRASER,"R$       45,00","R$       22,50"
AS BALEIAS DO SANGUENAY,JOÃO BATISTA MELO,"R$       40,00","R$       20,00"
ASCENSAO E QUEDA,JOSEFINE KLOUGART,"R$       50,00","R$       25,00"
AVENIDAS DA ALMA,JÚLIO ARAÚJO,"R$       35,00","R$       17,50"
BALEIA MORTA E OUTRAS FORMAS,GABRIEL FRAGOSO,"R$       50,00","R$       25,00"
BAMBUZAL,RAFAEL F. CARVALHO,"R$       30,00","R$       15,00"
BELAS ARTES,LUIS SAGASTI,"R$       45,00","R$       22,50"
BETO BOLA BETO BALA,PEDRO SALGUEIRO,"R$       40,00","R$       20,00"
BIENVENIDOS,SUSANA BERBERT,"R$       38,00","R$       19,00"
BOLA DE FENO,CARINA SEDEVICH,"R$       35,00","R$       17,50"
CADA FORMA DE AUSÊNCIA É O RETRATO DE UMA SOLIDÃO,MARCO SEVERO,"R$       38,00","R$       19,00"
CADA TEMPO TEM A TRAGÉDIA QUE MERECE,THIAGO MARTINS,"R$       38,00","R$       19,00"
CADERNO DE ENTOMOLOGIA,HUMBERTO BALLESTEROS,"R$       45,00","R$       22,50"
"CEM ANOS DE AMOR, LOUCURA & MORTE",BRUNO RIBEIRO,"R$       35,00","R$       17,50"
CESTOS DE TRANCAS,NATALIA LITVNOVA,"R$       38,00","R$       19,00"
CHAPEUZINHO VERMELHO,JOEL POMMERAT,"R$       35,00","R$       17,50"
CICLO DO CAVALO,ANTÓNIO RAMOS ROSA,"R$       35,00","R$       17,50"
CIDADE MANEQUIM,André Cúnico Volpato,"R$       45,00","R$       22,50"
COISAS QUE ACONTECEM SE VOCÊ ESTIVER VIVO,MARCO SEVERO,"R$       35,00","R$       17,50"
COLERA,JONATHAN TAVARES,"R$       50,00","R$       25,00"
COMEMADRE,ROQUE LARRAQUY,"R$       50,00","R$       25,00"
COMO E PORQUE SOU ROMANCISTA,JOSÉ DE ALENCAR,"R$       30,00","R$       15,00"
CONSERTOS DE OFICINA,CLAUDIA GELB,"R$       32,00","R$       16,00"
CONVERSA DE JARDIM,MARIA VALÉRIA REZENDE,"R$       40,00","R$       20,00"
CORRESPONDÊNCIA COM JACQUES RIVIÈRE,ANTONIN ARTAUD,"R$       50,00","R$       25,00"
COTIDIANO,MARIANA TRAVACIO,"R$       45,00","R$       22,50"
DA PRAÇA DA IGREJA ACHO QUE NEM DEUS VÊ O MAR,DIOGO BRUNNER,"R$       38,00","R$       19,00"
DAMAS DA LUA,JOKHA ALHARTHI,"R$       65,00","R$       32,50"
DE ONDE ESTOU JA FUI EMBORA,ALEXANDRE LANDIM,"R$       35,00","R$       17,50"
DEPOIS DAQUELE DIA,MARINA MENDES DE MATOS,"R$       36,00","R$       18,00"
DIÁLOGOS ENTRE POETAS ELIO VITTORINI E JOÃO CABRAL DE,CSIALRVLAOS ALBERTO DE,"R$       38,00","R$       19,00"
DMIESLPOE NRSEATOO E INDICIOS DE OIRO,SMOAURZIAO DE SÁ CARNEIRO,"R$       38,00","R$       19,00"
DOCE AZEDO AMARO,THEO G. ALVES,"R$       38,00","R$       19,00"
E NO PRINCIPIO ELA VEIO,BRUNO DE CASTRO,"R$       40,00","R$       20,00"
ELIAS PORTOLU,GRAZIA DELEDDA,"R$       65,00","R$       32,50"
FORMAS DE LER,TERESA CRISTINA,"R$       50,00","R$       25,00"
GIRASSÓIS MADUROS,LCÉEOR DPERIURDAÊNCIO,"R$       35,00","R$       17,50"
IMPOSSÍVEL SAIR DA TERRA,ALEJANDRA COSTAMAGNA,"R$       48,00","R$       24,00"
JAZIGO,GABRIEL MOCELLIN,"R$       32,00","R$       16,00"
JAZZ PARA RINOCERONTES,PAULO MONTEIRO,"R$       35,00","R$       17,50"
JOSÉ SARAMAGO ENTRE A HISTÓRIA E A FICÇÃO: UMA SAGA DE,TERESA CRISTINA,"R$       60,00","R$       30,00"
PJUODRATSU GNUOE PSAEISOL,CCEURPDEREITRINAO FREITAS,"R$       38,00","R$       19,00"
KRAMP,MARIA JOSE FERRADA,"R$       45,00","R$       22,50"
LITERATURA E SOCIEDADE,VARIOS AUTORES,"R$       60,00","R$       30,00"
LITERATURA INFANTIL E JUVENIL,MARTA PASSOS E JESSICA,"R$       45,00","R$       22,50"
"LIVRO DAS MAOS, O",GTOISLEELNAT IRNAOMOS ROSA,"R$       38,00","R$       19,00"
LIVRO: EDIÇÃO E TECNOLOGIAS NO SÉCULO XXI,ANA ELISA RIBEIRO,"R$       38,00","R$       19,00"
LOGOPEIA,TÚLIO CECI VILLAÇA,"R$       30,00","R$       15,00"
LUSTRE DE CARNE,RENATA FLÁVIA,"R$       35,00","R$       17,50"
MANUAL DE SOBREVIVÊNCIA DO REVISOR INICIANTE,CAROLINA MACHADO,"R$       49,90","R$       24,95"
MAR DE VIRAÇÃO,LEANDRO DURAZZO,"R$       38,00","R$       19,00"
MAR GRAVE,RENATA FLÁVIA,"R$       30,00","R$       15,00"
MENINOS E OUTROS DEMONIOS,PEDRO RODRIGUES,"R$       30,00","R$       15,00"
METADE SUBMERSA,HSAELLGENUAEI MROONZANI,"R$       42,00","R$       21,00"
MIRAGEM,SORAYA MADEIRO,"R$       35,00","R$       17,50"
MUSA FUGIDIA,EDSON CRUZ,"R$       38,00","R$       19,00"
NÃO DITOS POPULARES,Rodrigo Bedritichuk,"R$       38,00","R$       19,00"
