Um ano sobre o altiplano,Emílio Lussu,"R$  36,00",R$,"18,00"
Memórias de um ofical de infantaria,Sigfried Sassoon,"R$  42,00",R$,"21,00"
O súdito,Heinrich Mann,"R$  54,00",R$,"27,00"
O fogo,Henri Barbusse,"R$  48,00",R$,"24,00"
Uma juventude na Alemanha,Ernst Toller,"R$  40,00",R$,"20,00"
Montaigne,Stefan Zweig,"R$  36,00",R$,"18,00"
São Francisco de Assis,G.K. Chesterton,"R$  36,00",R$,"18,00"
Espaço e tempo na física,,,,
contemporânea,Moritz Schlick,"R$  30,00",R$,"15,00"
O Senhor Presidente,Miguel Ángel Asturias,"R$  58,00",R$,"29,00"
Montevideanos,Mario Benedetti,"R$  48,00",R$,"24,00"
Futebol à Esquerda,Quique Peinado,"R$  56,00",R$,"28,00"
Andaimes,Mario Benedetti,"R$  52,00",R$,"26,00"
Judeus em exílio,Joseph Roth,"R$  42,00",R$,"21,00"
"","M. Carvalho, J.C.Cuter,",,,
"","B.Prado Neto, M.",,,
"Fenomenologia, análise e gramática",Engelmann,"R$  44,00",R$,"22,00"
O País da Canela,William Ospina,"R$  54,00",R$,"27,00"
Luto,Eduardo Halfon,"R$  44,00",R$,"22,00"
Nostalgia,Mircea Cartarescu,"R$  68,00",R$,"34,00"
Schopenhauer como educador,Friedrich Nietzsche,"R$  38,00",R$,"19,00"
Marcha de Radetzky,Joseph Roth,"R$  58,00",R$,"24,00"
"Querido Diego, sua Quiela",Elena Poniatowska,"R$  40,00",R$,"20,00"
"",Emmanuel Bove/Albert,,,
A armadilha,Camus,"R$  52,00",R$,"26,00"
Não aceite caramelos de estranhos,Andrea Jeftanovic,"R$  48,00",R$,"24,00"
Confissão de um assassino,Joseph Roth,"R$  48,00",R$,"24,00"
Temporada de furacões,Fernanda Melchor,"R$  58,00",R$,"29,00"
Fernando Pessoa & Cia. não,,,,
heterônima,vários,"R$  62,00",R$,"31,00"
