Ttitulo,Autor,Preço de capa,Desconto,Valor final
A missão,Heiner Müller,"R$ 38,00",50,"R$ 19,00"
Afrotopia,Felwine Sarr,"R$ 69,00",50,"R$ 34,50"
Aos nossos amigos,Comitê Invisível,"R$ 38,00",50,"R$ 19,00"
Cartas e outros textos,Gilles Deleuze,"R$ 68,00",50,"R$ 34,00"
Des-Habitat,Paulo Tavares,"R$ 70,00",50,"R$ 35,00"
Espaço Coruja,Pâmela Passos; Amanda Mendonça,"R$ 20,00",50,"R$ 10,00"
Fabulações do corpo japonês,Christine Greiner,"R$ 42,00",50,"R$ 21,00"
Nietzsche e a filosofia,Gilles Deleuze,"R$ 65,00",50,"R$ 32,50"
Teoria King Kong,Virginie Despentes,"R$ 42,00",50,"R$ 21,00"
Um piano nas barricadas (N-1 edições),Marcello Tarì,"R$ 65,00",50,"R$ 32,50"
A Experiência Zapatista,Jerôme Baschet,"R$ 100,00",50,"R$ 50,00"
Cinco dias em março,Toshiki Okada,"R$ 30,00",50,"R$ 15,00"
Contribuição para a guerra em curso,Tiqqun,"R$ 55,00",50,"R$ 27,50"
"Deleuze, os movimentos aberrantes",David Lapoujade,"R$ 60,00",50,"R$ 30,00"
Devires totêmicos,Barbara Glowczewski,"R$ 86,00",50,"R$ 43,00"
Ensaios do assombro,Peter Pál Pelbart,"R$ 70,00",50,"R$ 35,00"
Fernando Pessoa ou a Metafísica das Sensações,José Gil,"R$ 69,00",50,"R$ 34,50"
Fragmentos de memórias malditas,Cecília Coimbra,"R$ 45,00",50,"R$ 22,50"
Hijikata tatsumi,Kuniichi Uno,"R$ 80,00",50,"R$ 40,00"
Leituras do corpo no Japão,Christine Greiner,"R$ 48,00",50,"R$ 24,00"
Mensagens Revolucionárias,Antonin Artaud,"R$ 60,00",50,"R$ 30,00"
Metafísicas canibais,Eduardo Viveiros de Castro,"R$ 45,00",50,"R$ 22,50"
O aracniano e outros textos,Fernand Deligny,"R$ 50,00",50,"R$ 25,00"
O clarão de Espinosa,Romain Rolland,"R$ 35,00",50,"R$ 17,50"
O universo inacabado,Mario Novello,"R$ 65,00",50,"R$ 32,50"
"Signos, máquinas, subjetividades",Maurizio Lazzarato,"R$ 68,00",50,"R$ 34,00"
"Tempos Modernos: Arte, tempo, política",Jacques Rancière,"R$ 65,00",50,"R$ 32,50"
Uma Baleia na Montanha,Peter Pál Pelbart; Mariana Lacerda,"R$ 87,00",50,"R$ 43,50"
ABEBE - CAIXA PRETAS,Diversos,"R$ 80,00",50,"R$ 40,00"
As máquinas celibatárias,Michel Carrouges; Eduardo Jorge de Oliveira,"R$ 65,00",50,"R$ 32,50"
CAIXA FORA,Diversos,"R$ 85,00",50,"R$ 42,50"
Corpos que importam,Judith Butler,"R$ 98,00",50,"R$ 49,00"
"Deleuze, os movimentos aberrantes",(David Lapoujade,"R$ 60,00",50,"R$ 30,00"
Impressões de Michel Foucault,Roberto Machado,"R$ 50,00",50,"R$ 25,00"
Intoxicações poéticas da carne,Gal Oppido,"R$ 100,00",50,"R$ 50,00"
Leituras do corpo no Japão,Christine Greiner,"R$ 48,00",50,"R$ 24,00"
Nietzsche - O bufão dos deuses,Maria Cristina Franco Ferraz,"R$ 48,00",50,"R$ 24,00"
O enigma da revolta,Michel Foucault,"R$ 50,00",50,"R$ 25,00"
Pandemia Crítica - Inverno 2020 (N-1 Edições) [SOC000000],Diversos,"R$ 85,00",50,"R$ 42,50"
Pandemia Crítica - Outono 2020 (N-1 Edições) [SOC000000],Diversos,"R$ 85,00",50,"R$ 42,50"
"Povo em lágrimas, povo em armas",Georges Didi-Huberman,"R$ 120,00",50,"R$ 60,00"
Pragmatismo pulsional,João Perci Schiavon,"R$ 66,00",50,"R$ 33,00"
Semente de crápula,Fernand Deligny,"R$ 39,90",50,"R$ 19,95"
"A contracultura, entre a curtição e o experimental",Celso Favaretto,"R$ 40,00",50,"R$ 20,00"
ALGO INFIEL,"Flores, Guilherme Gontijo; Gonçalves, Rodrigo Tadeu","R$ 50,00",50,"R$ 25,00"
Agamben,Oswaldo Giacoia Jr,"R$ 66,00",50,"R$ 33,00"
Diferentes modos de existência,Étienne Soriau,"R$ 70,00",50,"R$ 35,00"
Motim e destituição agora,Comitê Invisível,"R$ 40,00",50,"R$ 20,00"
No silêncio que as palavras guardam,Lula Wanderley,"R$ 60,00",50,"R$ 30,00"
Nós somos Pussy Riot Sandideonamiwa,Maria Alyokhina,"R$ 89,90",50,"R$ 44,95"
O aracniano e outros textos,Fernand Deligny,"R$ 50,00",50,"R$ 25,00"
O que os Animais nos Ensinam Sobre Política,Brian Mussumi,"R$ 55,00",50,"R$ 27,50"
Potências do tempo,David Lapoujade,"R$ 50,00",50,"R$ 25,00"
Quando e como eu li Foucault,Antonio Negri,"R$ 50,00",50,"R$ 25,00"
Sociedades do desaparecimento,Jonnefer Barbosa,"R$ 44,00",50,"R$ 22,00"
Spartakus,Furio Jesi,"R$ 55,00",50,"R$ 27,50"
Summa Cosmologiae. Breve tratado (político) de iImortalidade,Fabián Ludueña Romandini,"R$ 62,00",50,"R$ 31,00"
Walter Benjamin: os cacos da história,Jeanne Marie Gagnebin,"R$ 55,00",50,"R$ 27,50"
"William James, a construção da experiência",David Lapoujade,"R$ 48,00",50,"R$ 24,00"
Às voltas com Lautréamont,Laymert Garcia dos Santos,"R$ 45,00",50,"R$ 22,50"
Ética bixa,Paco Vidarte,"R$ 50,00",50,"R$ 25,00"
