LISTA - FEIRA USP 2021
NOME DO LIVRO,AUTOR,"PREÇO DECAPA","DESCONTO50%"
A AMIZADE NO MUNDO CLÁSSICO,David Konstan,"R$ 48,00","R$ 24,00"
A INVENÇÃO DA FILOSOFIA,Néstor Luiz Cordero,"R$ 43,20","R$ 21,60"
A ODISSEIA 4A ED,Menelaos Stephanides,"R$ 36,00","R$ 18,00"
A QUESTÃO DE SÓCRATES: UMA INTRODUÇÃO,Ekkehard Martens,"R$ 48,00","R$ 24,00"
COPÉRNICO  - PIONEIRO DA REVOLUÇÃO ASTRONÔMICA,Ronaldo Rogério de Freitas Mourão,"R$ 36,00","R$ 18,00"
A TERCEIRA GRINALDA,Kostas Taxtsis,"R$ 57,60","R$ 28,80"
APRENDENDO GREGO 2 EDIÇÃO,Joint Association of Classical Teachers,"R$ 200,00","R$ 100,00"
"APRENDENDO LATIM - TEXTOS, VOCABULÁRIOS",Keith C. Sidwell,"R$ 200,00","R$ 100,00"
ARISTÓTELES - TRATADO DA JUSTIÇA,Marco Zingano,"R$ 60,00","R$ 30,00"
ARQUIMEDES 2A. ED,Jeanne Bendick,"R$ 36,00","R$ 18,00"
ATORES GREGOS E ROMANOS,Pat Easterling/Edith Hall,"R$ 81,60","R$ 40,80"
BICHOS DO BRASIL 2 ED,Gabriela Brioschi,"R$ 36,00","R$ 18,00"
CANTANDO AFRODITE: QUATRO POEMAS HELENOS,Ordep Serra,"R$ 84,00","R$ 42,00"
CAPOEIRA,Marcos Santos Mourão,"R$ 26,40","R$ 13,20"
CICLISMO,Luiz Henrique Rodrigues,"R$ 26,40","R$ 13,20"
COLEÇÃO MITOLOGIA GREGA - BOX COM 8 LIVROS,Menelaos Stephanides,"R$ 288,00","R$ 144,00"
CONTOS JATAKA,Noor Inayat Khan,"R$ 33,60","R$ 16,80"
CORRIDAS - ATLETISMO I,Sara Quenzer Matthiesen,"R$ 26,40","R$ 13,20"
"DARWIN, 2 ED REVISTA E AMPLIADA",Nélio Bizzo,"R$ 36,00","R$ 18,00"
DEUSES DO OLIMPO INFANTIL-CAPA DURA,Gabriela Brioschi,"R$ 48,00","R$ 24,00"
DIÓGENES O CÍNICO,Luiz E. Navia,"R$ 52,80","R$ 26,40"
DR LIX CONTRA O TERRÍVEL MONSTRO DO LIXO,Gabriela Brioschi,"R$ 26,40","R$ 13,20"
ÉDIPO 4 EDIÇÃO,Menelaos Stephanides,"R$ 36,00","R$ 18,00"
EINSTEIN 2A. ED,Cássio Leite Vieira,"R$ 36,00","R$ 18,00"
ESCALADA,Dimitri Wuo Pereira,"R$ 26,40","R$ 13,20"
EUCLIDES 2A. ED,Carlos Tomei,"R$ 36,00","R$ 18,00"
FARADAY MAXWELL,Frederico Firmo de S. Cruz,"R$ 36,00","R$ 18,00"
FEYNMAN & GELL-MANN,Rogério Rosenfeld,"R$ 36,00","R$ 18,00"
FILOCTETES,Fernando B. Santos,"R$ 36,00","R$ 18,00"
FRAGMENTOS DE POESIA ÉPICA E CÔMICA DA GRÉCIA ANTIGA,José Leonardo Souza Buzelli,"R$ 120,00","R$ 60,00"
GINÁSTICA ARTÍSTICA,Myrian Nunomura,"R$ 26,40","R$ 13,20"
GRAMÁTICA GREGA,E. Ragon,"R$ 100,00","R$ 50,00"
HANDEBOL,Jorge Dorfman Knijnik,"R$ 26,40","R$ 13,20"
