Oficina de Textos,"Festa Virtual do Livroda USP 2021",,,
ISBN,Título,Autor,"Preço semdesconto","Preço comdesconto"
9788579751349,82 resumos geológicos,LAURENT EMMANUEL,"87,00","43,50"
8586238333,A nave espacial Noé,TERESA GALLOTTI FLORENZANO,"35,00","10,00"
9788579752131,Agricultura de precisão,JOSÉ PAULO MOLIN,"98,00","49,00"
9788579752865,Alimentos funcionais,DRA. JOCELEM SALGADO,"78,00","39,00"
9788579750908,Avaliação de impacto ambiental ed. 2,LUÍS ENRIQUE SANCHEZ,"169,00","84,50"
9788579751554,Barragens de enrocamento com face de concreto ed.2,PAULO CRUZ,"175,00","87,50"
9788579751769,Biogeografia: dinâmica e transformação da natureza,Adriano S. Figueiró,"99,00","49,50"
9788579752544,Biomas brasileiros,LEOPOLDO MAGNO COUTINHO,"59,00","29,50"
9788579752209,Brasil: que raio de história!,OSMAR PINTO JÚNIOR,"39,00","19,50"
9788579751677,Calibração de sensores orbitais,FLAVIO JORGE PONZONI,"49,00","24,50"
9788586238765,Cartografia básica - nova edição - reimpressão 2010,PAULO ROBERTO FITZ,"62,00","31,00"
9788579752926,Cartografia de paisagens: fundamentos ed. 2,LUCAS COSTA DE SOUZA CAVALCANTI,"44,00","22,00"
9788579750441,Circuitos de correntes alternada,Gilmar Barreto,"79,00","39,50"
9788579750519,Climatologia fácil,ERCÍLIA TORRES STEINKE,"59,00","29,50"
9788586238543,Climatologia: noções básicas e climas do Brasil,FRANCISCO MENDONÇA,"82,00","41,00"
8586238279,Colorindo a história da vida,"LUIZ EDUARDO ANELLI,FÁBIO RAMO","26,00","10,00"
9788579750175,Como arquitetos e designers pensam,BRYAN LAWSON,"107,00","53,50"
9788579753343,Como preparar orçamentos de obras ed. 3,ALDO DÓREA MATTOS,"96,00","48,00"
9788579751547,Cristalografia,RICHARD J.D. TILLEY,"83,00","41,50"
9788586238932,De sol a sol: energia no século XXI,CYLON GONÇALVES DA SILVA,"65,00","26,00"
9788579752612,Desconstruindo o projeto estrutural de edifícios,JOSÉ SERGIO DOS SANTOS,"49,00","24,50"
9788579751943,Dessalinização de águas,ANA PAULA PEREIRA DA SILVEIRA,"86,00","43,00"
8586238252,"Diamante: a pedra, a gema, a lenda",MÁRIO LUIZ DE SÁ CARNEIRO CHAV,"82,00","41,00"
9788579750632,Dicionário de saneamento ambiental,ARIOVALDO NUVOLARI,"94,00","47,00"
8586238473,DNA: e eu com isso?,FRANCISCO MAURO SALZANO,"65,00","26,00"
9788579751608,Drenagem urbana e controle de enchentes ed. 2 - ampliada e atualizad,ALUÍSIO PARDO CANHOLI,"115,00","57,50"
9788579750601,Dutos enterrados aspectos geotécnicos,Benedito Bueno,"78,00","39,00"
9788579751653,Ecossistemas urbanos: principios ecológicos para o ambiente construíd,FREDERICK R. ADLER,"124,00","62,00"
9788579751691,Elementos de fundações em concreto,JOAO CARLOS DE CAMPOS,"169,00","84,50"
9788579751929,Em busca da água,BRIAN RICHTER,"45,00","22,50"
9788579752414,Estabilidade de taludes ed. 2,Denise M S Gerscovich,"74,00","37,00"
9788586238833,Estruturas isostáticas,MARIA CASCÃO FERREIRA DE ALMEIDA,"78,00","39,00"
9788579750267,Evalución de impacto ambiental conceptos y métodos,LUÍS ENRIQUE SANCHEZ,"148,00","74,00"
9788586238697,Evolução dos bichos,"LUIZ EDUARDO ANELLI,FÁBIO RAMO","35,00","10,00"
9788579750052,Física das radiações,EMIKO OKUNO E ELISABETH YOSHIMURA,"124,00","62,00"
9788579750359,Fundações diretas: projeto geotécnico,JOSÉ CARLOS ANGELO CINTRA E NELSON AOKI,"59,00","29,50"
9788579750045,Fundações por estacas,JOSÉ CARLOS ANGELO CINTRA E NELSON AOKI,"59,00","29,50"
9788579750144,Fundações: volume 1 ed. 2,"DIRCEU DE ALENCAR VELLOSO,FRAN","122,00","61,00"
9788579750137,Fundações: volume único,"DIRCEU DE ALENCAR VELLOSO,FRAN","246,00","123,00"
9788579750380,"Genômica e evolução: moléculas, organismos e sociedades",FRANCISCO M SALZANO,"70,00","35,00"
9788579750830,Geologia de engenharia ed. 3,NIVALDO JOSÉ CHIOSSI,"154,00","77,00"
9788586238826,Geoprocessamento sem complicação,PAULO ROBERTO FITZ,"67,00","33,50"
9788579751257,Gerenciamento de resíduos sólidos na construção civil,Andre Nagalli,"60,00","30,00"
9788579753411,Guia da construção civil,Nelson Newton Ferraz,"85,00","42,50"
9788579750496,Guia de nutrição para espécies florestais nativas,MARIA CLAUDIA SORREANO,"78,00","39,00"
9788579751561,Guia de redação para área de geociências ed. 2,PÉRCIO DE MORAES BRANCO,"64,00","32,00"
9788586238994,Ilhas de calor,LISA GARTLAND,"99,00","49,50"
9788579753107,Informática aplicada a estruturas de concreto armado ed. 2,ALIO KIMURA,"128,00","64,00"
9788579750168,Iniciação em sensoriamento remoto ed. 3 - ampliada e atualizada,TERESA GALLOTTI FLORENZANO,"78,00","39,00"
9788586238666,Limnologia,JOSÉ GALIZIA TUNDISI,"269,00","134,50"
9788579751318,Manual básico de engenharia ferroviária,Rui Jose da Silva Nabais,"128,00","64,00"
9788579753145,Manual de avaliações e perícias em imóveis urbanos ed. 5,JOSE FIKER,"68,00","34,00"
9788579753336,Manual de obras rodoviárias e pavimentação urbana ed. 2,Elci Pessoa Júnior,"102,00","51,00"
9788579753268,Manual de redação de laudos ed. 3,JOSE FIKER,"48,00","24,00"
9788579751325,"Mapas, gráficos e redes: elabore você mesmo",MARCELLO MARTINELLI,"59,00","29,50"
9788579751806,Mecânica dos solos - vol. 1,MANUEL DE MATOS FERNANDES,"135,00","67,50"
9788579752001,Mecânica dos solos experimental,FAIÇAL MASSAD,"108,00","54,00"
9788579751493,Minas a céu aberto,ADILSON CURI,"76,00","38,00"
9788579750502,Minerais comuns e de importância econômica,SEBASTIÃO DE OLIVEIRA MENEZES,"49,00","24,50"
9788579752704,Mistura espectral,YOSIO,"59,00","29,50"
9788586238888,Modelagem ecológica em ecossistemas aquáticos,CARLOS RUBERTO FRAGOSO JR.,"89,00","44,50"
9788586238802,Nina na mata Atlântica,NINA NAZARIO,"31,00","10,00"
9788579750281,O quarto paradigma: descobertas científicas na era e-science,TONY HEY,"72,00","28,80"
9788586238970,Obras de terra ed. 2,FAIÇAL MASSAD,"86,00","43,00"
9788579750182,Óptica,JAIME FREJLICH,"93,00","46,50"
9788579751837,Patologia das fundações ed. 2,JARBAS MILITITSKY,"98,00","49,00"
9788579753398,Patologia de estruturas,"Fabricio Loghi Bolina, Bernardo Fonseca Tutikia",",124,00","62,00"
9788579753046,Patologia em alvenarias - ed. 2,CRISTIANA FURLAN CAPORRINO,"49,00","24,50"
