ISBN,"Preço Tabela (deacordo com a moeda)ex.: 29.90","Número depáginas",Titulo
9788588777880,"R$ 70,00",192,Dona Josefa
"",,,
9788588777705,"R$ 56,00",192,Anel de vidro
"",,,
9788588777828,"R$ 190,00",800,Formação da literatura brasileira
"",,,
9788588777538,"R$ 66,00",272,Vários escritos
"",,,
9788588777613,"R$ 54,00",204,Literatura e sociedade
"",,,
9788588777507,"R$ 51,00",160,Tese e antítese
"",,,
9788588777439,"R$ 66,00",264,A educação pela noite
"",,,
9788588777446,"R$ 43,00",112,Brigada ligeira
"",,,
9788588777514,"R$ 48,00",152,Ficção e confissão
"",,,
9788588777637,"R$ 40,00",136,Iniciação a literatura brasileira
"",,,
9788588777392,"R$ 58,00",216,O albatroz e o chinês
"",,,
9788588777644,"R$ 64,00",288,O discurso e a cidade
"",,,
8588777142,"R$ 58,00",256,O método crítico de Silvio Romero
"",,,
9788588777262,"R$ 47,00",120,O observador literário
"",,,
9788588777651,"R$ 73,00",336,Os parceiros do Rio Bonito
"",,,
9788588777231,"R$ 62,00",160,Teresina
"",,,
9788588777217,"R$ 58,00",196,Um funcionário da monarquia
"",,,
9788588777804,"R$ 52,00",150,Na sala de aula
"",,,
9788588777835,"R$ 65,00",232,Conversa cortada
"",,,
9788588777279,"R$ 66,00",276,"Paraty, a cidade e as festas"
"",,,
9788588777811,"R$ 72,00",300,Desclassificados do ouro
"",,,
9788588777583,"R$ 62,00",264,A palavra afiada
"",,,
9788588777248,"R$ 56,00",252,Gilda a paixão pela forma
"",,,
9788588777590,"R$ 78,00",344,Introdução ao pensamento político de Maquiavel
"",,,
9788588777552,"R$ 59,00",236,Mina R
"",,,
9788588777668,"R$ 68,00",288,"O pai, a mãe e a filha"
"",,,
9788588777798,"R$ 56,00",220,De tudo um pouco
"",,,
9788588777521,"R$ 51,00",160,O palhaço
"",,,
9788588777378,"R$ 55,00",174,Raimundo Lopes: dois estudos resgatados
"",,,
8588777037,"R$ 162,00",216,Um funcionário da monarquia (ilustrado)
"",,,
9788588777453,"R$ 132,00",256,Cartas de um piloto de caça
"",,,
9788588777293,"R$ 100,00",128,Empréstimo de ouro
"",,,
9788588777309,"R$ 129,00",424,Pio & Mário
"",,,
8588777026,"R$ 120,00",216,Um outro olhar
"",,,
8588777026,"R$ 120,00",216,Another look
"",,,
9788588777842,"R$ 195,00",420 / 492,Volta ao poder / Box com volumes 1 e 2
"",,,
9788588777903,"R$ 126,00",312,A Fomação de Antonio Candido - Uma biografia ilustrada
