Titulo,Autor,"Preço decapa","Preço comdesconto"
A COISA MAIS PRECIOSA DA VIDA,SHUNDÔ AOYAMA,39.00,19.50
AMAR E BRINCAR - FUNDAMENTOS ESQUECIDOS DO HUMANO,HUMBERTO R. MATURANA E GERDA V. ZOLLER,62.00,31.00
"AMKOULLEL, O MENINO FULA","HAMPÂTÉ BÂ,AMADOU",54.00,27.00
AMO VOCE SENDO QUEM SOU,MARSHALL ROSENBERG,29.00,14.50
"ARVORE DO CONHECIMENTO, A",HUMBERTO R. MATURANA,65.00,32.50
AUTOBIOGRAFIA MINHA VIDA E MINHAS EXPERIENCIAS COM,"GANDHI,MOHANDAS K.",63.00,31.50
"CALICE E A ESPADA, O","EISLER,RIANE",56.00,28.00
CIENCIA DA COMPAIXAO,"DEMARZO, CAMPAYO, I MARTI",56.00,28.00
COMPAIXAO OU COMPETICAO,"DALAI LAMA, SUA SANTIDADE",39.00,19.50
CONFERENCIAS DE GRUPOS FAMILIARES,"ZEHR,HOWARD",39.00,19.50
"CONQUISTA PSICOLOGICA DO MAL, A",HEINRICH ZIMMER,39.00,19.50
CONSTRUCAO ESTRATEGICA DA PAZ,LISA SCHIRCH,39.00,19.50
"CORACAO DA FILOSOFIA, O",JACOB NEEDLEMAN,35.00,17.50
CORACAO DA TRANSFORMACAO SOCIAL,MARSHALL ROSENBERG,28.00,14.00
CRIAR FILHOS COMPASSIVAMENTE,MARSHALL ROSENBERG,20.00,10.00
CULTIVANDO A MENTE DE AMOR,THICH NHAT HANH,29.00,14.50
"CURA DO TRAUMA, A",CAROLYN YODER,39.00,19.50
"DESAFIO DA COMUNICACAO, O - CAMINHOS E PERSPECTIVA",MAURO MAUDONATO,39.00,19.50
DEUSAS OS MISTERIOS DO DIVINO FEMININO,"CAMPBELL,JOSEPH",65.00,32.50
DIALOGO - COMUNICACAO E REDES E CONVIVENCIA,"BOHN,DAVID",52.00,26.00
DIALOGO PARA ASSUNTOS DIFICEIS,LISA SCHIRCH / DAVID CAMPT,39.00,19.50
DIALOGO SOBRE A NATUREZA HUMANA,BORIS CYRULNICK,37.00,18.50
DIALOGOS DOS MORTOS,HENRIQUE G. MURACHCO,35.00,17.50
DISCIPLINA RESTAURATIVA PARA ESCOLAS,"MULLET,JUDY H. & AMSTUTZ,LORRAINE S.",39.00,19.50
EDUCAR PARA PAZ EM TEMPOS DIFICEIS,"JARES,XESUS R.",41.00,20.50
EM DEFESA DOS ANIMAIS - DIREITOS DA VIDA,"RICARD,MATTHIEU",58.00,29.00
ENCONTROS VITIMA-OFENSOR,LORRAINE STUTZAMSTUTZ,39.00,19.50
ESPIRITUALIDADE PRATICA,MARSHALL ROSENBERG,29.00,14.50
FELICIDADE - A PRATICA DO BEM ESTAR,"RICARD,MATTHIEU",61.00,30.50
FILOSOFIAS DA INDIA,HEINRICH ZIMMER,67.00,33.50
"FOLHAS CAEM SUAVEMENTE, AS",SUSAN BAUER WU,39.00,19.50
FRATERNIDADE,EDGAR MORIN,28.00,14.00
"GANDHI - PODER, PARCERIA E RESISTENCIA",RAVINDRA VARMA,29.00,14.50
"GRINALDA PRECIOSA, A",NAGARJUNA,30.00,15.00
