PALLAS EDITORA,"LISTA DE LIVROSFesta Virtual do Livroda USP 2021",,
Título,Autor,Preço Capa,Preço Evento
3333 PONTOS RISCADOS E CANTADOS (vol. 1),Coletânea,"R$             40,00","R$             20,00"
3333 PONTOS RISCADOS E CANTADOS (vol. 2),Coletânea,"R$             36,00","R$             18,00"
666 EBÓS DE ODU PARA TODOS OS FINS,Adilson de Oxalá,"R$             53,00","R$             26,50"
"A BUSCA DA ÁFRICA NO CANDOMBLÉ, A",Stefania Capone,"R$             68,00","R$             34,00"
AÇÃO AFIRMATIVA EM QUESTÃO,Angela Randolpho Paiva (org.),"R$             68,00","R$             34,00"
ACONTECEU NA ESCOLA,Sandra Pina e Anna Claudia Ra,"Ro$s             41,00","R$             20,50"
ALGUM LUGAR PARA CAIR E FECHAR OS OLHOS D,R VAEPZHAEL VIDAL,"R  $               27,00","R$             13,50"
AMARGOS COMO OS FRUTOS,Paula Tavares,"R$             51,00","R$             25,50"
ANTROPOLOGIA DOS ORIXAS: A CIVILIZAÇÃO IOR,IVBAN POLI,"R$             49,00","R$             24,50"
ARTURO,Ninamasina,"R$             32,00","R$             16,00"
"ASSOBIADOR, O",Ondjaki,"R$             36,00","R$             18,00"
"AVÔ É UM TATA, MEU",Janaína de Figueiredo,"R$             42,00","R$             21,00"
BANHOS DE DESCARGA,Ariomar Lacerda,"R$             28,00","R$             14,00"
BANHOS PODEROS PARA GRANDES CONQUISTAS,Odé Kileuy e Vera de Oxaguiã,"R$             41,00","R$             20,50"
"BANQUETES PARA EXU, POMBAGIRA E O MESTRE",OZÉd éP EKLiIlNeuTyR Ae Vera de Oxaguiã,"R$             44,00","R$             22,00"
BARALHO DA VOVÓ CIGANA,Tamina Thor,"R$             49,00","R$             24,50"
BECOS DA MEMÓRIA,Conceição Evaristo,"R$             39,00","R$             19,50"
"BICICLETA QUE TINHA BIGODES, A",Ondjaki,"R$             33,00","R$             16,50"
"BIGODE DO LEÃO, O",Jean-Jacques Fdida,"R$             43,00","R$             21,50"
BRASIL: um país de negros?,Jeferson Bacelar e Carlos Caro,"oR ($o r  g  s  . )     54,00","R$             27,00"
"BREVIÁRIO DE MAGIA, ENCANTOS E FEITIÇOS",Paschoal de Freitas,"R$             27,00","R$             13,50"
BRUNA E A GALINHA D’ANGOLA,Gercilga de Almeida,"R$             32,00","R$             16,00"
"BRUXA DE ÉVORA, A",Maria Helena Farelli,"R$             34,00","R$             17,00"
"CABELO DE CORA, O",Ana Zarco Câmara,"R$            37,00","R$             18,50"
"CACHOEIRA DE PAULO AFONSO, A",Castro Alves/André Diniz (ada,"tRa$çã  o   )        32,00","R$             16,00"
CACHORRO VELHO,Teresa Cárdenas,"R$            30,00","R$             15,00"
CADERNO DE RIMAS DO JOÃO,Lázaro Ramos,"R$            37,00","R$             18,50"
CADERNO SEM RIMAS DA MARIA,Lázaro Ramos,"R$             37,00","R$             18,50"
CALDEIRÃO DA MAGIA AMAZÔNICA,Suely Cals,"R$             33,00","R$             16,50"
"CAMINHO DA CRUZ, O",Eneida Duarte Gaspar,"R$             28,00","R$             14,00"
CAMINHOS DE ODU,Agenor Miranda Rocha,"R$             51,00","R$             25,50"
"CANDOMBLÉ BEM EXPLICADO, O",Odé Kileuy e Vera de Oxaguiã,"R$             57,00","R$             28,50"
CANDOMBLÉ DE KETO,Babalorixá Ominarê,"R$             27,00","R$             13,50"
CANDOMBLÉ: religião do corpo e da alma,Carlos Eugenio M. de Moura (,"rgR.$)             52,00","R$             26,00"
Cantigas DE UMBANDA E CANDOMBLÉ (volume ú,Cicoole)tânea,"R$             45,00","R$             22,50"
CAPOEIRA (Coleção Lembranças Africanas),Sonia Rosa,"R$             15,00","R$               7,50"
CAPOEIRA ANGOLA: do iniciante ao mestre,Mestre Bola Sete,"R$             45,00","R$             22,50"
CARTAS PARA A MINHA MÃE,Teresa Cárdenas,"R$             29,00","R$             14,50"
CIDADE CERZIDA,Adair Rocha,"R$             33,00","R$             16,50"
CIGANA SETE SAIAS,Alzira da Cigana da Praia,"R$             28,00","R$             14,00"
CIGANO DO ORIENTE,Alzira da Cigana da Praia,"R$             30,00","R$             15,00"
"CIGANOS DO PASSADO, ESPÍRITOS DO PRESENTE",Ana da Cigana Natasha,"R$             42,00","R$             21,00"
CIRCO DE PULGAS,Manto Costa,"R$             26,00","R$             13,00"
CLAVÍCULA DE SALOMÃO,Irene Liber,"R$            53,00","R$             26,50"
CLEBYNHO: o babalorixá aprendiz,Leandro Muller,"R$             26,00","R$             13,00"
COM QUE CORPO EU VOU?,Joana de Vilhena Novaes,"R$             40,00","R$             20,00"
