Título,Autor,Preço,Preço com desconto
BIZI,Luciano Ubirajara Nassar,"R$19,90","R$                              9,95"
EMPREENDEDORISMO PARA JOVENS,Iússef Zaiden Filho,"R$28,00","R$                            14,00"
"NOS DA ANSIEDADE, OS",Thales Pereira,"R$19,90","R$                              9,95"
ETICA E DEMOCRACIA ECONOMICA,L.M. Luzio-dos-Santos,"R$34,90","R$                            17,45"
RESENHAS DE LIDERANCA,Fabio Martins Romero,"R$29,00","R$                            14,50"
ORTEGA Y GASSET,Gilberto Heleno,"R$34,90","R$                            17,45"
CRITICA A ECONOMIA POLITICA DO DIREITO,Carlos Rivera-Lugo,"R$32,50","R$                            16,25"
SEXUALIDADES E VIOLENCIAS,Sonia Maria Ferreira Koehler,"R$34,00","R$                            17,00"
"QUE DA SENTIDO A SUA VIDA?, O",Canísio Mayer,"R$37,50","R$                            18,75"
"METAFISICA DA PESSOA, A",Wellistony C. Viana,"R$29,90","R$                            14,95"
"ARTE DE GERIR PESSOAS, A",Pe. José Carlos Pereira,"R$26,40","R$                            13,20"
LEIVINHA O CAMISA 8 DE OURO,Luciano Ubirajara Nassar,"R$34,90","R$                            17,45"
ADORNO E O DIREITO,Luiz Ismael Pereira,"R$24,90","R$                            12,45"
DIREITO E POLITICA EM DELEUZE,Lucas Ruíz Balconi,"R$24,90","R$                            12,45"
"IMPERIALISMO, ESTADO E RELACOES INTERNACIONAIS",Luiz Felipe Osório,"R$39,90","R$                            19,95"
"MARXISMO, HUMANISMO E DIREITO",Juliana Paula Magalhães,"R$34,90","R$                            17,45"
TEORIA GERAL DO ESTADO,Camilo Onoda Caldas,"R$29,90","R$                            14,95"
"FILOSOFIA DAS CIENCIAS, A",Dominique Lecourt,"R$34,90","R$                            17,45"
ALTHUSSER E A PSICANALISE,Pascale Gillot,"R$29,90","R$                            14,95"
"ARTE DE SIMPLIFICAR A VIDA, A",Carlos Afonso Schmitt,"R$18,90","R$                              9,45"
UMA VIAGEM PELA FILOSOFIA,Nicholas Rescher,"R$74,90","R$                            37,45"
SEM MEDO DA IMITACAO,Jayme Vita Roso,"R$24,90","R$                            12,45"
ALTHUSSER E O DIREITO,Pedro Davoglio,"R$29,90","R$                            14,95"
MODOS DE PRODUCAO NO BRASIL,Jonathan Erkert,"R$24,90","R$                            12,45"
PROPRIEDADE PRIVADA E DIREITO A MORADIA: UMA CRITICA,Diogo de Calasans Melo Andrade,"R$59,90","R$                            29,95"
PSICOLOGIA: RELACOES COM O CONTEMPORANEO,Cláudia Yaísa Gonçalves da Silva,"R$44,90","R$                            22,45"
"HOSPITALIDADE NA BIBLIA E NAS GRANDES RELIGIOES, A",Félix Tomillo Noguero,"R$24,90","R$                            12,45"
"DESCOBERTA DE SI MESMO, A",Ivanise Fontes,"R$24,90","R$                            12,45"
PSICOLOGIA DA GRAVIDEZ,Maria Tereza Maldonado,"R$34,90","R$                            17,45"
ASTROLOGIA E CRISTIANISMO EM DIALOGO,Luiz Carlos de Carvalho Teixeira de Freitas,"R$24,90","R$                            12,45"
PENSAMENTO SOCIAL BRASILEIRO,Martha D`Angelo,"R$29,90","R$                            14,95"
"PODER DE MUDAR HABITOS, O",Caiene Cassoli,"R$22,90","R$                            11,45"
CONSTRUINDO A FELICIDADE,Maria Tereza Maldonado,"R$24,90","R$                            12,45"
"ALIANCAS INCONSCIENTES, AS",René Kaës,"R$49,90","R$                            24,95"
DIALOGOS EM DIDATICA,Poliana Bruno Zuin (Org.),"R$32,90","R$                            16,45"
"MISTERIO DA SEMENTE, O",Belise Mofeoli,"R$27,90","R$                            13,95"
COACHING PARA ADVOCACIA,Everton Simon Zadikian,"R$23,90","R$                            11,95"
MEMORIAS INQUIETAS E PERSISTENTES DE LEONARDO BOFF,Luigi Zoja,"R$24,90","R$                            12,45"
"SENTIDOS DO TEMPO, OS",Ricardo Luiz de Souza,"R$34,90","R$                            17,45"
"MEMORIA, O ESQUECIMENTO E O DESEJO, A",Rogério Miranda de Almeida,"R$34,90","R$                            17,45"
"FILOSOFIA NA COZINHA, A",Francesca Rigotti,"R$29,90","R$                            14,95"
EDUQUE A SI MESMO E SEJA FELIZ,Eliane Azevedo,"R$12,90","R$                              6,45"
