100 CAMISAS QUE CONTAM AS HISTORIAS DE TODAS AS CO,"MARCELO DUARTE R$ 68,90","R$ 34,45"
100 DICAS DE SEDUCAO DE BRUNA SURFISTINHA,"BRUNA SURFISTINHA R$ 35,90","R$ 17,95"
120 OBJETOS QUE CONTAM A HISTORIA DO BRASIL NA II,"CESAR CAMPIANI R$ 79,90","R$ 39,95"
1981 - O ANO RUBRO-NEGRO,"EDUARDO MONSANTO R$ 62,90","R$ 31,45"
2.990 GRAUS - A ARTE DE QUEIMAR NO INFERNO,"ADILSON XAVIER R$ 53,90","R$ 26,95"
50 MANEIRAS DE CRIAR UM BEBE SEM FRESCURA,"JENNY ROSEN R$ 39,90","R$ 19,95"
A ARCA DOS BICHOS,"MARCELO DUARTE R$ 41,90","R$ 20,95"
A ARVORE DA FAMILIA,"MAISA ZAKZUK R$ 39,90","R$ 19,95"
A BAILARINA ESPECIAL,"ALINE FAVARO TOMAZ R$ 37,90","R$ 18,95"
A BISA FALA CADA COISA!,"CARMEN LUCIA CAMPOS R$ 37,90","R$ 18,95"
A CARTA ROUBADA,"EDGAR ALLAN POE / ROSA MOYA R$ 37,90","R$ 18,95"
A CRIANCA MAIS VELHA DO MUNDO,"MARCELO ROMAGNOLI R$ 37,90","R$ 18,95"
A ESCOVA DE DENTES AZUL,"MARCOS MION R$ 44,90","R$ 22,45"
A FESTA DE ANIVERSARIO,"ILAN BRENMAN E FERNANDO VILELA R$ 39,90","R$ 19,95"
A FLOR DE LIROLAY E OUTROS CONTOS DA AMERICA LATIN,"CELINA BODENMULLER E FABIANA PRANDOR$ 43,90","R$ 21,95"
A GRANDE INVASAO,"ISABEL MINHOS MARTINS R$ 31,90","R$ 15,95"
A HISTORIA DAS CAMISAS DE TODOS JGS COPAS,"RODOLFO RODRIGUES E PAULO GINI R$ 64,90","R$ 32,45"
A HISTORIA DAS CAMISAS DOS 10 MAIORES TIMES DA EUR,"MAURICIO RITO E RODOLFO RODRIGUES R$ 79,90","R$ 39,95"
A HISTORIA DAS CAMISAS DOS 12 MAIORES TIMES DO BRA,"PAULO GINI E RODOLFO RODRIGUES R$ 79,90","R$ 39,95"
A HISTORIA DAS CAMISAS DOS 12 MAIORESTIMES - VOL 2,"RODOLFO RODRIGUES E MAURICIO RITO R$ 79,90","R$ 39,95"
"A INCRIVEL FABRICA DE COCO, XIXI E PUM","FATIMA MESQUITA R$ 39,90","R$ 19,95"
A LUNETA MAGICA,"JOAQUIM MANUEL DE MACEDO (ADAP. PATRA$T 3I)7,90","R$ 18,95"
A MINHA SEGUNDA GUERRA,"JOAO BARONE R$ 45,90","R$ 22,95"
A MULHER QUE FALAVA PARA-CHOQUES,"MARCELO DUARTE R$ 37,90","R$ 18,95"
A MULHER QUE NAO QUERIA ACREDITAR,"FERNANDA TAKAI R$ 36,90","R$ 18,45"
A MULHER QUE VIROU URUTAU,"OLIVIO JEKUPE E MARIA KEREXU R$ 35,90","R$ 17,95"
A ORIGEM DOS BICHOS,"TIAGO HAKIY R$ 37,90","R$ 18,95"
A ORIGEM DOS NOMES DOS PAISES,"EDGARDO OTERO R$ 61,90","R$ 30,95"
A PESCARIA DO CURUMIM E OUTROS POEMAS INDIGENAS,"TIAGO HAKIY R$ 37,90","R$ 18,95"
A PORTA DA TERRA,"EDITH DERDYK R$ 38,90","R$ 19,45"
A PRINCESA E O PESCADOR DE NUVENS,"ALEXANDRE RAMPAZO R$ 39,90","R$ 19,95"
A RELIQUIA,"ECA DE QUEIROS R$ 47,90","R$ 23,95"
A RODA DA VIDA,"MANUEL FILHO R$ 41,90","R$ 20,95"
A SEGUNDA GUERRA MUNDIAL 1942-1944,"RICHARD OVERY R$ 139,90","R$ 69,95"
A SEGUNDA GUERRA MUNDIAL 1944-1945,"RICHARD OVERY R$ 145,90","R$ 72,95"
A VEZ E A VOZ DAS CRIANCAS,"ADRIANA FRIEDMANN R$ 47,90","R$ 23,95"
A VIDA COM LOGAN,"FLAVIO SOARES R$ 37,90","R$ 18,95"
A VIDA E OUTROS DETALHES INSIGNIFICANTES,"DANILO GENTILI R$ 32,90","R$ 16,45"
A VIDA SERIA MAIS FACIL SE EU FOSSE UM MONSTRO,"MARCELO JUCA R$ 37,90","R$ 18,95"
A VIRADA - MILAGRE EM LIMA,"EDUARDO MONSANTO R$ 55,90","R$ 27,95"
A VOVO VIROU BEBE,"RENATA PAIVA R$ 43,90","R$ 21,95"
ABC DA AGUA,"SELMA MARIA R$ 37,90","R$ 18,95"
ABC EM LIBRAS,"BENEDICTA REIS E SUELI RAMALHO R$ 35,90","R$ 17,95"
ACHADOS E ROUBADAS,"WASHINGTON OLIVETTO R$ 34,90","R$ 17,45"
ADIVINHAS PARA BRINCAR,"JOSCA AILINE BAROUKH E LUCILA SILVA DRE$ A 4L7M,9E0IDA","R$ 23,95"
"ALCOOL, CIGARRO E DROGAS","JAIRO BOUER R$ 33,90","R$ 16,95"
ALINHAVOS,"ALESSANDRA PONCE ROCHA R$ 39,90","R$ 19,95"
ALMANAQUE DAS CONFEDERACOES DO MUNDO INTEIRO,"RODOLFO RODRIGUES R$ 28,90","R$ 14,45"
"ALMANAQUE DE BARATAS, MINHOCAS E ...","FATIMA MESQUITA R$ 39,90","R$ 19,95"
"ALMANAQUE DE CORRUPTOS, DITADORES E...","FATIMA MESQUITA R$ 39,90","R$ 19,95"
ALMANAQUE DE GAMES,"ANNA C.RODRIGUES, NATHAN FERNANDESR, $V 8IC9T,9O0R BIARN$C 4H4U,95",
"ALMANAQUE DE PUNS, MELECAS E...","FATIMA MESQUITA R$ 39,90","R$ 19,95"
ALMANAQUE DESIMPEDIDOS,"DESIMPEDIDOS R$ 37,90","R$ 18,95"
ALMANAQUE DO AVIAO,"ERNESTO KLOTZEL E TOMAS PRIETO R$ 47,90","R$ 23,95"
ALMANAQUE DO CAMPO,XICO GRAZIANO,"R$ 47,90","R$ 23,95"
ALMANAQUE DO FUNDO DO MAR,RACHEL AZZARI,"R$ 69,90","R$ 34,95"
ALMANAQUE DOS GAMES DE FUTEBOL,GUILHERME ATHAIDE,"R$ 43,90","R$ 21,95"
ALMANAQUE DOS REALITY SHOWS DO BRASIL,KARINA TREVISAN,"R$ 29,90","R$ 14,95"
AMO VOCE!,PAULA RAMOS,"R$ 31,90","R$ 15,95"
APOLINARIO - O HOMEM-DICIONARIO,FABIO YABU,"R$ 37,90","R$ 18,95"
ARA - A ENGENHEIRA DAS ESTRELAS,KOMAL SINGH,"R$ 39,90","R$ 19,95"
ARTE COM BEBES,DIANA TUBENCHLAK,"R$ 52,90","R$ 26,45"
ARTE DO EQUILIBRIO,ALCIDES MELHADO FILHO,"R$ 34,90","R$ 17,45"
AS 100 SELECOES MAIS MALUCAS DO FUTEBOL,JUAN TIGRE PEYRU,"R$ 42,90","R$ 21,45"
AS AVENTURAS DE BEEKLE,DAN SANTAT,"R$ 43,90","R$ 21,95"
AS AVENTURAS DE PINOQUIO,PENELOPE MARTINS,"R$ 47,90","R$ 23,95"
AS AVENTURAS DE TOM SAWYER,MARK TWAIN / ROSA MOYA,"R$ 37,90","R$ 18,95"
AS CORES DE CORINA,CARMEN LUCIA CAMPOS,"R$ 44,90","R$ 22,45"
AS MAIS BELAS HISTORIAS DO EVANGELHO,PAPA FRANCISCO,"R$ 39,90","R$ 19,95"
AS MARAVILHOSAS MULHERES DAS SERIES DE TV,FERNANDA FURQUIM,"R$ 54,90","R$ 27,45"
AVIOES DAS GRANDES GUERRAS,TOMAS PRIETO,"R$ 99,90","R$ 49,95"
BALE - UMA INTRODUCAO PARA CRIANCAS,LAURA LEE E MEREDITH HAMILTON,"R$ 72,90","R$ 36,45"
BANDEIRAS DE TODOS OS PAISES DO MUNDO,TIAGO JOSE BERG,"R$ 87,90","R$ 43,95"
"BANZAI, CORINTHIANS! BICAMPEAO MUNDIAL DE CLUBES",RADIO BANDEIRANTES,"R$ 41,90","R$ 20,95"
BEM BOLADO,FATIMA MESQUITA,"R$ 44,90","R$ 22,45"
BIBLIA DO CORINTIANO,CELSO UNZELTE,"R$ 177,90","R$ 88,95"
BIBLIA DO PALMEIRENSE,JOTA CHRISTIANINI,"R$ 177,90","R$ 88,95"
BIBLIA DO SAO-PAULINO,RUI BRANQUINHO E MICHAEL SERRA,"R$ 177,90","R$ 88,95"
BOA NOITE COM IOGA,LORENA PAJALUNGA,"R$ 39,90","R$ 19,95"
BOLA FORA - A HISTORIA DO EXODO DO FUTEBOL BRASILE,PAULO VINICIUS COELHO,"R$ 38,90","R$ 19,45"
BRANCA DE NEVE - 2A ED,IRMAOS GRIMM / VARNECI NASCIMENT,"R$ 33,90","R$ 16,95"
BRASIL - TERRA DE TODOS OS SANTOS,MARILU TORRES,"R$ 69,90","R$ 34,95"
CADE A COCADA?,ROSANA RIOS,"R$ 31,90","R$ 15,95"
CAFE EM PARIS,MARILIA CICHINI,"R$ 34,90","R$ 17,45"
CAIXA DE BRINCAR,LENINHA LACERDA,"R$ 43,90","R$ 21,95"
CEU NOTURNO - UMA INTRODUCAO PARA CRIANCAS,MICHAEL DRISCOLL,"R$ 67,90","R$ 33,95"
CHOPIN,ANNA OBIOLS,"R$ 37,90","R$ 18,95"
CLASH ROYALE,GUILHERME ATHAIDE,"R$ 33,90","R$ 16,95"
COM AS PROPRIAS MAOS,ACELINO FREITAS E WAGNER SARMEN,"O R$ 49,90","R$ 24,95"
COMEDIANS STAND-UP DE BOLSO,COMEDIANS,"R$ 35,90","R$ 17,95"
COMO FAZIAMOS SEM,BARBARA SOALHEIRO,"R$ 45,90","R$ 22,95"
COMO SE TORNAR O PIOR ALUNO DA ESCOLA,DANILO GENTILI,"R$ 42,90","R$ 21,45"
COMO SE TORNAR O PIOR ALUNO DA ESCOLA - ED. ESPECI,DANILO GENTILI,"R$ 47,90","R$ 23,95"
CONDE DRACULA E OUTROS VAMPIROS,"DENIO, IVAN, MANUEL E SHIRLEY","R$ 36,90","R$ 18,45"
CONFISSOES DE UM PAI DESPREPARADO,DANIEL FUNES,"R$ 30,90","R$ 15,45"
CONVERSAS COM VARGAS LLOSA,RICARDO SETTI,"R$ 42,90","R$ 21,45"
CORINTHIANS - TODO-PODEROSO CAMPEAO DA LIBERTADO,READIO BANDEIRANTES,"R$ 41,90","R$ 20,95"
CORINTHIANS - UMA CAIXINHA DE SURPRESAS,CELSO UNZELTE,"R$ 35,90","R$ 17,95"
COZINHA POP - AS 100 MELHORES CENAS GASTRONOMICAS,MARIANE LORENTE E LAURA SALABER,"Y R$ 53,90","R$ 26,95"
CRIATURAS NOTURNAS,GUILHERME DOMENICHELLI,"R$ 49,90","R$ 24,95"
DESENHANDO ANIMAIS,ED EMBERLEY,"R$ 37,90","R$ 18,95"
DESENHANDO COM OS DEDOS,ED EMBERLEY,"R$ 49,90","R$ 24,95"
DESENHANDO FACES,ED EMBERLEY,"R$ 37,90","R$ 18,95"
DESENHANDO MONSTROS,ED EMBERLEY,"R$ 37,90","R$ 18,95"
DESISTIR NUNCA FOI UMA OPCAO,DANIEL GUTH E JULIA BOBROW,"R$ 37,90","R$ 18,95"
DETETIVE INTRINCULIS E O ROUBO DA MONA LISA,AMAICHA DEPINO E CARLA BAREDES,"R$ 42,90","R$ 21,45"
DICIONARIO DAS COPAS,ANDRE LUIS NERY E HUMBERTO PERO,"R$ 49,90","R$ 24,95"
DINOSSAUROS - O COTIDIANO DOS DINOS COMO VOCE N,LUIZ EDUARDO ANELLI E CELINA BODE,"MURL$L 4E3R,90","R$ 21,95"
DOCUMENTOS HISTORICOS DO BRASIL,MARY DEL PRIORE,"R$ 155,90","R$ 77,95"
DOM CASMURRO,MACHADO DE ASSIS,"R$ 51,90","R$ 25,95"
