ROSEMEIRE DE ARAÚJO RANGNI (org.),"R$        52,00","R$     26,00"
IGOR JOSÉ DE RENÓ MACHADO,"R$        25,00","R$     12,50"
WILTON JOSÉ MARQUES,"R$        45,00","R$     22,50"
"LUIZ CARLOS GOMIDE FREITAS; GUEDMILLER SOUZA DE OLIVEIRA(Orgs.)","R$        55,00","R$     27,50"
LUIS R. DE CAMARGO RIBEIRO,"R$        34,00","R$     17,00"
JANINE MOREIRA,"R$        45,00","R$     22,50"
LÉA CRISTINA DE SOUZA; MANUELA DE ALMEIDA; LUÍS BRAGANÇA,"R$        42,00","R$     21,00"
"ANTÔNIO C. GUASTALDI; GUSTAVO F. BARBOSA; JONAS DE CARVALHO;GUILHERME VAZ; LÚCIO CORRADINI; FERNANDO POZZI S. GUASTALDI","R$        45,00","R$     22,50"
"",ARLENE G CORRÊA; JEAN MARCEL R GALLO (Orgs.),,,,
"Biomassa: estrutura, propriedades e aplicações",,R$,"58,00",R$,"29,00"
Cálculo e detalhamento de estruturas usuais de,ROBERTO CHUST CARVALHO; JASSON RODRIGUES DE FIGUEIREDO,,,,
concreto armado: segundo a NBR 6118:2014 – 4a,FILHO,,,,
edição,,R$,"90,00",R$,"45,00"
Comunidades de aprendizagem: outra escola é,ROSELI R. DE MELLO; FABIANA M. BRAGA; VANESSA GABASSA,,,,
possível - 2a edição,,R$,"38,00",R$,"19,00"
Coordenação pedagógica: novas abordagens do,SANDRA RISCAL (Org.),,,,
cotidiano escolar,,R$,"35,00",R$,"17,50"
"A Cor do amor: características raciais, estigmas e",ELIZABETH HORDGE-FREEMAN,,,,
socialização em famílias negras brasileiras,,R$,"65,00",R$,"32,50"
Corpo no outro corpo: homoerotismo na narrativa,JORGE VICENTE VALENTIM,,,,
portuguesa contemporânea,,R$,"48,00",R$,"24,00"
Cuidar do espírito e do corpo entre o velho e os,SUSANI SILVEIRA L. FRANÇA; ANA CAROLINA DE C. VIOTTI (Orgs.),,,,
novos mundos (séculos XIII-XVIII),,R$,"58,00",R$,"29,00"
"",CELSO LUIZ CONTI; EMÍLIA FREITAS DE LIMA; RENATA M. NASCENTE,,,,
"",(Orgs.),,,,
O Currículo e a gestão em foco,,R$,"40,00",R$,"20,00"
Descontrolada: uma etnografia dos problemas de,SORAYA FLEISCHER,,,,
pressão,,R$,"46,00",R$,"23,00"
"",IGOR JOSÉ DE RENÓ MACHADO (Org),,,,
Deslocamentos e parentesco,,R$,"32,00",R$,"16,00"
Do palco à página: publicar teatro e ler romances,ROGER CHARTIER,,,,
na época moderna (séculos XVI-XVIII),,R$,"54,00",R$,"27,00"
A Educação profissional ao longo do processo de,DARLAN MARCELO DELGADO; LUIZ ROBERTO GOMES,,,,
industrialização no Brasil,,R$,"44,00",R$,"22,00"
"",JOSÉ DE ANCHIETA RODRIGUES; DANIEL RODRIGO LEIVA (Orgs.),,,,
Engenharia de Materiais para todos – 3a edição,,R$,"45,00",R$,"22,50"
Epígrafes e diálogos na poesia de Machado de,AUDREY LUDMILLA DO NASCIMENTO MIASSO,,,,
Assis,,R$,"70,00",R$,"35,00"
Equilíbrio iônico: aplicações em Química Analítica –,ORLANDO FATIBELLO FILHO,,,,
2a edição,,R$,"85,00",R$,"42,50"
A Escravidão em São Carlos/SP: inventário,ÁLVARO RIZZOLI,,,,
analítico,,R$,"48,00",R$,"24,00"
Escrita acadêmica e identidade à luz da presença,MARIA SÍLVIA CINTRA MARTINS; GLAUCIA REGINA G. DE CARVALHO,,,,
indígena na Universidade Federal de São Carlos,,R$,"38,00",R$,"19,00"
Escritas libertárias,VERA CHALMERS,,,,
"",,R$,"45,00",R$,"22,50"
"",MATTHEW RICHMOND; MOISÉS KOPPER; VALÉRIA OLIVEIRA; JAQUELINE,,,,
"Espaços periféricos: política, violência e território",(Orgs.),,,,
nas bordas da cidade,,R$,"45,00",R$,"22,50"
"",IGOR JOSÉ DE RENÓ MACHADO (Org.),,,,
Etnografias do refúgio no Brasil,,R$,"49,00",R$,"24,50"
Eu ainda sou criança: educação infantil e,MARIA W. DOS SANTOS; CLEONICE TOMAZZETTI; SUELY MELLO (Orgs.),,,,
resistência,,R$,"55,00",R$,"27,50"
Excel: cálculos para Engenharia – formas simples,LUIZ FERNANDO DE MUORA; BRUNA FERNANDA DE SOUSA ROQUE,,,,
para resolver problemas complexos,,R$,"55,00",R$,"27,50"
"Fazer estado, produzir ordem: gestão do conflito",,,,,
urbano em projetos sociais para a juventude,LUANA MOTTA,,,,
vulnerável,,R$,"57,00",R$,"28,50"
