"",,,,,Preço (frete
"",,Autor,Título,Ano,
"",,,,,incluído)
1,Antonio Negri,,A anomalia selvagem,2018,"R$ 33,00"
"",,,Deleuze & Guattari: uma filosofia para o,,
2,Antonio Negri,,,2019,
"",,,século XXI,,"R$ 36,00"
3,Félix Guattari e Antonio Negri,,As verdades nômades,2017,"R$ 37,00"
4,Homero Santiago,,Entre Servidão e liberdade,2019,"R$ 46,00"
5,Keylie Jarrett,,A dona de casa digital,2021,"R$ 41,00"
6,Michael Hardt e Antonio Negri,,Assembly,2018,"R$ 57,00"
7,Sandro Mezzadra,,A condição pós-colonial,2020,"R$ 39,00"
8,Thomas Lemke,,Biopolítica,2019,"R$ 36,00"
9,Thomas Lemke,,"Foucault, governamentalidade e crítica",2017,"R$ 37,00"
10,Victor Galdino e Claudio Medeiros (org.),,Experimentos de filosofia pós-colonial,2021,"R$ 38,00"
11,Wendy Brown,,Nas ruínas do neoliberalismo,2019,"R$ 38,00"
