Quatro Cantos,,50%
TítuloAutorPreço de capa,Festa do livro da USP,
"(quase) borboletaHelder CaldeiraR$ 56,00","R$ 28,00",
"Águas turvasHelder CaldeiraR$ 36,00R$ 18,00",,
"AmorClara GavilanR$ 26,00R$ 13,00",,
"O amigo de PragaFrancisco CabralR$ 34,50R$ 17,25",,
"Bruno e Amanda: Histórias misturadasPedro VeludoR$ 35,00R$ 17,50",,
"A cidade das sombras dançantesPedro VeludoR$ 32,00R$ 16,00",,
"Caixa Lu & Bilu vol. 1Clara GavilanR$ 68,00R$ 34,00",,
"Caixa Lu & Bilu vol. 2Clara GavilanR$ 68,00R$ 34,00",,
"CelularClara GavilanR$ 26,00R$ 13,00",,
"Ciranda em AruandaLiu OlivinaR$ 52,00R$ 26,00",,
"A concha das mil coisas maravilhosas do Velho CaramujoJosely Vianna BaptistaR$ 64,00R$ 32,00",,
"FomeClara GavilanR$ 26,00R$ 13,00",,
"Da Guerra dos Mares e das AreiasPedro VeludoR$ 46,00R$ 23,00",,
"Gato procura-seAna SaldanhaR$ 54,00R$ 27,00",,
"História de uma linhaSilvana Beraldo MasseraR$ 48,00R$ 24,00",,
"Impressões do pântanoLuis DolhnikoffR$ 49,50R$ 24,75",,
"O labatruz e outras desventurasJudith NogueiraR$ 30,00R$ 15,00",,
"MedoClara GavilanR$ 26,00R$ 13,00",,
"A menina que media as palavrasLuis DolhnikoffR$ 42,00R$ 21,00",,
"MúsicaClara GavilanR$ 24,00R$ 12,00",,
"O outro ladoClara GavilanR$ 44,00R$ 22,00",,
"O pinguim azul de MiguelRosana MartinelliR$ 40,00R$ 20,00",,
"Poemas e outros bichosCintia AlvesR$ 40,00R$ 20,00",,
"Ralf & Demi: Uma história de duas metadesFelipe SchueryR$ 36,00R$ 18,00",,
"As rugosidades do caosLuis DolhnikoffR$ 49,50R$ 24,75",,
"Seu pesadelo foi você quem inventou!Rosana MartinelliR$ 42,00R$ 21,00",,
"SoluçoClara GavilanR$ 26,00R$ 13,00",,
"ViolentaEduardo RuizR$ 42,00R$ 21,00",,
"Viva LudovicoFlavio SansoR$ 46,00R$ 23,00",,
