"",Título,Autor(es) / Organizador(es),Assuntos,Preço,Preço
"",,,,capa,Feira
Eisejuaz,,Sara Gallardo,Romance,"R$55,90","R$27,95"
Forças especiais,,Diamela Eltit,Romance,"R$52,90","R$26,45"
Jamais o Fogo nunca,,Diamela Eltit,Romance,"R$49,90","R$24,95"
Janelas Irreais,,Felipe Charbel,Romance,"R$39,90","R$19,95"
O ausente,,Edimilson de Almeida Pereira,Romance,"R$45,90","R$22,95"
O que fazer,,Pablo Katchadjian,Romance,"R$45,90","R$22,95"
"",,,,,
A paisagem correta,,Amir Or,Poesia,"R$39,90","R$19,95"
Álbum,,Ana Elisa Ribeiro,Poesia,"R$39,90","R$19,95"
Árvore de Diana,,Alejandra Pizarnik,Poesia,"R$44,90","R$22,45"
A unicórnia preta,,Audre Lorde,Poesia,"R$59,90","R$29,95"
Batendo pasto,,Maria Lúcia Alvim,Poesia,"R$45,90","R$22,95"
Como se fosse a casa (uma correspondência),,Ana Martins Marques; Eduardo,Poesia,"R$35,00","R$17,50"
"",,Jorge,,,
Continuar a nascer,,Mônica de Aquino,Poesia,"R$38,00","R$19,00"
Deriva,,Adriana Lisboa,Poesia,"R$42,90","R$21,45"
Eu nunca fui ao Brasil,,Ernst Jandl,Poesia,"R$39,90","R$19,95"
Exílio,,Lucas Guimaraens,Poesia,"R$38,00","R$19,00"
Fundo falso,,Mônica de Aquino,Poesia,"R$39,90","R$19,95"
O nervo do poema,,Patrícia Lavelle (Org.); Paulo H.,Poesia,"R$39,90","R$19,95"
"",,Britto (Org.),,,
O vivo,,Adriana Lisboa,Poesia,"R$45,90","R$22,95"
Os trabalhos e as noites,Alejandra Pizarnik,Poesia,"R$44,90","R$22,45"
"",,,,
As desordens da biblioteca,Muriel Pic,Ensaio,"R$42,90","R$21,45"
"E por olhar tudo, nada via",Margo Glantz,Ensaio / Coleção,"R$45,90","R$22,95"
"",,Nos.Otras,,
Tornar-se Palestina,Lina Meruane,Ensaio / Coleção,"R$46,90","R$23,45"
"",,Nos.Otras,,
Viver entre línguas,Sylvia Molloy,Ensaio / Coleção,"R$39,90","R$19,95"
"",,Nos.Otras,,
Escrever sem escrever: literatura e apropriação no século XXI,Leonardo Villa-Forte,Ensaio,"R$46,90","R$23,45"
Literatura de esquerda,Damián Tabarovsky,Ensaio,"R$42,00","R$21,00"
O Rio antes do Rio,Rafael Freitas da Silva,Ensaio,"R$69,90","R$34,95"
Carta à Terra – e a Terra responde,Geneviève Azam,Ensaio,"R$48,90","R$24,45"
"",,,,
Bruno Schulz conduz um cavalo,Leda Cartum e Marcos Cartum,Conto ilustrado,"R$38,00","R$19,00"
"Ménage literário, Literary menage, Ménage literario",Jacques Fux; Rodrigo Lopes de,Conto,"R$36,00","R$18,00"
"",Barros,,,
"",,,,
"A casa, a nostalgia e o pó",Pascoal Farinaccio,Teoria e crítica,"R$42,90","R$21,45"
"",,literária,,
"A  ficção equilibrista: narrativa, cotidiano e política",Vera Lúcia Follain de Figueiredo,Teoria e crítica,"R$49,90","R$24,95"
"",,literária,,
A literatura brasileira em cenário internacional: um estudo do,Valéria Cristina Bezerra,Teoria e crítica,"R$42,00","R$21,00"
caso de José de Alencar,,literária,,
Antiga musa (arqueologias da ficção),Jacyntho Lins Brandão,Teoria e crítica,"R$45,00","R$22,50"
"",,literária,,
As duas pontas da literatura: crítica e criação em Machado de,Andréa Sirihal Wermeka,Teoria e crítica,"R$36,90","R$18,45"
Assis,,literária,,
Belle époque: a cidade e as experiências da modernidade,Carmen Negreiros (Org.),Teoria e crítica,"R$48,00","R$24,00"
"",,literária,,
Canção de amor para João Gilberto Noll,Luis Alberto Brandão (Org.),"Teoria e críticaliterária","R$43,00","R$21,50"
Conversa sobre a poesia / Fragmentos da Athenäum,"Friedrich Schlegel & AugustWilhelm Schlegel","Teoria e críticaliterária","R$42,00","R$21,00"
Deus(es) na literatura,Vários,"Teoria e críticaliterária","R$40,00","R$20,00"
Escrever de ouvido: Clarice Lispector e os romances da escuta,Marília Librandi,"Teoria e críticaliterária","R$55,00","R$27,50"
Escrever sem escrever: literatura e apropriação no século XXI,Leonardo Villa-Forte,"Teoria e críticaliterária","R$46,90","R$23,45"
Fator Alencar: ensaios,Marcelo Peloggio (Org.),"Teoria e críticaliterária","R$43,00","R$21,50"
"Feita no Brasil: a sabedoria vulgar da tragédia ática para o povoTupiniquim-Catrumano",Tereza Virginia R. Barbosa,"Teoria e críticaliterária","R$49,90","R$24,95"
Figurações do real (literatura brasileira em foco VII),Andréa Sirihal Werkema (Org.),"Teoria e críticaliterária","R$42,00","R$21,00"
Lima Barreto em quatro tempos,Carmen Negreiros,"Teoria e críticaliterária","R$44,90","R$22,45"
Limite,Luiz Costa Lima,"Teoria e críticaliterária","R$55,00","R$27,50"
Lúcio Cardoso – 50 anos depois,Leandro Garcia Rodrigues (Org.),"Teoria e críticaliterária","R$45,00","R$22,50"
Manoel de Barros e a poesia cínica,Patrícia Lino,"Teoria e críticaliterária","R$39,90","R$19,95"
"Menage literário, Literary ménage, Menage Literário","Jacques Fux e Rodrigo Lopes deBarros","Teoria e críticaliterária","R$36,00","R$18,00"
O espaço das palavras – de Mallarmé a Broodthaers,Jacques Rancière,"Teoria e críticaliterária","R$35,00","R$17,50"
O oratório poético de Alphonsus de Guimaraens,Eduardo Veras,"Teoria e críticaliterária","R$39,90","R$19,95"
Poesia e filosofia: Homenagem a Orides Fontela,Patrícia Lavelle (Org.),Teoria e crítica,"R$45,00","R$22,50"
"",,literária,,
"Quem desloca tem preferência: ensaios sobre futebol,",Marcelino Rodrigues da Silva,Teoria e crítica,"R$45,00","R$22,50"
jornalismo e literatura,,literária,,
Sobrevivências da imagem na escrita: Michel Butor e as artes,Márcia Arbex,Teoria e crítica,"R$49,90","R$24,95"
"",,literária,,
Teatro e tradução de teatro – vol. 1,Ana Maria Chiarini (Org.),Teoria e crítica,"R$45,00","R$22,50"
"",,literária,,
"Vertigens do eu: autoria, alteridade e autobiografia na obra de",Lisa Carvalho Vasconcellos,Teoria e crítica,"R$39,90","R$19,95"
Fernando Pessoa,,literária,,
"",,,,
A poética da substância: procedimentos da alquimia em artistas,Juliana Alvarenga,Estética e filosofia,"R$39,90","R$19,95"
contemporâneos,,da arte,,
Arqueologias do fantasma,Serge Margel,Estética e filosofia,"R$42,00","R$21,00"
"",,da arte,,
"Artes do corpo, corpos da arte",Jacinto Lageira (Org.),Estética e filosofia,"R$42,00","R$21,00"
"",,da arte,,
Entre filosofia e literatura: recados do Dito e do Não-Dito,Luiz Rohden (Org.),Estética e filosofia,"R$39,90","R$19,95"
"",,da arte,,
Estética moderna e contemporânea,Rachel Costa (Org.),Estética e filosofia,"R$40,00","R$20,00"
"",,da arte,,
"Gosto, interpretação e crítica",Rodrigo Duarte (Org.),Estética e filosofia,"R$40,00","R$20,00"
"",,da arte,,
Limite,Luiz Costa Lima,Estética e filosofia,"R$55,00","R$27,50"
"",,da arte,,
Limites do belo: ensaios sobre a estética de Friedrich Schilller,Ricardo Barbosa,Estética e filosofia,"R$45,00","R$22,50"
"",,da arte,,
O espaço das palavras – de Mallarmé a Broodthaers,Jacques Rancière,Estética e filosofia,"R$35,00","R$17,50"
"",,da arte,,
O que é a arte,Arthur Danto,Estética e filosofia,"R$55,90","R$27,95"
"",,da arte,,
Os fins da arte,Rachel Costa (Org.),Estética e filosofia,"R$39,90","R$19,95"
"",,da arte,,
"O trágico, o sublime e a melancolia – vol. 1",Verlaine Freitas (Org.),Estética e filosofia,"R$45,00","R$22,50"
"",,da arte,,
"O trágico, o sublime e a melancolia – vol. 2",Verlaine Freitas,Estética e filosofia,"R$45,00","R$22,50"
"",,da arte,,
Poesia e filosofia – Homenagem a Orides Fontela,Patricia Lavelle (Org.),Estética e filosofia,"R$45,00","R$22,50"
"",,da arte,,
"Serenidade, presença e poesia",Hans Ulrich Gumbrecht,Estética e filosofia,"R$42,90","R$21,45"
"",,da arte,,
"Sobre graça, dignidade e beleza em Friedrich Schiller e Heinrich",Carina Zanelato,Estética e filosofia,"R$42,00","R$21,00"
Von Kleist,,da arte,,
"",,,,
A distinção do autismo,Rosine e Robert Lefort,Psicanálise,"R$49,90","R$24,95"
A droga do toxicômano,Jésus Santiago,Psicanálise,"R$55,90","R$27,95"
A neurose obsessiva no feminino,Elisa Alvarenga,Psicanálise,"R$43,00","R$21,50"
A transmissão da psicanálise no Instituto: a experiência do CLIN-,Maria do Carmo Dias Batista,Psicanálise,"R$52,00","R$26,00"
a,(org.),,,
Fundamentos da prática lacaniana,Angelina Harari,Psicanálise,"R$45,90","R$22,95"
O que esse menino tem?,Ana Lydia Santiago,Psicanálise,"R$45,90","R$22,95"
"",,,,
Da filosofia da história à sociologia histórica,Kirlian Siquara,Filosofia geral,"R$39,90","R$19,95"
"Figuras da verdade: Nietzsche, Benjamin e Foucault",Katia Muricy,Filosofia geral,"R$49,90","R$24,95"
"",,,,
Cinema de brincar,Cezar Migliorin; Isaac Pipano,Cinema,"R$35,00","R$17,50"
Crônicas do cinematógrafo,Paulo Roberto Barbosa,Cinema,"R$39,90","R$19,95"
"",,,,
Degolarratos,Enzo Moscato,Dramaturgia,"R$35,00","R$17,50"
Teatro e tradução de teatro – vol. 1,Ana Maria Chiarini (org.),Dramaturgia,"R$45,00","R$22,50"
Teatro e tradução de teatro – vol. 2,Ana Maria Chiarini (org.),Dramaturgia,"R$40,00","R$20,00"
"A queda do aventureiro: aventura, cordialidade e os novos",Pedro Meira Monteiro,Ciências Sociais,"R$59,90","R$29,95"
tempos em ‘Raízes do Brasil’,,,,
"",,,,
"Bicicletas nas cidades: experiências de compartilhamento,",Victor Andrade e Letícia,Humanidades,"R$55,00","R$27,50"
diversidade e tecnologia,Quintanilha (org.),,,
Carta à Terra – e a Terra responde,Geneviève Azam,Humanidades,"R$48,90","R$24,45"
