TÍTULO,AUTOR (A),PREÇO CAPA,"PREÇO COMDESCONTO"
"Ruy Ohtake, arquiteto","Abilio Guerra e SilvanaRomano","R$100,00","R$50,00"
Marcos Acayaba,Marcos Acayaba,"R$120,00","R$60,00"
Bexiga em três tempos,"Nadia Somekh e JoséGeraldo Simões Junior","R$120,00","R$60,00"
Lelé: diálogos com Neutra e Prouvé,André Marques,"R$39,00","R$19,50"
"Brasil Arquitetura: Francisco Fanucci eMarcelo Ferraz","Abilio Guerra, MarcosGrinspum Ferraz e SilvanaRomano Santos","R$150,00","R$75,00"
"Arquitetura rural na Serra daMantiqueira",Marcelo Carvalho Ferraz,"R$98,00","R$49,00"
"Arquitetura atlântica: deslocamentosentre Brasil e Portugal","Ana Luiza Nobre e JoãoLMuacsiaa oM Kaarima iStaá Antunes","R$50,00","R$25,00"
O livro da Rosa,"Costa e Maria CecíliaBarbieri Gorski","R$80,00","R$40,00"
Rino Levi: arquitetura e cidade,"Renato Anelli, AbilioGuerra e Nelson Kon","R$190,00","R$80,00"
Casa de vidro / Glass Houses,"Renato Anelli e SolCamacho","R$75,00","R$37,50"
Dicionário da arquitetura brasileira,"Carlos Lemos e EduardoCorona","R$130,00","R$65,00"
Arquitetura moderna paulistana,"Alberto Xavier, CarlosLemos e Eduardo Corona","R$110,00","R$55,00"
"Abrahão Sanovicz, arquiteto",Helena Ayoub Silva,"R$120,00","R$60,00"
"Pedro Paulo de Melo Saraiva,arquiteto",Luis Espallargas Gimenez,"R$130,00","R$65,00"
Ministério da Educação e Saúde,Roberto Segre,"R$190,00","R$80,00"
Quarenta anos de prancheta,Marcello Fragelli,"R$132,00","R$66,00"
Museu do futebol,"Marianne Wenzel e MauroMunhoz","R$141,90","R$70,95"
"David Libeskind: ensaio sobre asresidências unifamiliares",Luciana Tombi Brasil,"R$132,00","R$66,00"
Biselli e Katchborian,Abilio Guerra,"R$82,90","R$41,45"
A existência sitiada,Eduardo Subirats,"R$28,90","R$14,45"
"O primitivismo em Mario de Andrade,Oswald de Andrade e Raul Bopp",Abilio Guerra,"R$36,40","R$18,20"
