"",,
"",Preço,
Título,Preço de capa,"PreçoPromocionalFEIRA"
A Rede Idiota e outros textos,"R$ 44,00","R$ 22,00"
Esse tal de amor e outros sentimentos cruéis,"R$ 35,00","R$ 17,50"
Roteiros para uma vida curta,"R$ 35,00","R$ 17,50"
A loucura dos outros,"R$ 35,00","R$ 17,50"
As pessoas que matamos ao longo da vida,"R$ 35,00","R$ 17,50"
Aos quatro ventos,"R$ 39,00","R$ 19,50"
Em conflito com a Lei,"R$ 35,00","R$ 17,50"
Oito do sete,"R$ 36,00","R$ 18,00"
Interrompidos,"R$ 35,00","R$ 17,50"
Escalpo,"R$ 40,00","R$ 20,00"
Cabeça de Antígona,"R$ 35,00","R$ 17,50"
Flor de Algodão,"R$ 40,00","R$ 20,00"
Breve passeio pela história do homem,"R$ 35,00","R$ 17,50"
O pior lugar que eu conheço é dentro da minha cabeça,"R$ 35,00","R$ 17,50"
Desamparto,"R$ 40,00","R$ 20,00"
Paralisia,"R$ 39,00","R$ 19,50"
Mães que fazem mal,"R$ 40,00","R$ 20,00"
Amor passageiro,"R$ 38,00","R$ 19,00"
O último tiro da Guanabara,"R$ 40,00","R$ 20,00"
A última Cabra,"R$ 36,00","R$ 18,00"
Vão Livre,"R$ 38,00","R$ 19,00"
Lá dentro,"R$ 38,00","R$ 19,00"
Falar é morder uma epidemia,"R$ 45,00","R$ 22,50"
Contos Brutos: 33 textos sobre autoritarismo,"R$ 40,00","R$ 20,00"
O filho de Osum,"R$ 39,00","R$ 19,50"
Diante dos meus olhos,"R$ 38,00","R$ 19,00"
Cara Marfiza,"R$ 40,00","R$ 20,00"
Partes Homólogas,"R$ 36,00","R$ 18,00"
A casa das Aranhas,"R$ 40,00","R$ 20,00"
Vida a Granel,"R$ 36,00","R$ 18,00"
O manuscrito do jovem Gabriel,"R$ 40,00","R$ 20,00"
"",Preço,
Título,Preço de capa,"PreçoPromocionalFEIRA"
Jenipará,"R$ 42,00","R$ 21,00"
Velhos,"R$ 36,00","R$ 18,00"
Além do Rio dos Sinos,"R$ 44,00","R$ 22,00"
"O Revolucionário do Tesão: a incrível história do psiquiatra e escritor Roberto Freire, o Bigode""","R$ 48,00","R$ 24,00"
O sentido e o fim,"R$ 36,00","R$ 18,00"
Com a corda no pescoço,"R$ 36,00","R$ 18,00"
Lugar comum,"R$ 38,00","R$ 19,00"
Vida de Suburbano,"R$ 36,00","R$ 18,00"
A Puta,"R$ 40,00","R$ 20,00"
terra dentro,"R$ 36,00","R$ 18,00"
Antônia,"R$ 42,00","R$ 21,00"
"No fundo do oceano, os animais invisíveis","R$ 40,00","R$ 20,00"
No instante do céu,"R$ 38,00","R$ 19,00"
Poemas dissonantes,"R$ 36,00","R$ 18,00"
Textos para lembrar de ir à praia,"R$ 36,00","R$ 18,00"
Travessias,"R$ 38,00","R$ 18,00"
Canto algum,"R$ 36,00","R$ 18,00"
O enterro do lobo branco,"R$ 42,00","R$ 21,00"
Um estudo em branco e preto,"R$ 40,00","R$ 20,00"
Transcontos,"R$ 39,00","R$ 19,50"
Agora posso acreditar em unicórnios,"R$ 39,00","R$ 19,50"
"2020, o ano que não começou","R$ 54,00","R$ 27,50"
Zaranza,"R$ 38,00","R$ 19,00"
"Eu, que não amo ninguém","R$ 44,00","R$ 22,00"
A leitora de poesia,"R$ 40,00","R$ 20,00"
Alagoas Azul,"R$ 39,00","R$ 19,50"
A fé que perdi nos cães,"R$ 43,00","R$ 21,50"
Geração 2010: o sertão é o mundo,"R$ 46,00","R$ 23,00"
"",,
"",,
"",,
"",,
"",Preço,
Título,Preço de capa,Preço
"",,Promocional
"",,FEIRA
"",Preço,
Título,Preço de capa,Preço
"",,Promocional
"",,FEIRA
"",Preço,
Título,Preço de capa,Preço
"",,Promocional
"",,FEIRA
"",Preço,
Título,Preço de capa,Preço
"",,Promocional
"",,FEIRA
"",Preço,
Título,Preço de capa,Preço
"",,Promocional
"",,FEIRA
"",Preço,
Título,Preço de capa,Preço
"",,Promocional
"",,FEIRA
""
""
https://editorareformatorio.minhalojanouol.com.br/
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
https://editorareformatorio.minhalojanouol.com.br/
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
https://editorareformatorio.minhalojanouol.com.br/
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
https://editorareformatorio.minhalojanouol.com.br/
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
https://editorareformatorio.minhalojanouol.com.br/
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
https://editorareformatorio.minhalojanouol.com.br/
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
https://editorareformatorio.minhalojanouol.com.br/
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
https://editorareformatorio.minhalojanouol.com.br/
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
