Hemus,,,
Título,Autor,Preço de Capa,Preço com Desconto
111 regras no Facebook,Maxim Behar,"66,00","33,00"
1300 esquemas circuitos eletrônicos,R Bourgeron,"222,00","111,00"
A cidade antiga,Fustel de Coulanges,"132,00","66,00"
A eletricidade no automóvel,Dave Westgate,"67,20","33,60"
A evolução da cooperação,Robert Axelrod,"102,00","51,00"
A FORÇA PESSOAL DE SUA POPULARIDADE,J. Bender e L. Graham,"75,00","37,50"
A Origem das Espécies,Charles Darwin,"200,40","100,20"
A origem do homem,Charles Darwin,"272,40","136,20"
A técnica da ajustagem,Edson Bini e Ivone D Rabello,"109,20","54,60"
A volta ao mundo em 80 dias,Júlio Verne,"111,60","55,80"
A vontade de amar,Arthur Schopenhauer,"84,00","42,00"
Aços inoxidáveis austeníticos. Microestrutura e propriedades,Luis Carlos Guedes e Angelo Fernando Padilha,"99,60","49,80"
Acupuntura,Felix Mann,"94,80","47,40"
AKHENATON E NEFERTITI,CHRISTIAN JACQ,"70,80","35,40"
ALADIM OU A LAMPADA MARAVILHOSA,ANONIMO,"45,00","22,50"
Alem do bem e do mal,Friedrich Wilhelm Nietzsche,"111,60","55,80"
ALI BABA E OS QUARENTA LADROES,ANONIMO,"38,40","19,20"
Alquimia Satanismo Cagliostro,P. Borrelli,"112,00","56,00"
ANIMAL DOMINANTE (O)*,PAUL R. EHRLICH/ANNE H. EHRLICH,"141,60","70,80"
ANTONIO FRANCISCO DE PAULA SOUZA,RODRIGO BASTOS PADILHA,"48,00","24,00"
Aprenda álgebra brincando,I. Perelmann,"93,60","46,80"
Aprenda matemática brincando?,Yakov Perelmann,"93,60","46,80"
Arte e técnica do desenho - bico de pena,Carlos Freixas,"82,80","41,40"
Arte no Xadrez Moderno,Barnie F Winkelman,"82,80","41,40"
AS MAIS BELAS PALAVRAS,BERTRAND/ FRANCOIS/ ALBERT,"50,40","25,20"
Assim falava Zaratustra,Friedrich W. Nietzsche,"111,60","55,80"
ASTROS E O TEU DESTINO (OS),FRANCESCO WALDNER,"57,60","28,80"
Atlas de construção de máquinas,D. N. Reshetov,"225,60","112,80"
ATOMO SOCIAL (O)*,MARK BUCHANAN,"58,80","29,40"
AVENTURAS DO BARAO DE MUNCHHAUSEN (AS),ANONIMO,"49,20","24,60"
Barreira do tempo,Andrew Tomas,"111,60","55,80"
BESTA HUMANA (A),EMILE ZOLA,"105,60","52,80"
Bestas Homens e Deuses,Ferdinand Ossendowski,"121,20","60,60"
BIOGRAFIA DE BERNIE ECCLESTONE (A)*,SUSAN WATKINS,"122,40","61,20"
CADERNETA DE MECANICA,J CARVILL,"108,00","54,00"
CALCULO DIFERENCIAL E INTEGRAL - MANUAL PRATICO,GUSTAVO BESSIERE,"81,60","40,80"
CALCULO E SUAS APLICACOES,GOLDSTEIN/ LOY/ SCHNEIDER,"172,80","86,40"
Cálculo técnico,Dale Ewen e Michael A. Topper,"177,60","88,80"
CALCULOS E ENSAIOS ESTUDO DOS PROJETOS,A HUGON,"141,60","70,80"
Carpintaria e serralharia,Santiago Pey Estrany,"102,00","51,00"
Carregando o elefante,R Feder e A Ostrowiecki,"82,80","41,40"
CARTAS AO ASHRAM,GANDHI,"46,80","23,40"
Casa moderna,Adriano Motta,"82,80","41,40"
Chamado Selvagem,Jack London,"75,60","37,80"
CINCO SEMANAS EM BALAO,JULIO VERNE,"85,20","42,60"
CIRCUITOS E DISPOSITIVOS ELETRONICOS,L W TURNER,"153,60","76,80"
Como as decisões realmente acontecem,James G. March,"108,00","54,00"
COMO ATIVAR O PODER DA MEMORIA,ALBERT MORSEL,"61,20","30,60"
