Pausa,,,
Título,Autor,Preço de Capa,Preço com Desconto
21 Dias para curar a sua vida,Louise hay,"53,88","26,94"
A coragem de Katie,Beverly Lewis,"45,48","22,74"
A cova da minha irmã,Robert Dugoni,"59,88","29,94"
Amor é uma palavra como outra qualquer,Francisco Castro,"53,88","26,94"
As garotas de Beantown,Jane Healey,"59,88","29,94"
Bagdá o skatista,Toni Brandão,"45,48","22,74"
Condessa de Barral,Mary Del Priore,"59,88","29,94"
Devocional Diário,Louise Hay,"59,88","29,94"
Matar para não morrer,Mary Del Priore,"59,88","29,94"
Nas sombras da guerra,Julianne MacLeann,"59,88","29,94"
O longo voo para casa,Alan Hlad,"59,88","29,94"
O príncipe maldito,Mary Del Priore,"59,88","29,94"
O Resgate de Grey Sommers,Mary Jo Putney,"47,88","23,94"
Seduzido pelo coração de uma Lady,Christi Caldwell,"45,48","22,74"
Três semanas para se casar,Ella Quinn,"47,88","23,94"
