ISBN,PRODUTO,AUTOR,PREÇO,PREÇO USP
9788554621094,"1.000 QUESTOES DE NUTRICAOCOMENTADAS DE PROVAS",SABRINA TORRES GOMES,"129,90","64,95"
9786587930671,1.000 QUESTOES ENFERMAGEM 2021,"RAISA NOELIA SANT'ANASOUZA","139,90","69,95"
9786587930831,1.000 QUESTOES FARMACIA 2021,"COSTA, JOSÉ FERNANDOOLIVEIRA","139,90","69,95"
9786587930664,1.000 QUESTOES FISIOTERAPIA 2021,"SANTOS, LUZ CLEBER","139,90","69,95"
9786587930855,"1.000 QUESTOES MEDICINAVETERINARIA 2021","SPINOLA, BRUNO","139,90","69,95"
9786587930848,1.000 QUESTOES NUTRICAO 2021,"GOMES, KELCYLENE","139,90","69,95"
9786587930602,1.000 QUESTOES ODONTOLOGIA 2021,"ALINE VILELA DOURADOMOITINHO","139,90","69,95"
9786586246179,"1.000 QUESTÕES COMENTADAS DECONCURSOS E RESIDÊNCI","ANDERSON SENABARNABÉ","149,90","74,95"
9788554620257,"100 CASOS CLINICOS EM MEDICINA - 2AEDICAO",A DEFINIR,"139,90","69,95"
9788554621643,"101 DESAFIOS EMELETROCARDIOGRAMA",MANUELA ALMEIDA VIANA,"109,90","54,95"
9788554622114,101 HEMOGRAMAS - 2ED,DEIVIDE DE SOUSA,"109,90","54,95"
9788554620288,"50 CASOS CLINICO-CIRURGICOS EMENFERMAGEM",A DEFINIR,"119,90","59,95"
9788554620295,"50 CASOS CLINICOS EMFARMACOLOGIA",,"129,90","64,95"
9788554620264,"50 CASOS CLINICOS EMNEUROCIRURGIA E NEUROCIENCIA",A DEFINIR,"149,90","74,95"
9788554620035,"500 QUESTOES DE SAUDE PUBLICA3ED.","MARCELO GURGELCARLOS DA SILVA","99,90","49,95"
9786586246056,A CLÍNICA ATRAVÉS DA IMAGEM,"MATHEUS EUGENIO DESOUSA LIMA","89,00","44,5"
9786599019265,"ALIMENTACAO COLETIVA EMICROBIOLOGIA  V4 2ED",CAMILA DUARTE FERREIRA,"89,90","44,95"
9788554622411,"APOSTILA DO MILHAO - MANUAL DOINTERNATO A RESIDEN",CAIO NUNES,"119,90","59,95"
