ISBN,PRODUTO,AUTOR,PREÇO,"PREÇOUSP"
9788577564804,"A ALMA, O CORACAO E OCEREBRO DO VAREJO","SECCO, LUIZ ANTONIO","44,90","22,45"
9788587864710,"A CONSTRUCAO DO PUBLICO:CIDADANIA, DEMOCRACIA E P","TORO, JOSE BERNARDO","40,00",20
9788577564538,"A CULPA E DO RIO! A CIDADEQUE INVENTOU A MODA DO","ACIOLI, PAULA","69,00","34,5"
9788587864185,"A HOLLYWOOD BRASILEIRA:PANORAMA DA TELENOVELA","ALENCAR, MAURO","77,00","38,5"
9788586579639,"ANOS 70 - AINDA SOB ATEMPESTADE","NOVAES, ADAUTO","83,00","41,5"
9788587864789,"AQUIM - UMA FAMILIAAPAIXONADA PELAGASTRONOMIA","ACHE, SUZETE","127,00","63,5"
9788577560219,ARROZ,"BARBARA, DANUSIA","120,00",60
9788577560233,ARROZ - EDICAO COMPACTA,"BARBARA, DANUSIA","35,00","17,5"
9788577560318,ARTE DE COZINHA (SENAC-RJ),"RODRIGUES, DOMINGOS","99,90","49,95"
9788577563234,BAGUNCA NA COZINHA,"ANA CAROLINABRINGHENTI","65,00","32,5"
9798587864924,BATATA - EDICAO COMPACTA,"BARBARA, DANUSIA","35,00","17,5"
9788587220837,"BATUQUE NA COZINHA - ASRECEITAS E AS HISTORIAS DA","MEDEIROS, ALEXANDRE","45,00","22,5"
9788587864291,BERINJELA,"BARBARA, DANUSIA","120,00",60
9798587864900,"BERINJELA - EDICAOCOMPACTA","BARBARA, DANUSIA","35,00","17,5"
9788578081393,"BOAS PRATICAS DELABORATORIO","ALMEIDA, MARIA DEFATIMA DA COSTA","69,00","34,5"
9788587864765,"BOSSA CARIOCA CASA COR RIODE JANEIRO","MAYER, PATRICIA;QUENTEL, PATRICIA","139,90","69,95"
9788587864253,"CAPRICCIOSA...E O CARIOCADESCOBRIU A PIZZA","DUARTE, MARLENE","85,00","42,5"
9788522116522,"CARREIRA: PLANEJAMENTO EGESTAO","ROSA, ANTONIO JOSE","25,90","12,95"
9788577563401,"CASES EM HOTELARIA: COMOSUPERAR OS OBSTACULOS NO","RODRIGUES, WILLIAM F.","45,00","22,5"
9798577560034,CHAVES DE UM SUCESSO,"KASCHNER, PABLO","43,00","21,5"
9788577560028,"CICLO DA MODA, O","FEGHALI, MARTA;SCHMID, ERIKA","55,00","27,5"
9788522114337,"COMO SER UM LIDER - SERIEPROFISSIONAL","COOPER, ANN A.","25,90","12,95"
9788578081133,"COMUNICACAO EM INTERFACECOM CULTURA - FACES DA CU","MARCHIORI, MARLENE","49,00","24,5"
9788578081775,"CONTEXTO ORGANIZACIONALMIDIATIZADO - FACES DA CUL","MARCHIORI, MARLENE","49,00","24,5"
9788577563142,"COZINHA DA THINA, A","IZIDORO, THINA","69,90","34,95"
9788577564798,COZINHA DE INOVAÇÃO,GISELA ABRANTES,"64,90","32,45"
9788577564644,"COZINHA MODERNISTA:HISTORIA, INGREDIENTES ERECIT","ABRANTES, GISELA;MATA, PAULINA","69,00","34,5"
9788577563814,COZINHAR E PRECISO,"HENRIQUES,HENRIQUETA","49,00","24,5"
9788577561735,"CRIANCA QUE BRINCAAPRENDE MAIS","POZAS, DENISE","33,00","16,5"
9788577564705,CROCHE EM FIO DE MALHA,"BUCHHORN JULIA/BUCHHORN VALDEREZ","49,90","24,95"
9788577560196,"CRUSTACEOS - EDICAOCOMPACTA","BARBARA, DANUSIA","35,00","17,5"
9788577560349,"CUIDADOS PALIATIVOS EMONCOLOGIA","SALTZ, ERNANI; JUVER,JEANE","50,00",25
9788578081638,"CULTURA E INTERACAO -FACES DA CULTURA E DACOMUNI","MARCHIORI, MARLENE","41,00","20,5"
9788577560707,"DESPERTE O EMPREENDEDOREM VOCE","DURO, JORGE;BONAVITA, J. R.","32,00",16
9788578081478,DIA A DIA DA PREVENCAO,"MORAES JUNIOR, COSMOPALASIO DE","34,00",17
9788577561711,"DICIONARIO DE TERMOSGASTRONOMICO EM 6 IDIOMAS","SALDANHA, ROBERTAMALTA","149,90","74,95"
9788577560363,"DIETA DO CHEF, A - ALTAGASTRONOMIA DE BAIXACALOR","VILLAR, ROLAND","119,90","59,95"
9788577564774,DOCURAS DE DOMINGO,"BITTENCOURT, ANNA","49,90","24,95"
"",,"ANA PEDROSA, ANA",,
"",ECOCHEFS: PARCEIRO DO,,,
9788577564545,,"RIBEIRO, ANA SALLES,","89,90","44,95"
"",AGRICULTOR,,,
"",,"CICA ROXO, C",,
"",,"MATESCO, VIRENE",,
"",ECONOMIA PARA NAO,,,
9788577563074,,"ROXO; SCHENINI, PAULO","39,90","19,95"
"",ECONOMISTAS,,,
"",,HENRIQUE,,
"",EDUCACAO CORPORATIVA EM,,,
9788577561742,,"STAREC, CLAUDIO","39,00","19,5"
"",XEQUE,,,
"",,"HAER.,JONA/BREPOHL,DI",,
"",EM BUSCA DO EQUILIBRIO,,,
9788577560530,,ETER/DE,"99,90","49,95"
"",NUTRICIONAL,,,
"",,"LIMA,CLAUDIO/WALDINEZ",,
"",,"MILLAO, LUZIA",,
"",ENFERMAGEM EM SAUDE,FERNANDES;,,
9788578080884,,,"109,00","54,5"
"",COLETIVA - VOL.1,"FIGUEIREDO, MARIA",,
"",,RENITA,,
"",,"FABBRO, MARCIA",,
"",ENFERMAGEM EM SAUDE DA,,,
9788578080808,,REGINA CANGIANI ;,"129,00","64,5"
"",MULHER - VOL.3,,,
"",,"MONTRONE, AIDA VI",,
"",ERGODESIGN E ARQUITETURA,,,
9788577564446,,"AGNER, LUIZ","44,00",22
"",DE INFORMACAO | TRABALHAN,,,
"",ESTOMIAS INTESTINAIS: DA,"SILVA, ANA LUCIA DA;",,
9788578081317,,,"52,00",26
"",ORIGEM A READAPTACAO,"SHIMIZU, HELENA ERI",,
"",ESTUDOS ORGANIZACIONAIS,,,
9788578081607,,MARCHIORI. MARLENE,"44,00",22
"",EM INTERFACE COM CULTURA -,,,
"",ETICA PROFISSIONAL - SERIE,,,
9788522114269,,"BENNETT, CAROLE","25,90","12,95"
"",PROFISSIONAL,,,
"","EVOLUCAO DA ESCRITA, A - CP",,,
9788577560097,,CARLOS M. HORCADES,"79,90","39,95"
"",BROCHURA,,,
"",FANTASTICA FABRICA DE,,,
9788577561100,,"GARCIA, ANA CAROLINA","58,00",29
"","FILMES, A",,,
"",FARMACOLOGIA HUMANA,,,
9788578081003,,"SOARES, VINICIUS H.P.","159,00","79,5"
"",BASICA,,,
"",FAZ BEM PRA QUE? - A CIENCIA,"CORONA, JANE;",,
9788577563241,,,"59,00","29,5"
