"",,Preço,Pr e  ço com
Título Autor,,,
"",,de capa,desconto
A ESTRANHA TEORIA DA LUZ E DA MAT Feynman; Richard P.,,"R$74,00","R$37,00"
A LETRA IMPRESSA Rocha; Claudio,,"R$46,00","R$23,00"
A REVOLUÇÃO DOS E-BOOKS Procópio; Ednei,,"R$42,00","R$21,00"
ASPECTOS DO DESIGN Vários Autores,,"R$29,90","R$14,95"
ASPECTOS DO DESIGN II Vários Autores,,"R$29,90","R$14,95"
"CHECKLIST DO GÊNIO: Dicas paradoxais para teSsitmaro on ttoanle, nDtoe acnri aKteivioth",,"R$74,00","R$37,00"
COMUNICAÇÃO COM CORES Csillag; Paula,,"R$58,00","R$29,00"
DESIGN E ECONOMIA CIRCULAR Vários Autores,,"R$59,90","R$29,95"
FAZER É PENSAR Castro; Claudio de Moura,,"R$59,00","R$29,50"
FUNDIÇÃO ARTÍSTICA SENAI-SP,,"R$78,00","R$39,00"
GUIA ESSENCIAL PARA GESTÃO DE EMPRESAVSários Autores,,"R$120,00","R$60,00"
"INOVAÇÃO HORIZONTAL: Inovação a partir de toÁdlovsa roess ,e Amnptrôengioa dCoasrlos Teixeira; Barbieri, José Carlos",,"R$59,90","R$29,95"
KIT ASPECTOS DO DESIGN VOL. 1 E 2 Vários Autores,,"R$49,90","R$24,95"
KIT SENAI MIX DESIGN SENAI-SP,,"R$140,00","R$70,00"
MIX DESIGN-OUTONO-INVERNO 2016 SENAI-SP,,"R$69,90","R$34,95"
NANOTECNOLOGIA SENAI-SP,,"R$49,90","R$24,95"
"",,Preço,Pr e  ço com
Título,Autor,,
"",,de capa,desconto
O TEMPO E O VINHO,Giordano; Claudio,"R$62,00","R$31,00"
RECICLAGEM DE MATERIAIS,Milan; Marcos,"R$89,00","R$44,50"
SEGREDOS DO DESIGN AUTOMOTIVO,Morita; Fernando,"R$79,00","R$39,50"
SIGNOS DA BRASILIDADE,Grilli; Sílvia,"R$64,90","R$32,45"
UM NOVO OLHAR SOBRE O DESIGN,SENAI-SP,"R$89,90","R$44,95"
UM OLHAR SOBRE O DESIGN,SENAI-SP,"R$89,90","R$44,95"
