"",,Preço,Pr e  ço com
Título,Autor,,
"",,de capa,desconto
101 DÁLMATAS,"Smith, Dodie","R$49,00","R$24,50"
99 BRINCADEIRAS CANTADAS,"Chucruts, Marlon; Cia. Malas Portam","R$52,00","R$23,40"
A ABADIA MISTERIOSA-SPIROU E FAN,Fournier,"R$36,00","R$16,20"
A BELA ADORMECIDA,"Moral, Lola","R$28,00","R$11,20"
A BELA MORTE,"Bablet, Mathieu","R$89,90","R$40,46"
A CARTOMANTE,"Assis, Machado de","R$29,90","R$13,46"
A CASA AZUL,"Herbauts, Anne","R$34,00","R$17,00"
A CASINHA DE BONECA MAL...,Vários autores,"R$42,00","R$18,90"
A CAUSA SECRETA,"Assis, Machado de","R$29,90","R$13,46"
A CIDADE E AS SERRAS,"Queirós, Eça de","R$43,00","R$17,20"
A EQUAÇÃO DE JAMIE DRAKE,"Edge,Christopher","R$59,90","R$29,95"
A FADA ORIANA,"Andresen, Sophia de Mello Breyner","R$34,90","R$17,45"
A FAZENDA AFRICANA,"Blixen, Karen","R$69,90","R$27,96"
A FERA NA SELVA,"James, Henry","R$39,90","R$15,96"
A HISTÓRIA DO MONSTRO KHATPY,"Carvalho, Ana","R$42,00","R$21,00"
"",,Preço,Pr e  ço com
Título,Autor,,
"",,de capa,desconto
A LENDA DO BATATÃO,"Haurelio, Marco","R$34,90","R$13,96"
A MENINA E O LEÃO,"Aakeson, Kim Fupz","R$69,90","R$34,95"
A MENINA QUE NUNCA TERMINAVA NADA,"Maria, Selma","R$28,00","R$11,20"
A MISSA DO GALO,"Assis, Machado de","R$29,90","R$13,46"
A NOIVA DE MESSINA,"Schiller, Friedrich","R$39,90","R$15,96"
A POESIA DAS COISAS,"Tavano, Silvana","R$32,00","R$12,80"
A RAINHA DO NORTE,"Estrela, Joana","R$38,00","R$15,20"
A SAGA DO GATO NEGRO,"Guedes, Luiz Roberto","R$32,00","R$14,40"
A SALA DO JOGO,"Costa, Eduardo Alves da","R$69,00","R$27,60"
A SOCIEDADE SECRETA DOS HERÓIS V1,"Fridolfs, Derek","R$24,90","R$12,45"
A SOCIEDADE SECRETA DOS HERÓIS V2,"Fridolfs, Derek","R$24,90","R$12,45"
A SOMBRA DE KONRAD,"Döbele, Matze","R$74,90","R$37,45"
À SOMBRA DOS VIADUTOS EM FLOR,"Volpato, Cadão","R$49,90","R$24,95"
AGORA,"Brenman, Ilan","R$46,00","R$23,00"
ALEX VALLAURI,MIS,"R$32,00","R$16,00"
"",,Preço,Pr e  ço com
Título,Autor,,
"",,de capa,desconto
ALGUÉM NA JANELA,"Brozon, M. B.","R$34,00","R$15,30"
ALICE ATRAVÉS DO ESPELHO,"Carroll, Lewis","R$56,00","R$28,00"
ALICE NO PAÍS DAS MARAVILHAS,"Carroll, Lewis","R$54,00","R$27,00"
"ALIMENTO, MOVIMENTO E ALMA","Crosara, Lucyane","R$110,00","R$55,00"
ANEDOTAS DO DESTINO,"Blixen, Karen","R$44,00","R$17,60"
ÂNSIA ETERNA,"Berta, Verônica","R$39,90","R$19,95"
ANUÍ,"Lelis, Marcelo","R$44,00","R$19,80"
AREIAS MOVEDIÇAS,"Paz, Octavio","R$89,90","R$35,96"
AS AVENTURAS DE PINÓQUIO,"Collodi, Carlo","R$59,90","R$29,95"
AS MULHERES DE MACHADO,"Assis, Machado de","R$59,90","R$23,96"
AS SURPREENDENTES AVENTURAS DO BA,"Raspe, Rudolf Erich","R$124,00","R$62,00"
BALADA PARA OS ÚLTIMOS DIAS,"Costa, Eduardo Alves da","R$45,00","R$18,00"
BLACKSAD 1,"Canales, Juan Diáz","R$49,00","R$19,60"
BLACKSAD 2,"Canales, Juan Diáz","R$49,00","R$19,60"
BLACKSAD 5,"Canales, Juan Diáz","R$49,00","R$19,60"
"",,Preço,Pr e  ço com
Título,Autor,,
"",,de capa,desconto
CAPITAL,"Cruz, Afonso","R$32,00","R$16,00"
CEM GRAMAS DE BUDA,"Costa, Eduardo Alves da","R$64,00","R$25,60"
CHAPEUZINHO VERMELHO,"Moral, Lola","R$22,00","R$8,80"
CHONGAS,"Costa, Eduardo Alves da","R$58,00","R$23,20"
COISA DE GENTE GRANDE,"Auerbach, Patricia","R$44,00","R$22,00"
COMO SURGE O LIVRO INFANTIL,"Napp, Daniel","R$69,90","R$34,95"
COMUM,"Maria, Selma","R$36,00","R$14,40"
CONCERTO No 7 P/VIOLINO E BRUXAS,"Rosell, Joel Fanz","R$30,00","R$13,50"
CONEXÃO NOVA YORK,"Aguiar, Luiz Antonio","R$35,00","R$15,75"
CONTOS DE ESCOLA,"Assis, Machado de","R$29,90","R$13,46"
CONTOS DO BALÉ,"Bógea, Inês","R$59,90","R$29,95"
