Título,,ISBN,Autor,Preço de capa,Preço c/ desconto,Sinopse
A Dama de Branco,,9788589059275,Edsoleda Santos,R$35.00,R$17.50,"Desde o primeiro dia de aula, Lucas fica a"
A Ialorixá e o pajé,,9788553300051,Mãe Stella de Oxóssi,R$59.90,R$29.95,A Ialorixá e o Pajé é um relato verdadeiro s
A Lagarta que Sonhava Voar,,9788553300037,Sérgio Perez,R$54.90,R$27.45,"Dedicado a crianças de 0 a 100 anos, este"
A Mulher da Guarda,,9788553300112,Sara Bertrand,R$54.90,R$27.45,"O livro conta a história de Jacinta, uma meEm 2017, a edição original publicada em e"
Apagou o contato,,9788553300099,Allê Barbosa,R$54.90,R$27.45,Allê Barbosa é um fenômeno nas redes so
"Bahia de Todos os Cantos - uma introdução àcultura baiana",,9786586539035,"Gustavo Falcón, AntônioRisério",R$79.90,R$39.95,"Este livro apresenta, de forma inovadora, uEsta leitura está centrada numa análise dia"
"",,,,,,
"Bailarino, Pesquisador e Intérprete",,9788589059862,Graziela Rodrigues,R$100.00,R$50.00,A busca de uma realidade gestual como pr
"Buscar Indícios, Construir Sentidos",,9788553300167,Graciela Montes,R$60.00,R$30.00,"Uma seleção de dezesseis palestras, escri"
Cacimbo. Uma Experiência em Angola,,9788589059251,José de Jesus Barreto,R$40.00,R$20.00,Cacimbo é o estio. Estação sem chuvas e
Camila e o Espelho,,9788589059978,Lilia Gramacho,R$45.00,R$22.50,Algo está causando uma reviravolta na vid
Candomblé da Bahia,,9788589059169,José de Jesus Barreto,R$48.00,R$24.00,A intenção deste livro é somente apontar u
"Cirilo, o dragão que sonhava ser bombeiro",,9788589059350,Carolina Bacelar,R$40.00,R$20.00,"Cirilo não é um dragão normal, igual àquel"
Clareou – conversa pra boi leão dormir,,9786586539004,Sérgio Siqueira,R$50.00,R$25.00,Vertigem é a emoção que mais vibra em Cl
Coronéis do Cacau,,9788589059367,Gustavo Falcón,R$50.00,R$25.00,"Reedição, ampliada e revisada, da pesquis"
"Ernesto, o leão faminto",,9786586539172,"Lola Casas,GustiRosemfett",R$59.90,R$29.95,"Ernesto, o mais forte e temido dos animais,"
"Fora da Linha - Ilustrações editoriais e outrosdesenhos",,9786586539165,Rico Lins,R$97.00,R$48.50,"O livro Fora da Linha reúne em único voluCom textos do próprio autor e de dois espe"
Imagem e Pensamento Criador,,9788553300129,Sonia Rangel,R$150.00,R$75.00,"""[...] O perfil de artista que emerge deste tr"
Jogos de Poder na Escola da Vida,,9788553300150,Lucila Rupp,R$50.00,R$25.00,A educação de um indivíduo ocorre media
"Jorge Sanmartin – O fantástico mundo dabola",,9788589059824,José de Jesus Barreto,R$40.00,R$20.00,"A paixão pela palavra, pelo microfone e pel"
Marce,,9788589059541,Gláucia Lemos,R$35.00,R$17.50,"Mirando o espelho do tempo, Gláucia Lem"
"",,,,,,
Margarida Bem-me-quer,9788589059336,Débora Knittel,R$44.90,R$22.45,Um lindo poema em versos curtos que con
Não Somos Anjinhos,9788553300044,Gusti Rosemfett,R$59.90,R$34.95,"Nos revela com graça, afetividade e um se– Sempre estão felizes? Não, também se e"
Notas Mínimas,9788589059237,Katherine Funke,R$35.00,R$17.50,Coletânea de microcontos da jornalista Kat
"O curioso destino de Rita Quebra-Cama eoutros contos",9788589059909,Ricardo Ishmael,R$44.90,R$22.45,"""O curioso destino de Rita Quebra-Cama"""
"",,,,,
Olho desarmado,9788589059176,Sonia Rangel,R$100.00,R$50.00,Os Secretos que compõem a primeira part
Perdidos e Achados,9788553300006,Fátima Santa Rosa,R$45.00,R$22.50,Perdidos e Achados traça paralelos entre o
Protocolo Lunar,9788589059718,Sonia Rangel,R$29.90,R$14.95,"""Encenado pelo grupo Os Imaginários, Pro"
Quando somos um só,9786586539226,Alessandro Marimpietri,R$54.90,R$27.45,Inspirado na experiência de cumplicidade
Quando você for sua,9788553300082,Allê Barbosa,R$39.90,R$19.95,Este livro é para lhe inspirar a se perceber
Que bicho doido!,9788589059527,Enéas Guerra,R$40.00,R$20.00,De um mesmo contorno aparecem bichos
Respire Certo! E Vença o Medo,9788589059312,Adelina Baraúna,R$25.00,R$12.50,A autora compartilha sua trajetória - de eng
Saíra Sete Cores,9788589059305,Débora Knittel,R$44.90,R$22.45,Saíra Sete Cores é um passarinho de core
Seguindo as trilhas de um Livro,9788553300020,Jonar Brasileiro,R$49.90,R$24.95,E os moinhos do tempo continuaram a gira
Somos mesmo todos censores?,9786586539158,Perry Nodelman,R$45.00,R$22.50,"“É possível, vejo-me perguntando agora, q"
Tecelagem - uma história ilustrada,9786586539189,Goya Lopes,R$54.90,R$27.45,"ENsetset eli vlirvor oé,  uLmoo pme qeu Aexnóo  ctoensotaumro a,  oh ipsrtiómrieai rNLeon cicoen tBinueenntoe africano, há uma grande vari"
Trajeto Criativo,9788589059701,Sonia Rangel,R$40.00,R$20.00,"Sem pretender nenhum ""modelo"" para enq"
Treze Contos Reais,9788589059923,José de Jesus Barreto,R$40.00,R$20.00,A literatura baiana existe. ‘Treze Contos R
Um canto dentro de mim,9786586539134,"Lucymeire Ferraz deAraújo Ulmer",R$54.90,R$27.45,Um universo inteiro cabe nesse canto esco
Um encontro inesperado,9788553300143,Liz Passos,R$45.00,R$22.50,"Em 2015, dei de cara com um câncer e nãNo meio do caos, encarei a criatura nos ol"
"Um século de jornalismo na Bahia 1912 -2012",9788589059534,Carlos Ribeiro,R$99.00,R$49.50,"O livro ""Um século de jornalismo na Bahia"""
Uma família pra lá de diferente,9788589059961,"Lilia Gramacho,RafaAnton",R$45.00,R$22.50,"O amor acaba? A amizade vira amor? O aPara entender as mudanças que estão aco"
Vaporzinho,9788589059213,Enéas Guerra,R$39.90,R$19.95,"O livro conta, em cores e versejos com gos"
Xing Ling made in China,9788589059510,Victor Mascarenhas,R$29.90,R$14.95,Governos e pessoas controladas por grand
"Patos e Lobos-Marinhos – conversas sobreliteratura e juventude",9786586539233,Sara Bertrand,R$45.00,R$22.50,"Bater nas bordas, estender fronteiras, ir al"
Martim Barulim - os sons do bebê,9786586539271,Natália Paiva,R$45.00,R$22.50,"Martim, ao modo dos bebês, investiga o m"
"",,,,relação afetiva e de cuidado entre o bebê,
