"Machado, Dalcio",Saber e Ler,"R$  43,50","R$  21,75"
"Nonn, Fabiola; Weindenbach, Lukas",Saber e Ler,"R$  41,40","R$  20,70"
"Brenman, Ilan",Saber e Ler,"R$  44,40","R$  22,20"
"Van Genechten, Guido",Saber e Ler,"R$  79,90","R$  39,95"
"De Haes, Ian",Saber e Ler,"R$  44,40","R$  22,20"
"Lamour-Crochet, Celine",Saber e Ler,"R$  44,40","R$  22,20"
"Portis, Antoinette",Saber e Ler,"R$  44,40","R$  22,20"
"Krauss, Samara",Saber e Ler,"R$  41,40","R$  20,70"
"Krauss, Samara",Saber e Ler,"R$  44,40","R$  22,20"
"Van Genechten, Guido",Saber e Ler,"R$  46,00","R$  23,00"
"Coelho, Maria Alice",Saber e Ler,"R$  41,40","R$  20,70"
"Yoon, Salina",Saber e Ler,"R$  44,40","R$  22,20"
"Roscoe, Alessandra Pontes",Saber e Ler,"R$  44,40","R$  22,20"
"Nichols, Lydia",Saber e Ler,"R$  44,40","R$  22,20"
"Petrini, Hermes",Saber e Ler,"R$  44,40","R$  22,20"
"La Serna, Sebastian de",Saber e Ler,"R$  44,40","R$  22,20"
"",Saber e Ler,"R$  44,40","R$  22,20"
"Romain, Aurelie",Saber e Ler,"R$  45,00","R$  22,50"
"Green, Alison",Saber e Ler,"R$  44,60","R$  22,30"
"Van Genechten, Guido",Saber e Ler,"R$  44,40","R$  22,20"
"Loth, Sebastian",Nanabooks,"R$  44,60","R$  22,30"
"Chaveta, Juan",Saber e Ler,"R$  45,00","R$  22,50"
"Sevilla, Fabian",Saber e Ler,"R$  45,00","R$  22,50"
"Krauss, Magda",Saber e Ler,"R$  44,40","R$  22,20"
"Olten, Manuela",Saber e Ler,"R$  41,40","R$  20,70"
"Messina, Lilli",Saber e Ler,"R$  44,40","R$  22,20"
"Gehrmann, Katja",Saber e Ler,"R$  44,40","R$  22,20"
"",,"R$  44,40","R$  22,20"
"Doerrfeld, Cori",Nanabooks,"R$  43,40","R$  21,70"
"Van Genechten, Guido",Saber e Ler,"R$  44,40","R$  22,20"
"Yoon, Salina",Nanabooks,"R$  43,40","R$  21,70"
"Rando, Silvana",Saber e Ler,"R$  44,40","R$  22,20"
"Mckenna, Martin",Saber e Ler,"R$  44,40","R$  22,20"
"Furtado, Doca",Saber e Ler,"R$  41,40","R$  20,70"
"Lara, Caroline",Saber e Ler,"R$  56,00","R$  28,00"
"Fox, Mem",Saber e Ler,"R$  45,00","R$  22,50"
"Blabey, Aaron",Saber e Ler,"R$  44,40","R$  22,20"
"Blabey, Aaron",Saber e Ler,"R$  44,40","R$  22,20"
"Blabey, Aaron",Saber e Ler,"R$  44,40","R$  22,20"
"Blabey, Aaron",Saber e Ler,"R$  44,40","R$  22,20"
"Blabey, Aaron",Saber e Ler,"R$  44,40","R$  22,20"
"Blabey, Aaron",Saber e Ler,"R$  44,40","R$  22,20"
"Blabey, Aaron",Saber e Ler,"R$  44,40","R$  22,20"
"Tavares, Mariza; Godoy, José",Saber e Ler,"R$  47,30","R$  23,65"
"Loelinga, Maledon",Saber e Ler,"R$  44,40","R$  22,20"
"Behl, Anne-Kathrin",Saber e Ler,"R$  44,40","R$  22,20"
"Blabey, Aaron",Saber e Ler,"R$  44,40","R$  22,20"
"Vaccaro Seeger, Laura",Nanabooks,"R$  44,60","R$  22,30"
"Roscoe, Alessandra",Saber e Ler,"R$  45,00","R$  22,50"
"Natalini, Sandro",Saber e Ler,"R$  41,40","R$  20,70"
"Kein, Augusto Dias; Campos, Deyse",Saber e Ler,"R$  41,40","R$  20,70"
"Tavares, Mariza; Correia, Luis Fernando",Saber e Ler,"R$  44,40","R$  22,20"
"Claude, Jean",Saber e Ler,"R$  47,30","R$  23,65"
"Sperring, Mark",Saber e Ler,"R$  44,40","R$  22,20"
"McCartney, Tania",Saber e Ler,"R$  44,40","R$  22,20"
"Echeverri, Catalina",Saber e Ler,"R$  44,40","R$  22,20"
"Blabey, Aaron",Nanabooks,"R$  45,60","R$  22,80"
"Lendler, Ian",Saber e Ler,"R$  44,40","R$  22,20"
"Robinson, Michelle",Saber e Ler,"R$  44,40","R$  22,20"
"",,"R$  44,40","R$  22,20"
"Belliere, Charlotte",Saber e Ler,"R$  44,40","R$  22,20"
"Van Genechten, Guido",Saber e Ler,"R$  44,40","R$  22,20"
"Aguzzoli, Fernando",Saber e Ler,"R$  44,40","R$  22,20"
"Wlodarczyk, Isabelle",Saber e Ler,"R$  46,00","R$  23,00"
