ISBN,PRODUTO,AUTOR,PREÇO,"PREÇOUSP"
9788567362106,"A REVOLUCAO DA CERVEJAARTESANAL",STEVE HINDY,"68,50","34,25"
9788566319040,"AS 100 PALAVRAS DAGASTRONOMIA","ALAIN BAUER ELAURENT PLANTIER","44,00",22
9788567362014,CERVEJA EM CASA,"CHRISTINA PEROZZI EHALLIE BEAUNE","58,50","29,25"
9788567362090,COZINHA RAPIDA,NIGEL SLATER,"98,00",49
9788567362007,"EU SOU DO CAMARAOENSOPADINHO COM CHUCHU",ROBERTA SUDBRACK,"79,00","39,5"
9788565908023,"GAIA, O LADO OCULTO DASPLANTAS",GIL FELIPPE,"44,50","22,25"
9788567362021,"ICHEF - HISTORIAS E RECEITASDE UM CHEF CONECTADO","CARLOS ALBERTOBERTOLAZZI","46,00",23
9788565908009,O DILEMA DO VEGANO,ROBERTO JULIANO,"42,50","21,25"
9788567362045,"RESTAURANT MAN - O HOMEMPOR TRAS DO NEGOCIO",JOE BASTIANICH,"52,50","26,25"
9788567362144,UM CHEF HARDCORE,HENRIQUE FOGACA,"95,00","47,5"
