2001: UMA ODISSEIA NO ESPACO,MICHAEL BENSON,"R$ 98,90","R$ 49,45"
ACRE,LUCRECIA ZAPPI,"R$ 59,90","R$ 29,95"
"AMANTES, OS",AMITAVA KUMAR,"R$ 71,90","R$ 35,95"
ANOS DE FORMACAO,RICARDO PIGLIA,"R$ 89,90","R$ 44,95"
"ANOS FELIZES, OS",RICARDO PIGLIA,"R$ 82,90","R$ 41,45"
APAGANDO O INCENDIO,BEN BERNANKE / TIMOTHY GEITHNER,"HENRYR$ 82,90","R$ 41,45"
ASSOMBRACOES,DOMENICO STARNONE,"R$ 57,90","R$ 28,95"
BAIACU,LAERTE & ANGELI (ORGS.),"R$ 144,00","R$ 72,00"
"BEIJO ADOLESCENTE 1, O",RAFAEL COUTINHO,"R$ 89,90","R$ 44,95"
BELCHIOR - APENAS UM RAPAZ LATINO-AMERICANO,JOTABE MEDEIROS,"R$ 64,90","R$ 32,45"
BOM CRIOULO,ADOLFO CAMINHA,"R$ 52,00","R$ 26,00"
"BOM FILHO, O",YOU-JEONG JEONG,"R$ 59,90","R$ 29,95"
BONE 1,JEFF SMITH,"R$ 96,90","R$ 48,45"
BONE 2,JEFF SMITH,"R$ 94,90","R$ 47,45"
BONE 3,JEFF SMITH,"R$ 99,00","R$ 49,50"
"BULEVAR DOS SONHOS PARTIDOS, O",KIM DEITCH,"R$ 65,90","R$ 32,95"
BUSSOLA,MATHIAS ENARD,"R$ 87,90","R$ 43,95"
"CADETE E O CAPITAO, O",LUIZ MAKLOUF CARVALHO,"R$ 59,90","R$ 29,95"
CAPITALISMO SEM RIVAIS,BRANKO MILANOVIC,"R$ 89,90","R$ 44,95"
"CARTA, A","NAERCIO MENEZES FILHO, ORG","R$ 71,90","R$ 35,95"
CARTAS DA PRISAO DE NELSON MANDELA,NELSON MANDELA,"R$ 118,00","R$ 59,00"
"CASA, A",CHICO FELITTI,"R$ 64,90","R$ 32,45"
CHELSEA GIRLS,EILEEN MYLES,"R$ 64,90","R$ 32,45"
COMO A DEMOCRACIA CHEGA AO FIM,DAVID RUNCIMAN,"R$ 72,90","R$ 36,45"
COMO NASCE O NOVO,MARCOS NOBRE,"R$ 79,90","R$ 39,95"
CONFINADO NO FRONT,GUGA CHACRA,"R$ 30,00","R$ 15,00"
CONTRA OS FILHOS,LINA MERUANE,"R$ 54,90","R$ 27,45"
"CORTICO, O",ALUISIO AZEVEDO,"R$ 49,90","R$ 24,95"
CRONICAS PRA LER EM QUALQUER LUGAR,"RIBEIRO, DUVIVIER, SA","R$ 49,90","R$ 24,95"
CURTO-CIRCUITO,LAURA CARVALHO,"R$ 34,90","R$ 17,45"
"DE DUAS, UMA",DANIEL SADA,"R$ 49,90","R$ 24,95"
DESPERTAR OS LEOES,AYELET GUNDAR-GOSHEN,"R$ 76,90","R$ 38,45"
DEZ DROGAS,THOMAS HAGER,"R$ 76,90","R$ 38,45"
"DIARIO DE EDWARD O HAMSTER, O",MIRIAM AND EZRA ELIA,"R$ 38,90","R$ 19,45"
EDIPO TIRANO,SOFOCLES,"R$ 54,90","R$ 27,45"
"EDUCADOR, O: UM PERFIL DE PAULO FREIRE",SERGIO HADDAD,"R$ 64,90","R$ 32,45"
ELES ESTAO POR AI,BIANCA PINHEIRO E GREGG STELLA,"R$ 65,90","R$ 32,95"
ENQUANTO OS DENTES,CARLOS EDUARDO PEREIRA,"R$ 49,90","R$ 24,95"
"ERA DO COMETA, A",DANIEL SCHONPFLUG,"R$ 76,90","R$ 38,45"
ESPERA PASSAR O AVIAO,FLAVIO CAFIERO,"R$ 65,90","R$ 32,95"
"ESPIRITO DOS MEUS PAIS CONTINUA A SUBIR NA CHUVA,",PATRICIO PRON,"R$ 59,90","R$ 29,95"
EU AMO DICK,CHRIS KRAUS,"R$ 71,90","R$ 35,95"
FALANDO DE MUSICA,LEANDRO OLIVEIRA,"R$ 54,90","R$ 27,45"
FALSO ESPELHO,JIA TOLENTINO,"R$ 82,90","R$ 41,45"
"FANTASMAS INQUILINOS, OS",DANIEL JONAS,"R$ 76,90","R$ 38,45"
FUN HOME,ALISON BECHDEL,"R$ 66,90","R$ 33,45"
GAROTAS MORTAS,SELVA ALMADA,"R$ 54,90","R$ 27,45"
GOLIAS,TOM GAULD,"R$ 59,90","R$ 29,95"
"GORDA, A",ISABELA FIGUEIREDO,"R$ 59,90","R$ 29,95"
"GRANDE LUTA, A",ADRIANO WILKSON VIEIRA FERNANDES,"R$ 59,90","R$ 29,95"
GUARDA LUNAR,TOM GAULD,"R$ 54,90","R$ 27,45"
GUERRA CONTRA A PAZ,RONAN FARROW,"R$ 99,90","R$ 49,95"
"GUETO INTERIOR, O",SANTIAGO AMIGORENA,"R$ 52,90","R$ 26,45"
HISTORIA DE JOIA,GUILHERME GONTIJO FLORES,"R$ 43,90","R$ 21,95"
"HISTORIAS DE PAT HOBBY, AS",F.SCOTT FITZGERALD,"R$ 54,90","R$ 27,45"
"HOMEM QUE APRENDEU O BRASIL, O",ANA CECILIA IMPELLIZIERI MARTINS,"R$ 79,90","R$ 39,95"
"ILHA DE SACALINA, A",ANTON TCHEKHOV,"R$ 79,90","R$ 39,95"
IMPONDERAVEL BENTO CONTRA O CRIOULO VOADOR,JOAQUIM PEDRO DE ANDRADE,"R$ 54,90","R$ 27,45"
"IMPOSTOR, O",EDGARD TELLES RIBEIRO,"R$ 43,90","R$ 21,95"
IMUNIDADE,EULA BISS,"R$ 59,90","R$ 29,95"
INCIDENTES NA VIDA DE UMA MENINA ESCRAVA,HARRIET ANN JACOBS,"R$ 62,90","R$ 31,45"
"INFANCIA, ADOLESCENCIA, JUVENTUDE",LIEV TOLSTOI,"R$ 84,90","R$ 42,45"
JINGA DE ANGOLA,LINDA HEYWOOD,"R$ 89,90","R$ 44,95"
JORGE AMADO UMA BIOGRAFIA,JOSELIA AGUIAR,"R$ 89,90","R$ 44,95"
KAFKIANAS,ELVIRA VIGNA,"R$ 54,90","R$ 27,45"
KAREN,ANA TERESA PEREIRA,"R$ 54,90","R$ 27,45"
KNULP,HERMANN HESSE,"R$ 54,90","R$ 27,45"
LAKE SUCCESS,GARY SHTEYNGART,"R$ 89,90","R$ 44,95"
"LANTERNA MAGICA DE MOLOTOV, A",RACHEL POLONSKY,"R$ 82,90","R$ 41,45"
LUA NA JAULA,LEDUSHA,"R$ 54,90","R$ 27,45"
LUCKY JIM,KINGSLEY AMIS,"R$ 74,90","R$ 37,45"
LUPA DA ALMA,MARIA HOMEM,"R$ 30,00","R$ 15,00"
MARS CLUB,RACHEL KUSHNER,"R$ 71,90","R$ 35,95"
MASTODONTES,JOSHUA B. FREEMAN,"R$ 99,00","R$ 49,50"
MEDO: TRUMP NA CASA BRANCA,BOB WOODWARD,"R$ 89,90","R$ 44,95"
MEMORIAS DE UM ANTISSEMITA,GREGOR VON REZZORI,"R$ 88,90","R$ 44,45"
MEMORIAS DE UM DOENTE DOS NERVOS,DANIEL PAUL SCHREBER,"R$ 89,90","R$ 44,95"
MEMORIAS DE UM URSO POLAR,YOKO TAWADA,"R$ 71,90","R$ 35,95"
"MERCADORIA MAIS PRECIOSA, A",JEAN-CLAUDE GRUMBERG,"R$ 39,90","R$ 19,95"
MIL SOIS POEMAS ESCOLHIDOS,PRIMO LEVI,"R$ 59,90","R$ 29,95"
"MORTE E O METEORO, A",JOCA TERRON,"R$ 54,90","R$ 27,45"
MUNDO PERDIDO,ARTHUR CONAN DOYLE,"R$ 62,90","R$ 31,45"
"NOVA IDADE DAS TREVAS, A",JAMES BRIDLE,"R$ 76,90","R$ 38,45"
NOVE HISTORIAS,J. D. SALINGER,"R$ 56,90","R$ 28,45"
NOVELAS COMPLETAS,LIEV TOLSTOI,"R$ 79,90","R$ 39,95"
OPERACAO ABAFA,RONAN FARROW,"R$ 79,90","R$ 39,95"
"PAI DA MENINA MORTA, O",TIAGO FERRO,"R$ 54,90","R$ 27,45"
"PALACIO DA MEMORIA, O",NATE DIMEO,"R$ 64,90","R$ 32,45"
PALETO E EU,APARECIDA VILACA,"R$ 59,90","R$ 29,95"
"PENDULO DA DEMOCRACIA, O",LEONARDO AVRITZER,"R$ 74,90","R$ 37,45"
PEQUENA ENCICLOPEDIA DE SERES COMUNS,MARIA ESTHER MACIEL,"R$ 56,90","R$ 28,45"
PESADO DEMAIS PARA A VENTANIA,RICARDO ALEIXO,"R$ 54,90","R$ 27,45"
POR QUE O TEMPO VOA,ALAN BURDICK,"R$ 82,90","R$ 41,45"
"QUARTO BRANCO, O",GABRIELA AGUERRE,"R$ 54,90","R$ 27,45"
"QUE TE PERTENCE, O",GARTH GREENWELL,"R$ 59,90","R$ 29,95"
"QUESTAO DA CULPA, A",KARL JASPERS,"R$ 59,90","R$ 29,95"
RASTEJANDO ATE BELEM,JOAN DIDION,"R$ 69,90","R$ 34,95"
RAUL SEIXAS - NAO DIGA QUE A CANCAO ESTA PERDIDA,JOTABE MEDEIROS,"R$ 79,90","R$ 39,95"
"RAZAO AFRICANA, A",MURYATAN SANTANA BARBOSA,"R$ 59,90","R$ 29,95"
REPORTER,SEYMOUR HERSH,"R$ 82,90","R$ 41,45"
"RETALHO, O",PHILIPPE LANCON,"R$ 89,90","R$ 44,95"
"REVOLUCAO RUSSA, A",SHEILA FITZPATRICK,"R$ 71,90","R$ 35,95"
RICARDO E VANIA,CHICO FELITTI,"R$ 59,90","R$ 29,95"
"ROMANCE DE FORMACAO, O",FRANCO MORETTI,"R$ 82,90","R$ 41,45"
SEGREDOS,DOMENICO STARNONE,"R$ 59,90","R$ 29,95"
SEM DO,LULI PENNA,"R$ 76,90","R$ 38,45"
SEU PROJETO SANGRENTO,GRAEME MACRAE BURNET,"R$ 76,90","R$ 38,45"
SISTEMA NERVOSO,LINA MERUANE,"R$ 65,90","R$ 32,95"
SLUMBERLAND: A BATIDA PERFEITA,PAUL BEATTY,"R$ 71,90","R$ 35,95"
SONHOS DA PERIFERIA,SERGIO MICELI,"R$ 69,90","R$ 34,95"
TAMBEM OS BRANCOS SABEM DANCAR,KALAF EPALANGA,"R$ 65,90","R$ 32,95"
"TEMPO ADIADO E OUTROS POEMAS, O",INGEBORG BACHMANN,"R$ 69,90","R$ 34,95"
"TENSAO SUPERFICIAL DO TEMPO, A",CRISTOVAO TEZZA,"R$ 69,90","R$ 34,95"
"TIRANIA DO AMOR, A",CRISTOVAO TEZZA,"R$ 54,90","R$ 27,45"
TOPA TUDO POR DINHEIRO,MAURICIO STYCER,"R$ 64,90","R$ 32,45"
"TORTURA, A",HENRI ALLEG,"R$ 43,90","R$ 21,95"
TRAGAM OS CORPOS,HILARY MANTEL,"R$ 79,90","R$ 39,95"
TUDO PODE SER ROUBADO,GIOVANA MADALOSSO,"R$ 58,90","R$ 29,45"
TUDO QUE E BELO,THE MOTH,"R$ 79,90","R$ 39,95"
TUDO TEM A VER,ARTHUR NESTROVSKI,"R$ 89,90","R$ 44,95"
TUMULTO,HANS MAGNUS ENZENSBERGER,"R$ 71,90","R$ 35,95"
TUPINILANDIA,SAMIR MACHADO,"R$ 82,90","R$ 41,45"
UM ANO DEPOIS,ANNE WIAZEMSKY,"R$ 54,90","R$ 27,45"
UM OUTRO BROOKLYN,JACQUELINE WOODSON,"R$ 54,90","R$ 27,45"
UMA MULHER TRANSPARENTE,EDGARD TELLES RIBEIRO,"R$ 54,90","R$ 27,45"
UMA NOITE COM SABRINA LOVE,PEDRO MAIRAL,"R$ 54,90","R$ 27,45"
"UMA NOITE, MARKOVITCH",AYELET GUNDAR-GOSHEN,"R$ 79,90","R$ 39,95"
VALSA BRASILEIRA,LAURA CARVALHO,"R$ 59,90","R$ 29,95"
"VENDIDO, O",PAUL BEATTY,"R$ 71,90","R$ 35,95"
VERIFIQUE SE O MESMO,NUNO RAMOS,"R$ 76,90","R$ 38,45"
