ISBN,DESCRIÇÃO,PREÇO,Desc 50%
9788545400950,CALLIS - A MENINA QUE QUERIA SALVAR OS LIVROS,"R$ 42,90","R$ 21,45"
9788545401001,CALLIS - A ORIGEM DOS FILHOS DO ESTRONDO DO TROVAO 1ED,"R$ 44,90","R$ 22,45"
9788545400943,CALLIS - A PROMESSA 1ED BR,"R$ 42,90","R$ 21,45"
9788574165035,CALLIS - ACHEM MEU PAI POR FAVOR - TAN TAN - 1ED - BR,"R$ 44,90","R$ 22,45"
9788574167466,CALLIS - AGUA - PLANETA SAUDAVEL - 2ED - BR,"R$ 42,90","R$ 21,45"
9788574164694,"CALLIS - AGUA, A  - DE ONDE VEM, PARA ONDE VAI - 2ED -","R$ 36,90","R$ 18,45"
9788574164458,CALLIS - ALEIJADINHO - CRIANCAS FAMOSAS - 2ED - BR,"R$ 32,90","R$ 16,45"
9788574165707,CALLIS - ALMANAQUE DA PALAVRA - 1ED - BR,"R$ 42,90","R$ 21,45"
9786555960006,CALLIS - AMARO 2ED,"R$ 45,90","R$ 22,95"
9788545400288,CALLIS - AMIGO SECRETO - 1ED - BR,"R$ 35,90","R$ 17,95"
9788574164465,CALLIS - ANITA MALFATTI - CRIANCAS FAMOSAS - 2ED - BR,"R$ 32,90","R$ 16,45"
9788574166629,"CALLIS - ANIVERSARIO DA MACACA, O - 3ED - BR","R$ 35,90","R$ 17,95"
9788545400851,CALLIS - ANTES DE MIM 1ED BR,"R$ 37,90","R$ 18,95"
9788574163338,CALLIS - APOSTANDO COM O MONSTRO - TAN TAN - 1ED - BR,"R$ 44,90","R$ 22,45"
9788574165011,CALLIS - APRENDIZ DE MAGICO - TAN TAN - 1ED - BR,"R$ 44,90","R$ 22,45"
9788574169972,CALLIS - AQUELE BEIJO QUE EU TE DEI - 1ED - BR,"R$ 42,90","R$ 21,45"
9788574165332,CALLIS - AQUI ESTA TAO QUENTINHO - TAN TAN - 2ED - BR,"R$ 44,90","R$ 22,45"
9788545400028,CALLIS - AQUI TAMBEM,"R$ 37,90","R$ 18,95"
9788574165899,"CALLIS - ARANHA E A LOJA DE BALAS, A - TAN TAN - 1ED -","R$ 44,90","R$ 22,45"
